ORIT,Oritani Financial Corp. - Common Stock,NASDAQ
13.96,14.08,14.12,13.86
14.02,13.22,14.13,13.10
13.20,13.15,13.32,13.09
13.30,13.15,13.39,13.10
13.09,13.34,13.40,13.00
13.64,13.72,14.15,13.45
13.59,13.37,13.97,13.33
13.39,13.48,13.63,13.39
13.97,13.81,13.97,13.63
13.87,13.31,13.87,13.31
13.33,13.60,13.61,13.33
13.47,13.40,13.47,13.23
13.46,13.01,13.46,13.00
13.04,12.64,13.20,12.60
12.77,12.82,12.89,12.68
12.72,12.85,12.92,12.72
12.85,13.22,13.24,12.85
13.21,12.98,13.24,12.98
13.06,13.11,13.18,13.03
13.13,13.13,13.16,12.74
13.09,13.00,13.24,12.98
13.01,13.00,13.08,12.90
13.01,13.00,13.04,12.88
13.13,13.17,13.21,13.00
13.16,12.90,13.16,12.90
13.09,13.16,13.17,13.06
13.07,13.09,13.17,13.00
13.01,13.38,13.39,13.01
13.22,13.45,13.46,13.07
13.47,13.46,13.50,13.37
13.54,13.59,13.59,13.38
13.54,13.88,13.91,13.54
13.88,13.80,13.96,13.64
14.25,15.06,15.15,14.25
15.08,15.83,16.00,15.00
15.89,16.00,16.14,15.00
16.15,15.89,16.15,15.79
15.85,15.84,15.94,15.60
15.88,15.99,16.01,15.73
15.97,16.14,16.15,15.81
16.15,15.89,16.24,15.85
15.91,15.95,16.07,15.88
15.95,16.00,16.23,15.89
16.00,16.06,16.10,15.99
15.94,16.10,16.10,15.90
16.05,16.12,16.13,16.02
15.97,16.12,16.14,15.77
16.14,16.00,16.14,15.95
15.98,16.10,16.14,15.94
16.11,16.20,16.20,16.10
16.18,16.31,16.32,16.18
16.30,16.29,16.40,16.19
16.21,16.21,16.36,16.07
16.23,16.34,16.35,16.14
16.19,16.32,16.35,16.19
16.20,16.22,16.31,16.18
16.33,16.14,16.35,15.95
16.15,16.24,16.30,16.08
16.13,16.15,16.24,16.06
16.23,16.15,16.23,16.08
16.04,16.07,16.28,15.90
16.11,16.06,16.17,15.99
16.07,16.15,16.32,16.01
16.06,16.13,16.17,16.03
16.07,16.53,16.96,16.07
16.43,16.38,16.54,16.33
16.34,16.33,16.35,16.20
16.30,16.53,16.66,15.96
16.54,16.05,16.71,16.04
16.18,16.57,16.69,16.15
16.58,16.63,16.63,16.26
16.63,16.65,16.71,16.36
16.53,16.44,16.67,16.44
16.52,16.73,16.73,16.45
16.73,16.46,16.74,16.31
16.29,16.62,16.72,16.10
16.18,16.64,16.64,16.18
16.57,16.57,16.81,16.44
16.58,16.43,16.92,16.43
16.42,16.75,17.00,16.42
16.82,17.09,17.15,16.76
17.00,16.59,17.06,16.22
16.62,16.91,16.94,16.52
16.71,16.62,16.80,16.42
16.38,16.29,16.59,16.29
16.24,15.88,16.27,13.59
15.77,15.18,15.84,15.17
15.63,16.21,16.35,15.33
16.06,16.58,16.61,15.96
16.57,16.70,16.98,16.51
16.61,16.25,16.61,15.99
16.11,15.87,16.11,15.40
15.98,15.75,16.14,15.54
15.98,15.16,15.99,15.11
15.12,15.12,15.52,15.10
15.03,14.00,15.04,13.76
13.89,14.47,14.68,13.89
14.42,14.50,14.78,14.42
14.17,14.71,14.74,14.14
14.86,14.68,15.18,14.59
14.97,14.92,15.07,14.76
14.83,14.59,14.93,14.59
14.43,14.38,14.70,14.35
14.47,14.78,14.78,14.47
14.73,14.66,14.87,14.60
14.40,14.38,14.49,14.35
14.66,14.18,14.66,14.15
14.24,13.99,14.24,13.95
14.08,13.94,14.17,13.86
14.00,14.00,14.05,13.91
14.01,13.91,14.03,13.73
14.00,13.78,14.05,13.71
14.00,14.58,14.60,14.00
14.55,14.97,15.04,14.50
15.08,15.16,15.31,14.83
15.28,15.30,15.63,15.15
15.42,15.28,15.42,15.08
15.52,15.81,15.94,15.20
15.81,15.33,16.25,15.32
10.45,10.31,10.45,10.25
10.40,10.27,10.40,10.25
10.28,10.36,10.37,10.25
10.23,10.17,10.32,10.08
10.20,10.00,10.20,9.98
9.98,9.86,10.00,9.70
9.93,9.75,9.93,9.65
9.81,9.68,9.83,9.58
9.65,9.65,9.71,9.55
9.70,9.99,9.99,9.61
