OSBCP,Old Second Bancorp,NASDAQ
5.24,5.48,5.48,5.24
5.45,5.63,5.74,5.45
5.64,5.95,6.00,5.64
6.00,5.90,6.05,5.90
6.00,6.00,6.00,6.00
6.00,6.21,6.25,6.00
6.19,6.15,6.25,6.15
6.00,6.20,6.20,5.99
6.06,6.25,6.25,6.06
6.29,6.10,6.40,6.10
6.20,6.20,6.20,6.20
6.20,6.10,6.20,6.10
6.15,6.10,6.15,6.05
6.10,6.25,6.25,6.10
6.22,6.21,6.25,6.21
6.11,6.18,6.18,6.01
6.05,6.00,6.15,6.00
6.00,6.00,6.15,6.00
6.10,5.97,6.13,5.97
5.95,5.95,5.95,5.95
5.95,5.87,6.10,5.87
5.95,6.10,6.10,5.95
6.05,6.05,6.05,5.97
6.00,6.10,6.10,6.00
6.19,6.00,6.19,6.00
6.15,6.19,6.20,6.05
6.20,6.15,6.20,6.15
6.20,6.25,6.25,6.20
6.25,6.35,6.35,6.25
6.34,6.35,6.35,6.34
6.35,6.75,6.75,6.35
6.75,6.75,6.75,6.75
6.70,6.70,6.70,6.70
6.70,6.70,6.70,6.70
6.55,6.58,7.00,6.55
6.56,6.50,6.56,6.50
6.66,6.50,6.66,6.50
6.70,6.58,7.00,6.58
6.58,6.58,6.58,6.58
6.58,6.58,6.58,6.58
6.80,7.03,7.05,6.80
6.61,6.61,6.61,6.61
6.62,6.65,6.65,6.55
7.03,6.90,7.05,6.90
6.91,6.90,7.10,6.90
7.10,7.26,7.26,7.10
7.26,7.45,7.46,7.26
7.74,7.69,7.76,7.40
7.50,7.50,7.50,7.48
7.35,7.28,7.35,7.28
7.28,7.35,7.50,7.00
7.35,7.42,7.49,7.35
7.46,7.46,7.49,7.40
7.38,7.50,7.60,7.38
7.32,7.32,7.32,7.32
7.33,7.33,7.33,7.32
7.57,7.65,7.86,7.57
7.06,7.30,7.50,7.06
7.33,7.11,7.35,7.11
7.12,7.35,7.35,7.12
7.15,7.19,7.50,7.15
7.19,7.63,7.64,7.18
7.24,7.29,7.70,7.21
7.42,7.42,7.42,7.42
7.60,7.65,7.75,7.60
7.51,7.50,7.51,7.50
7.60,7.50,7.60,7.50
7.50,7.75,7.78,7.31
7.75,7.75,7.75,7.75
7.36,7.25,7.36,7.25
7.35,7.49,7.66,7.25
7.50,7.50,7.50,7.49
7.55,7.46,7.55,7.39
7.49,7.49,7.49,7.49
7.50,7.50,7.50,7.50
7.40,7.50,7.50,7.40
7.41,7.35,7.45,7.35
7.40,7.40,7.50,7.40
7.39,7.25,7.39,7.25
7.36,7.25,7.36,7.25
7.26,7.19,7.26,7.19
7.25,7.30,7.30,7.24
7.16,7.40,7.40,7.16
7.35,7.25,7.35,7.25
7.25,7.25,7.25,7.25
