OSUR,OraSure Technologies,NASDAQ
5.17,5.29,5.30,5.15
5.30,5.10,5.30,5.07
5.09,4.94,5.14,4.83
4.95,4.88,4.95,4.78
4.87,4.95,5.00,4.81
5.01,5.09,5.09,4.86
5.05,5.09,5.14,5.05
5.10,5.11,5.16,5.04
5.07,5.29,5.38,5.06
5.31,5.39,5.42,5.17
5.45,5.47,5.49,5.35
5.46,5.30,5.51,5.20
5.33,5.28,5.38,5.19
5.29,5.19,5.39,5.15
5.24,5.17,5.30,5.08
5.13,5.17,5.21,5.01
5.12,5.16,5.28,5.00
5.17,5.06,5.36,5.04
5.07,5.12,5.23,5.04
5.12,5.35,5.50,5.07
5.37,5.31,5.37,5.19
5.27,5.20,5.39,5.16
5.17,4.96,5.25,4.95
4.95,4.90,5.07,4.76
4.91,4.91,4.99,4.82
4.97,4.85,5.00,4.82
4.81,4.95,4.98,4.75
4.95,4.84,5.00,4.75
4.80,4.95,4.96,4.76
4.98,5.01,5.01,4.82
5.02,5.11,5.20,5.01
5.09,5.17,5.21,5.03
5.19,5.26,5.28,5.10
5.28,5.37,5.41,5.23
5.35,5.35,5.37,5.10
5.23,5.49,5.51,5.23
5.41,5.49,5.49,5.33
5.47,5.50,5.58,5.36
5.53,5.87,5.91,5.52
5.91,5.75,5.95,5.69
5.78,5.52,5.78,5.50
5.53,5.36,5.56,5.33
5.41,5.43,5.47,5.34
5.43,5.27,5.57,5.23
5.27,5.35,5.40,5.23
5.34,5.28,5.38,5.25
5.23,5.43,5.44,5.22
5.46,5.35,5.53,5.31
5.37,5.41,5.47,5.25
5.46,5.44,5.46,5.31
5.47,5.55,5.63,5.38
5.57,5.46,5.67,5.40
5.50,5.40,5.54,5.31
5.37,5.58,5.60,5.35
5.57,5.88,5.90,5.47
5.86,5.84,5.98,5.76
5.90,5.95,6.09,5.64
6.00,5.91,6.01,5.84
5.91,5.70,5.92,5.69
5.74,5.78,5.88,5.70
5.78,5.93,6.04,5.78
5.95,5.93,6.04,5.80
5.93,6.03,6.03,5.88
5.98,6.00,6.10,5.93
5.98,6.07,6.08,5.98
6.05,6.06,6.09,5.99
6.04,6.24,6.25,5.99
6.24,6.31,6.37,6.22
6.33,6.41,6.49,6.25
6.43,6.74,6.75,6.38
6.72,6.77,6.78,6.66
6.76,6.61,6.80,6.60
6.57,6.36,6.78,6.28
6.42,6.65,6.65,6.34
6.66,6.55,6.66,6.46
6.50,6.50,6.56,6.19
6.48,6.27,6.49,6.17
6.25,6.26,6.38,6.25
6.25,6.10,6.40,6.10
6.12,6.19,6.28,6.08
6.22,6.50,6.53,6.22
6.48,6.34,6.68,6.34
6.39,6.58,6.60,6.28
6.48,6.39,6.48,6.30
6.30,6.30,6.41,6.20
6.15,5.77,6.18,5.60
5.80,5.33,5.88,5.26
5.46,5.54,5.55,5.20
5.43,5.63,5.70,5.20
5.63,5.94,6.00,5.60
5.90,5.66,5.90,5.63
5.63,5.34,5.67,5.29
5.36,5.33,5.47,5.23
5.42,5.27,5.46,5.16
5.23,5.06,5.23,5.00
5.00,4.75,5.00,4.75
4.66,4.66,4.82,4.60
4.64,4.61,4.89,4.54
4.53,4.60,4.61,4.39
4.64,4.56,4.74,4.44
4.68,4.67,4.68,4.35
4.64,4.52,4.64,4.45
4.47,4.36,4.51,4.35
4.36,4.75,4.76,4.32
4.73,5.00,5.05,4.65
4.83,4.61,4.94,4.60
4.61,4.36,4.63,4.36
4.39,4.27,4.48,4.25
4.30,4.19,4.39,4.15
4.27,4.30,4.44,4.17
4.23,4.59,4.61,4.18
4.65,4.76,4.89,4.52
4.83,4.87,4.97,4.67
4.85,5.24,5.35,4.85
5.30,5.06,5.34,5.02
5.10,5.19,5.34,4.95
5.24,4.99,5.30,4.95
4.99,4.95,5.17,4.95
4.94,4.85,5.04,4.75
4.81,4.85,4.94,4.81
4.95,4.98,5.63,4.95
5.16,5.04,5.16,4.95
4.93,4.79,4.96,4.75
4.80,4.63,4.86,4.60
4.65,4.56,4.76,4.29
4.59,4.45,4.63,4.38
4.56,4.39,4.72,4.36
4.42,4.66,4.69,4.41
4.73,4.58,4.89,4.52
4.56,4.65,4.73,4.53
4.64,4.42,4.70,4.42
4.51,4.80,4.81,4.37
4.76,4.79,4.85,4.69
4.81,4.55,4.81,4.46
4.50,4.25,4.52,4.20
4.28,4.32,4.37,4.16
4.25,4.46,4.48,4.21
4.51,4.25,4.51,4.24
4.34,4.64,4.64,4.26
4.60,4.86,4.91,4.44
4.88,5.00,5.09,4.84
5.03,4.60,5.04,4.50
4.56,4.44,4.71,4.42
4.48,4.54,4.64,4.37
4.45,4.74,4.79,4.45
4.85,4.62,4.85,4.57
4.58,4.44,4.67,4.40
4.46,4.45,4.55,4.43
4.48,4.35,4.49,4.35
4.27,4.14,4.29,4.06
4.16,4.10,4.19,4.03
4.05,4.08,4.16,3.98
3.97,3.74,3.98,3.70
3.70,3.64,3.83,3.63
3.61,3.45,3.72,3.43
3.44,3.48,3.55,3.42
3.52,3.48,3.56,3.39
3.47,3.46,3.52,3.40
3.45,3.37,3.47,3.24
3.34,3.49,3.52,3.34
3.51,3.35,3.72,3.35
3.28,3.35,3.60,3.28
3.33,3.36,3.43,3.29
3.37,3.25,3.43,3.25
3.31,3.37,3.38,3.26
3.35,3.29,3.40,3.24
3.29,3.38,3.41,3.26
3.46,3.61,3.61,3.42
3.57,3.56,3.72,3.51
3.60,3.69,3.71,3.51
3.68,3.38,3.68,3.35
3.40,3.36,3.47,3.32
3.43,3.35,3.43,3.30
3.38,3.40,3.41,3.25
3.45,3.45,3.49,3.41
3.45,3.34,3.45,3.30
3.31,3.36,3.39,3.31
3.34,3.27,3.34,3.25
3.32,3.50,3.57,3.18
3.52,3.75,3.78,3.46
3.75,3.98,4.16,3.66
3.95,3.87,4.03,3.83
3.84,3.78,3.90,3.72
3.83,4.08,4.09,3.83
4.07,4.05,4.17,3.84
4.05,4.16,4.16,3.92
4.13,4.07,4.13,3.99
4.10,4.05,4.12,3.99
4.10,4.07,4.11,4.00
4.04,4.06,4.13,3.99
4.13,4.32,4.36,3.97
4.31,4.55,4.57,4.19
4.60,4.30,4.60,4.30
4.31,4.44,4.55,4.19
4.45,4.52,4.60,4.29
4.50,4.47,4.55,4.40
4.50,4.58,4.63,4.38
4.56,4.57,4.58,4.43
4.65,4.51,4.65,4.45
4.54,4.50,4.58,4.41
4.42,4.30,4.46,4.26
4.34,4.30,4.40,4.22
4.34,4.26,4.38,4.03
4.21,4.20,4.25,4.15
4.26,4.17,4.37,4.05
4.12,4.10,4.24,4.09
4.06,4.04,4.12,3.98
4.10,4.00,4.15,3.99
3.96,4.07,4.07,3.93
4.10,3.94,4.10,3.79
4.01,4.17,4.18,3.92
4.16,4.16,4.18,4.05
4.27,4.47,4.52,4.27
