PB,Prosperity Bancshares,NASDAQ
40.29,40.01,40.46,39.29
39.89,39.58,40.11,39.43
39.42,39.44,39.72,39.23
39.34,40.51,40.71,39.30
40.46,40.04,41.04,39.86
40.12,39.41,40.12,39.23
39.14,39.51,39.69,39.14
39.70,39.69,40.00,39.23
39.67,40.23,40.41,39.55
40.35,39.53,40.40,39.31
39.49,39.56,39.81,39.47
39.43,39.55,39.72,38.67
39.49,41.34,41.74,39.49
41.11,41.53,42.18,41.11
39.67,39.94,40.59,39.48
40.00,40.16,41.11,39.82
39.94,40.93,40.96,39.66
41.10,40.89,42.02,40.72
40.92,40.32,41.43,40.25
40.38,39.94,40.88,39.81
40.09,39.82,40.33,39.72
39.77,39.08,39.90,38.91
38.97,38.09,38.97,38.00
38.10,38.96,38.97,37.93
38.90,39.43,39.75,38.65
39.97,39.65,40.38,39.06
39.44,40.29,40.72,39.39
40.28,39.94,40.45,39.77
39.64,39.95,39.97,39.44
40.09,40.17,40.30,39.93
40.19,39.83,40.20,39.47
39.68,40.63,40.68,39.68
40.64,40.94,41.07,40.53
41.02,41.03,41.07,40.85
41.17,41.38,41.68,41.05
41.47,41.85,42.07,41.20
41.71,41.74,41.89,41.40
41.85,41.83,42.55,41.50
42.35,41.73,42.35,41.53
41.74,41.82,42.17,41.54
42.00,41.15,42.00,41.12
41.14,41.15,41.35,40.88
41.31,42.26,42.29,40.92
42.12,41.81,42.28,41.71
41.62,41.89,42.15,41.55
41.77,41.85,42.03,41.47
41.56,41.89,41.89,41.41
41.88,40.77,41.88,40.59
40.89,40.45,40.97,39.91
40.45,40.53,40.57,40.12
40.47,40.30,40.65,40.13
40.29,40.22,40.45,40.06
40.25,40.56,40.61,40.07
40.39,41.50,41.69,40.36
41.50,41.49,41.56,41.11
41.41,40.67,41.49,40.55
40.83,40.84,41.49,40.72
41.03,40.63,41.22,40.43
40.83,40.62,40.83,40.07
40.51,41.06,41.18,40.34
40.82,40.99,41.50,40.68
41.20,41.05,41.37,40.54
41.09,41.37,41.38,40.53
41.09,42.04,42.11,40.77
41.86,41.41,42.26,41.11
41.41,41.60,42.05,41.25
41.78,42.20,42.22,41.45
42.18,42.10,42.28,41.66
42.17,42.37,42.50,41.81
42.50,43.25,43.25,42.46
43.12,43.53,43.66,43.07
43.50,42.53,43.50,42.17
42.50,42.18,42.93,41.65
42.27,42.15,42.33,41.70
42.09,43.10,43.59,41.98
42.82,43.13,43.41,42.52
43.28,42.97,43.33,42.61
42.25,40.20,42.36,40.16
40.16,40.01,40.84,39.90
40.21,40.35,41.01,40.13
40.59,40.41,40.81,40.05
40.33,39.22,40.60,39.20
39.38,39.73,39.91,39.20
39.50,39.10,39.62,38.88
38.93,38.81,39.68,38.66
38.65,37.67,39.22,36.18
38.02,38.09,39.17,37.71
39.29,39.53,40.01,38.82
39.10,40.65,41.42,39.10
40.79,40.88,41.08,40.26
40.70,40.08,40.70,39.62
39.81,39.58,39.81,39.21
39.71,39.52,40.36,38.78
39.88,38.29,40.26,38.00
38.17,38.03,38.94,37.86
37.81,36.11,37.98,36.05
35.92,36.99,37.12,35.85
37.00,36.19,37.22,36.14
35.80,36.15,36.34,35.45
36.40,36.28,36.87,35.98
36.64,36.93,37.23,36.56
36.98,36.04,37.08,36.03
35.78,35.45,36.27,35.44
35.50,36.38,36.41,35.41
36.39,36.15,36.61,35.80
35.50,35.08,36.01,35.00
35.12,35.26,35.55,34.90
35.35,35.44,35.48,34.55
35.71,34.88,35.77,34.76
35.28,35.77,35.89,35.23
35.44,35.61,35.79,35.24
35.75,35.54,36.19,35.43
35.67,35.80,35.88,35.38
35.31,36.11,36.33,35.31
36.33,36.25,36.54,35.69
36.42,36.67,36.74,35.84
36.93,35.99,36.93,35.74
36.07,35.35,36.30,35.32
35.31,34.75,35.62,34.59
34.52,34.65,35.28,34.31
34.83,35.35,35.38,34.51
35.25,34.95,35.35,34.74
34.51,35.16,35.17,34.51
35.21,34.75,35.48,34.74
34.87,33.78,35.00,33.30
33.99,33.45,34.06,33.27
33.79,33.39,34.24,33.17
33.74,34.36,34.42,33.52
34.68,34.55,34.96,33.53
34.48,35.24,35.27,34.43
35.23,34.79,35.42,34.65
35.00,36.02,36.05,34.98
35.85,35.29,35.85,34.96
35.22,35.11,35.32,34.55
34.87,33.48,34.87,33.27
33.48,32.79,33.73,32.70
32.52,33.35,33.38,32.15
33.57,33.03,33.75,32.99
33.45,34.03,34.21,33.35
33.64,33.68,33.94,32.97
33.49,33.73,33.79,33.20
