PDFS,PDF Solutions,NASDAQ
3.98,3.86,3.98,3.65
3.91,3.92,3.94,3.86
3.94,3.90,3.94,3.82
3.90,3.90,3.93,3.89
3.93,3.97,4.02,3.86
4.04,4.02,4.09,3.98
4.03,4.08,4.09,3.90
4.09,4.00,4.09,3.96
4.01,4.04,4.05,3.90
4.03,4.00,4.05,3.94
3.95,4.00,4.04,3.90
3.95,4.01,4.01,3.81
3.99,3.98,4.00,3.85
3.97,3.97,3.99,3.80
3.95,3.94,4.00,3.84
3.86,3.92,3.98,3.85
3.95,3.97,3.97,3.83
3.99,4.00,4.00,3.83
3.96,3.96,3.98,3.81
3.89,3.91,3.98,3.85
3.95,3.98,3.98,3.84
3.97,4.05,4.20,3.96
4.06,3.90,4.06,3.86
3.95,3.86,3.95,3.70
3.83,3.85,3.88,3.77
3.83,3.87,3.88,3.74
3.86,3.87,3.88,3.79
3.87,4.00,4.00,3.80
4.00,4.10,4.10,3.90
4.09,4.00,4.09,3.88
3.99,4.06,4.08,3.89
3.95,4.09,4.09,3.90
4.09,4.20,4.20,4.03
4.18,4.06,4.18,4.06
3.99,3.96,4.06,3.93
3.99,4.12,4.15,3.92
3.98,4.12,4.15,3.98
4.07,3.95,4.11,3.92
4.04,4.16,4.16,4.01
4.11,4.09,4.20,4.09
4.04,4.15,4.19,4.02
4.15,4.29,4.38,4.15
4.38,4.58,4.70,4.34
4.46,4.59,4.61,4.44
4.50,4.55,4.58,4.41
4.55,4.73,4.85,4.50
4.74,4.82,4.82,4.61
4.83,4.78,4.92,4.69
4.40,4.68,4.79,4.37
4.63,4.65,4.72,4.36
4.88,4.68,4.88,4.58
4.88,4.53,4.88,4.45
4.51,4.66,4.82,4.46
4.87,4.67,4.87,4.40
4.59,4.72,4.72,4.55
4.64,4.76,4.88,4.64
4.85,4.55,4.85,4.50
4.83,4.61,4.83,4.35
4.70,4.40,4.70,4.30
4.40,4.38,4.40,4.18
4.40,4.36,4.40,4.27
4.37,4.29,4.39,4.21
4.20,4.25,4.30,4.15
4.11,4.22,4.30,4.11
4.24,4.22,4.28,4.17
4.20,4.19,4.20,4.03
4.20,4.39,4.39,4.16
4.39,4.27,4.41,4.06
4.22,4.24,4.41,4.22
4.25,4.27,4.35,4.16
4.22,4.32,4.33,4.12
4.26,4.35,4.37,4.12
4.35,4.35,4.39,4.23
4.29,4.55,4.56,4.29
4.58,4.80,4.90,4.50
4.80,4.83,5.17,4.38
4.97,4.92,5.10,4.77
4.92,4.99,5.14,4.89
4.87,5.01,5.01,4.76
5.00,4.97,5.00,4.81
4.93,5.02,5.10,4.93
4.84,4.95,5.07,4.84
4.90,5.01,5.01,4.87
4.95,4.90,4.99,4.86
4.90,4.87,4.91,4.79
