PES,Pioneer Energy Services Corp. Common Stk,NASDAQ
8.07,8.05,8.10,7.94
8.10,8.86,8.97,8.04
8.74,9.10,9.37,8.74
9.03,9.64,9.70,9.03
9.75,9.69,9.75,9.40
9.77,9.59,9.86,9.21
9.47,9.62,9.84,9.34
9.51,9.39,9.73,9.34
9.21,9.61,9.67,9.12
9.66,9.59,9.70,9.40
9.59,9.79,9.90,9.59
9.70,9.52,9.70,9.34
9.56,9.36,9.59,9.19
9.32,8.80,9.50,8.78
8.84,8.99,9.17,8.70
8.97,8.84,9.06,8.69
8.81,8.70,8.93,8.54
8.70,8.52,8.87,8.15
8.44,7.95,8.74,7.91
8.01,8.49,8.55,8.00
8.62,8.86,8.91,8.58
8.97,8.69,8.97,8.50
8.46,7.96,8.60,7.95
8.07,7.50,8.07,7.40
7.47,7.33,7.61,7.28
7.44,7.85,7.87,7.35
7.83,8.40,8.40,7.80
8.36,8.76,8.76,8.30
8.71,8.70,8.83,8.47
8.74,9.05,9.06,8.17
9.06,8.51,9.10,8.26
8.33,8.62,8.75,8.33
8.70,8.30,8.70,8.27
8.31,7.67,8.36,7.62
7.77,7.05,7.77,7.02
7.06,7.25,7.30,7.06
7.14,7.20,7.20,6.85
7.20,7.14,7.29,7.00
7.15,7.06,7.24,7.03
7.06,7.02,7.23,6.99
7.14,7.02,7.19,6.95
7.11,7.10,7.18,6.98
6.98,7.45,7.45,6.95
7.49,7.44,7.55,7.31
7.41,7.51,7.55,7.36
7.62,7.37,7.62,7.13
7.40,7.34,7.42,7.20
7.11,7.18,7.38,7.11
7.09,6.89,7.18,6.87
7.10,7.69,7.81,7.10
7.72,7.81,8.04,7.72
7.82,7.53,7.86,7.27
7.11,7.11,7.63,7.11
7.04,7.15,7.27,6.95
7.14,7.19,7.30,7.07
7.32,7.22,7.49,7.19
7.34,6.99,7.42,6.97
7.00,7.04,7.22,7.00
7.14,7.19,7.35,7.11
7.28,7.15,7.29,7.03
7.19,7.04,7.29,7.02
7.10,7.09,7.19,7.01
7.16,7.33,7.33,7.09
7.43,7.21,7.43,7.15
7.21,7.12,7.21,6.96
7.01,7.17,7.18,6.92
7.14,7.21,7.22,7.05
7.27,7.23,7.28,7.17
7.18,7.16,7.30,7.07
7.25,7.26,7.30,7.13
7.18,7.38,7.43,7.18
7.41,7.18,7.41,7.06
7.10,7.22,7.22,7.02
7.30,7.44,7.45,7.22
7.59,7.60,7.70,7.53
7.66,7.85,7.94,7.31
7.92,7.92,7.95,7.82
7.95,7.67,8.00,7.65
7.66,7.46,7.77,7.38
7.54,7.42,7.61,7.36
7.59,7.58,7.59,7.36
7.53,7.34,7.60,7.31
7.33,7.25,7.34,7.07
7.15,7.13,7.18,6.89
7.03,6.80,7.04,6.61
6.61,5.99,6.80,5.73
6.01,5.48,6.15,5.48
5.93,5.64,5.95,5.37
5.60,6.04,6.29,5.42
6.11,6.31,6.39,6.09
6.29,6.29,6.42,6.12
6.07,6.04,6.23,6.00
6.06,6.02,6.20,5.74
6.16,5.76,6.28,5.70
5.70,5.71,5.84,5.55
5.48,5.36,5.59,5.26
5.34,5.53,5.60,5.19
5.56,5.24,5.56,5.22
5.13,5.31,5.35,5.00
5.47,5.26,5.54,5.24
5.44,5.96,6.09,5.39
5.96,5.93,6.07,5.72
5.84,5.48,5.88,5.47
5.51,5.94,5.95,5.45
5.90,6.28,6.30,5.77
6.14,5.91,6.44,5.87
5.98,5.66,6.11,5.64
5.73,5.71,5.79,5.48
5.80,5.60,5.99,5.54
5.68,6.04,6.06,5.68
5.92,6.20,6.23,5.86
6.37,6.17,6.46,6.14
6.21,6.42,6.55,6.21
6.40,6.48,6.66,6.19
6.56,6.48,6.62,6.40
6.53,6.69,6.70,6.50
6.74,6.66,6.87,6.53
6.63,6.23,6.73,6.22
6.20,6.35,6.36,6.08
6.27,6.08,6.37,6.06
6.06,6.38,6.41,6.01
6.38,6.17,6.43,6.11
5.98,5.75,6.06,5.67
5.86,5.67,5.97,5.64
5.61,5.73,5.79,5.50
5.81,5.74,5.89,5.69
5.80,5.67,5.96,5.58
5.68,5.95,5.95,5.66
6.03,5.99,6.08,5.77
6.00,6.07,6.12,5.89
6.06,5.98,6.20,5.93
6.12,6.25,6.25,6.01
6.18,6.20,6.29,6.10
6.22,6.16,6.30,6.01
6.09,6.05,6.14,5.90
6.06,6.05,6.12,5.90
5.91,6.32,6.34,5.91
6.35,6.08,6.39,6.05
6.19,6.26,6.31,6.16
6.09,6.45,6.47,6.05
6.47,6.63,6.67,6.35
6.63,6.49,6.78,6.39
6.47,6.48,6.63,6.46
6.52,6.59,6.68,6.43
6.59,6.62,6.74,6.47
6.76,6.66,6.87,6.56
6.65,6.62,6.77,6.43
6.68,6.72,6.82,6.65
6.62,6.78,6.86,6.50
6.66,6.68,6.79,6.56
6.80,6.90,6.94,6.73
6.80,6.77,6.85,6.65
6.58,6.43,6.63,6.41
6.26,6.26,6.42,6.16
6.25,6.13,6.26,6.08
6.26,6.13,6.26,6.05
6.25,6.24,6.29,6.17
6.21,6.15,6.31,6.03
6.11,5.94,6.14,5.94
5.88,5.63,5.91,5.59
5.71,5.54,5.82,5.54
5.42,5.41,5.57,5.40
5.33,5.46,5.50,5.23
5.49,5.42,5.62,5.24
5.50,5.55,5.64,5.31
5.51,5.40,5.61,5.40
5.39,5.44,5.49,5.27
5.55,5.81,5.81,5.52
5.89,5.82,5.92,5.68
5.92,5.91,5.96,5.84
5.85,5.76,5.89,5.72
5.79,5.97,6.00,5.72
