PEY,PowerShares High Yield Equity Dividend Achievers Portfolio,NASDAQ
7.68,7.77,7.79,7.67
7.78,7.68,7.78,7.66
7.68,7.70,7.73,7.68
7.69,7.79,7.79,7.68
7.76,7.80,7.80,7.75
7.83,7.80,7.83,7.76
7.77,7.76,7.80,7.73
7.76,7.83,7.83,7.74
7.85,7.88,7.89,7.83
7.85,7.79,7.85,7.72
7.79,7.89,7.89,7.79
7.84,7.85,7.86,7.76
7.85,7.78,7.90,7.75
7.74,7.66,7.79,7.62
7.67,7.67,7.71,7.62
7.67,7.64,7.71,7.63
7.58,7.71,7.71,7.56
7.74,7.62,7.74,7.57
7.63,7.53,7.68,7.53
7.55,7.58,7.58,7.54
7.56,7.58,7.58,7.49
7.56,7.50,7.56,7.47
7.51,7.39,7.51,7.38
7.36,7.41,7.42,7.30
7.38,7.34,7.42,7.33
7.38,7.40,7.44,7.35
7.36,7.42,7.43,7.33
7.41,7.48,7.48,7.38
7.40,7.46,7.46,7.37
7.48,7.58,7.58,7.48
7.63,7.61,7.63,7.58
7.59,7.70,7.70,7.59
7.66,7.74,7.75,7.66
7.72,7.75,7.76,7.72
7.76,7.69,7.76,7.67
7.73,7.75,7.75,7.67
7.63,7.72,7.72,7.63
7.72,7.68,7.72,7.65
7.72,7.76,7.77,7.67
7.79,7.82,7.83,7.77
7.90,7.82,7.92,7.80
7.87,7.86,7.87,7.81
7.90,7.95,7.95,7.88
7.97,7.98,7.99,7.95
7.98,8.00,8.01,7.95
8.00,8.01,8.04,7.99
8.01,8.04,8.06,7.97
8.10,8.08,8.10,8.03
8.16,8.08,8.16,8.03
8.11,8.14,8.14,8.06
8.12,8.19,8.21,8.12
8.21,8.17,8.21,8.16
8.15,8.15,8.20,8.08
8.14,8.20,8.22,8.13
8.24,8.26,8.26,8.16
8.20,8.19,8.25,8.18
8.22,8.15,8.30,8.14
8.17,8.15,8.20,8.12
8.15,8.19,8.19,8.15
8.20,8.20,8.23,8.17
8.19,8.18,8.24,8.16
8.19,8.21,8.24,8.16
8.19,8.31,8.31,8.19
8.26,8.35,8.37,8.26
8.37,8.33,8.37,8.30
8.30,8.33,8.34,8.28
8.31,8.37,8.37,8.30
8.34,8.38,8.39,8.34
8.36,8.40,8.40,8.33
8.40,8.51,8.51,8.40
8.50,8.49,8.50,8.45
8.47,8.41,8.49,8.35
8.37,8.42,8.43,8.34
8.42,8.48,8.50,8.42
8.47,8.52,8.54,8.47
8.48,8.58,8.59,8.46
8.57,8.64,8.64,8.56
8.61,8.56,8.65,8.56
8.52,8.42,8.61,8.42
8.46,8.50,8.53,8.43
8.56,8.59,8.61,8.49
8.62,8.45,8.63,8.45
8.49,8.55,8.55,8.47
8.48,8.37,8.48,8.33
8.35,8.30,8.40,8.28
8.27,8.06,8.32,3.58
7.67,7.95,8.10,7.67
8.12,8.26,8.30,8.12
8.24,8.35,8.45,8.20
8.36,8.40,8.42,8.33
8.46,8.44,8.50,8.42
8.39,8.29,8.39,8.25
8.30,8.37,8.38,8.24
8.45,8.27,8.45,8.25
8.20,8.23,8.26,8.15
8.07,7.98,8.08,7.98
7.80,7.92,7.92,7.75
7.86,7.86,7.95,7.84
7.68,7.80,7.80,7.62
7.82,7.77,7.86,7.74
7.92,7.97,7.97,7.87
8.02,8.00,8.05,7.95
7.91,7.85,8.00,7.85
7.80,7.91,7.91,7.78
7.98,8.01,8.02,7.94
7.91,7.70,7.91,7.70
7.72,7.67,7.79,7.67
