PGF,PowerShares Financial Preferred,NASDAQ
16.49,16.49,16.50,16.37
16.55,16.76,16.81,16.52
16.83,16.98,16.98,16.78
16.97,16.94,16.97,16.86
16.97,17.01,17.02,16.92
17.09,17.11,17.11,17.03
17.10,17.12,17.14,17.08
17.12,17.14,17.15,17.07
17.15,17.15,17.16,17.10
17.08,17.06,17.09,17.02
17.00,16.98,17.06,16.96
16.95,16.94,16.97,16.90
16.94,16.76,16.95,16.75
16.74,16.63,16.74,16.59
16.63,16.63,16.76,16.56
16.60,16.67,16.74,16.55
16.68,16.64,16.71,16.59
16.68,16.47,16.68,16.44
16.45,16.42,16.57,16.38
16.48,16.59,16.59,16.46
16.63,16.69,16.72,16.60
16.70,16.75,16.75,16.69
16.67,16.44,16.68,16.44
16.44,16.28,16.46,16.19
16.26,16.26,16.29,16.13
16.32,16.39,16.39,16.18
16.39,16.45,16.45,16.31
16.45,16.51,16.53,16.41
16.30,16.36,16.40,16.25
16.44,16.50,16.52,16.36
16.54,16.68,16.68,16.54
16.69,16.79,16.85,16.65
16.77,16.86,16.88,16.75
16.93,16.87,16.96,16.85
16.81,16.77,16.87,16.74
16.82,16.83,16.88,16.80
16.80,16.92,16.92,16.78
16.94,16.95,17.00,16.91
17.00,17.03,17.04,16.99
17.09,17.11,17.12,17.01
17.11,17.10,17.14,17.08
17.10,17.10,17.13,17.06
17.16,17.13,17.17,17.12
17.18,17.19,17.21,17.13
17.16,17.25,17.25,17.15
17.29,17.30,17.31,17.26
17.33,17.37,17.37,17.29
17.43,17.48,17.48,17.37
17.37,17.34,17.42,17.28
17.34,17.49,17.49,17.34
17.50,17.50,17.72,17.42
17.45,17.51,17.55,17.45
17.39,17.39,17.54,17.39
17.33,17.45,17.45,17.22
17.49,17.54,17.62,17.42
17.48,17.46,17.48,17.42
17.53,17.34,17.61,17.34
17.42,17.37,17.52,17.30
17.44,17.39,17.48,17.38
17.45,17.42,17.46,17.40
17.45,17.33,17.49,17.31
17.45,17.41,17.46,17.36
17.54,17.38,17.54,17.35
17.39,17.42,17.45,17.38
17.46,17.39,17.46,17.34
17.38,17.36,17.38,17.28
17.41,17.42,17.42,17.36
17.42,17.48,17.48,17.36
17.48,17.49,17.49,17.45
17.50,17.45,17.52,17.45
17.40,17.38,17.41,17.33
17.34,17.30,17.39,17.18
17.22,17.30,17.30,17.20
17.33,17.31,17.33,17.27
17.39,17.25,17.39,17.25
17.16,17.26,17.27,17.16
17.30,17.27,17.30,17.23
17.22,17.21,17.27,17.19
17.19,17.06,17.20,17.05
17.10,17.01,17.10,16.99
17.06,17.02,17.09,16.96
17.07,16.92,17.12,16.90
17.00,17.02,17.04,16.93
16.96,16.95,17.01,16.90
16.88,16.50,16.88,16.15
16.52,15.53,16.62,14.50
15.52,15.99,15.99,15.18
16.54,16.53,16.68,16.46
16.37,16.53,16.60,16.34
16.59,16.73,16.77,16.56
16.69,16.70,16.80,16.68
16.58,16.31,16.58,16.18
16.27,16.10,16.37,15.85
