PHG,Koninklijke Philips N.V. NY Registry Shares,NASDAQ
30.66,30.83,30.99,30.60
30.88,30.83,30.99,30.58
30.28,30.33,30.46,30.16
29.93,30.16,30.21,29.74
29.98,30.59,30.67,29.94
30.95,30.92,30.98,30.75
30.15,30.12,30.36,30.02
30.54,30.75,30.78,30.28
30.76,31.00,31.04,30.72
31.01,30.47,31.05,30.30
30.15,30.34,30.38,30.04
29.61,29.34,29.62,29.04
29.54,29.05,29.71,28.79
29.00,28.26,29.14,28.24
30.34,30.24,30.40,30.05
30.27,30.95,31.17,30.07
31.37,31.51,31.58,31.12
31.54,30.55,31.55,30.38
30.40,30.24,30.71,30.10
30.85,30.90,30.97,30.68
30.84,31.17,31.27,30.72
31.19,31.14,31.37,30.94
30.49,29.41,30.50,29.38
29.00,28.95,29.09,28.15
28.78,28.38,29.04,28.37
28.94,29.39,29.67,28.63
29.18,28.99,29.35,28.76
29.09,29.49,29.49,28.80
28.69,29.02,29.14,28.58
28.67,29.17,29.29,28.47
29.88,29.82,30.11,29.74
30.10,30.33,30.40,30.03
29.61,30.05,30.11,29.51
30.74,30.32,30.75,30.30
29.82,29.36,30.03,29.30
29.36,29.46,29.72,29.23
28.80,29.17,29.22,28.70
28.93,29.30,29.39,28.69
29.88,30.22,30.22,29.74
30.37,30.31,30.51,30.07
30.79,30.87,31.15,30.70
30.80,30.53,30.89,30.38
31.25,31.81,31.81,31.11
31.75,31.59,31.82,31.50
31.41,31.60,31.81,31.37
32.17,32.62,32.86,32.14
32.56,32.77,32.78,32.29
33.47,33.23,33.47,32.98
32.79,32.59,32.86,32.40
32.90,33.07,33.14,32.78
33.73,33.48,33.94,33.42
33.19,33.34,33.36,32.96
32.86,32.86,33.39,32.79
32.27,33.03,33.05,32.27
33.18,33.42,33.47,33.02
32.47,32.74,32.93,32.41
33.28,33.11,33.80,33.06
33.27,33.21,33.52,33.07
32.17,32.30,32.36,32.07
31.94,32.02,32.08,31.78
32.05,32.02,32.29,31.95
32.62,32.89,32.93,32.61
32.92,32.91,33.15,32.77
32.60,32.80,32.81,32.54
32.62,32.25,32.66,32.16
32.11,32.48,32.55,31.96
32.71,33.02,33.09,32.70
33.51,33.41,33.66,33.33
33.82,33.44,33.85,33.34
33.67,33.93,33.93,33.48
33.27,33.49,33.67,33.21
33.32,32.82,33.45,32.36
33.32,33.53,33.62,33.17
34.76,34.98,35.06,34.74
34.75,34.93,35.03,34.54
34.33,34.84,34.87,34.07
34.96,35.41,35.43,34.89
35.68,35.90,36.06,35.63
34.98,33.79,35.42,33.70
33.80,33.54,33.94,33.19
34.11,34.49,34.64,34.11
34.05,33.34,34.12,33.34
33.45,33.87,33.88,33.43
32.73,31.92,32.73,31.78
31.06,31.18,31.43,30.92
30.91,29.79,31.30,27.90
29.81,29.05,30.15,28.36
32.30,32.30,32.63,31.87
31.83,31.94,32.60,31.67
32.90,32.90,33.07,32.61
32.24,31.83,32.49,31.78
31.76,30.99,31.79,30.52
31.25,31.38,31.46,30.25
32.11,30.89,32.28,30.75
30.55,30.84,31.00,30.13
29.19,29.16,29.95,28.64
28.99,30.11,30.12,28.83
29.38,29.15,29.78,29.09
27.70,28.75,28.81,27.48
29.20,28.63,29.65,28.56
29.81,30.90,30.90,29.73
30.44,29.82,30.49,29.63
29.27,29.33,30.25,29.20
29.40,29.90,29.91,29.14
30.40,30.40,30.49,29.89
29.25,28.62,29.45,28.48
28.75,28.09,29.05,28.09
27.92,28.50,28.53,27.90
29.15,28.73,29.47,28.63
30.14,30.48,30.59,29.92
29.74,30.47,30.52,29.73
31.42,31.18,31.77,31.05
32.03,32.44,32.48,31.83
31.97,32.34,32.46,31.89
32.68,32.37,32.72,31.94
32.38,32.37,32.64,32.25
32.99,32.40,33.08,32.28
31.97,31.37,32.09,31.35
31.66,31.71,31.97,31.22
31.37,31.02,31.48,30.84
30.96,31.34,31.52,30.82
31.68,31.28,31.81,31.17
30.62,30.02,30.66,29.77
29.98,29.84,30.46,29.71
30.26,30.16,30.38,29.51
30.64,30.03,30.76,29.75
31.09,30.65,31.38,30.40
30.60,31.55,31.55,30.54
31.31,31.71,31.75,31.16
31.58,31.89,31.94,31.42
31.74,31.94,32.09,31.64
32.78,33.05,33.22,32.69
33.18,33.24,33.57,32.91
33.09,33.32,33.33,32.65
32.44,31.94,32.46,31.82
31.32,31.08,31.43,30.85
29.94,30.62,30.66,29.92
30.82,30.36,30.91,30.16
31.06,31.65,31.85,31.04
31.37,32.14,32.19,31.19
31.90,32.04,32.09,31.70
31.95,31.51,32.13,31.28
30.98,30.67,31.06,30.57
30.84,30.71,31.20,30.39
30.61,31.12,31.38,30.49
31.72,32.19,32.29,31.57
31.83,31.73,31.98,31.62
31.55,31.49,31.86,31.33
31.43,31.49,31.56,31.29
30.78,31.18,31.26,30.75
31.79,31.70,31.86,31.62
31.04,31.46,31.58,30.81
29.70,28.98,29.72,28.95
29.19,29.42,29.68,29.16
29.02,28.62,29.20,28.62
28.83,28.94,29.19,28.73
29.94,29.74,30.02,29.72
29.94,29.77,30.02,29.57
29.69,28.96,29.83,28.84
28.16,27.92,28.16,27.73
27.60,27.38,27.93,27.35
26.74,26.84,27.10,26.52
27.44,27.92,27.97,27.23
27.91,27.67,28.15,27.54
27.97,28.28,28.30,27.27
27.70,27.42,27.90,27.41
27.69,27.91,28.14,27.58
29.48,29.69,29.91,29.30
29.98,29.94,30.14,29.73
30.65,30.57,30.84,30.26
29.78,29.76,29.92,29.65
29.65,29.77,30.02,29.63
30.37,30.01,30.46,29.89
29.93,30.24,30.30,29.84
