PID,PowerShares International Dividend Achievers Portfolio,NASDAQ
14.15,14.26,14.28,14.07
14.30,14.30,14.33,14.22
14.22,14.30,14.37,14.22
14.29,14.31,14.34,14.19
14.27,14.42,14.42,14.25
14.42,14.50,14.55,14.42
14.47,14.37,14.47,14.29
14.45,14.51,14.53,14.36
14.46,14.61,14.62,14.46
14.51,14.47,14.52,14.35
14.42,14.61,14.62,14.42
14.49,14.34,14.49,14.20
14.31,14.02,14.33,13.99
13.95,13.82,14.01,13.76
13.95,13.97,13.99,13.86
13.90,13.89,13.98,13.78
13.76,13.79,13.85,13.70
13.81,13.64,13.91,13.55
13.63,13.51,13.74,13.47
13.53,13.70,13.70,13.53
13.67,13.86,13.91,13.65
13.72,13.72,13.82,13.66
13.51,13.26,13.74,13.25
13.20,13.11,13.27,12.76
13.04,13.05,13.21,13.02
13.18,13.31,13.37,13.11
13.30,13.33,13.36,13.17
13.24,13.47,13.50,13.23
13.41,13.46,13.46,13.30
13.46,13.69,13.70,13.46
13.77,13.71,13.79,13.65
13.70,13.79,13.79,13.62
13.64,13.76,13.83,13.64
13.79,13.77,13.81,13.70
13.73,13.57,13.76,13.53
13.55,13.63,13.63,13.52
13.44,13.62,13.62,13.37
13.60,13.70,13.70,13.50
13.73,13.77,13.80,13.67
13.90,13.93,13.97,13.83
13.96,14.01,14.08,13.93
14.00,13.96,14.06,13.90
14.06,14.18,14.19,14.00
14.21,14.23,14.26,14.17
14.14,14.20,14.24,14.13
14.19,14.28,14.29,14.17
14.23,14.29,14.30,14.19
14.31,14.35,14.43,14.31
14.36,14.32,14.36,14.19
14.37,14.41,14.42,14.31
14.41,14.46,14.50,14.41
14.47,14.37,14.47,14.29
14.15,14.15,14.32,14.10
14.01,14.21,14.21,14.01
14.22,14.30,14.30,14.17
14.16,14.11,14.18,14.07
14.20,14.10,14.28,14.10
14.15,14.11,14.20,14.08
14.12,14.28,14.28,14.12
14.26,14.27,14.36,14.25
14.21,14.30,14.37,14.21
14.44,14.50,14.51,14.34
14.52,14.60,14.61,14.50
14.51,14.59,14.78,14.46
14.53,14.46,14.56,14.40
14.43,14.47,14.50,14.33
14.56,14.62,14.62,14.51
14.63,14.63,14.70,14.59
14.67,14.65,14.68,14.52
14.72,14.78,14.78,14.66
14.75,14.76,14.84,14.70
14.70,14.58,14.74,14.50
14.51,14.54,14.54,14.36
14.63,14.72,14.72,14.62
14.73,14.63,14.88,14.54
14.52,14.62,14.63,14.42
14.64,14.80,14.80,14.56
14.83,14.70,14.83,14.69
14.59,14.27,14.65,14.26
14.29,14.22,14.29,14.09
14.40,14.40,14.44,14.00
14.44,14.28,14.45,14.25
14.26,14.36,14.38,14.26
14.11,13.95,14.11,13.90
13.73,13.68,13.82,13.58
13.56,13.25,13.65,5.25
13.19,13.03,13.22,12.60
13.52,13.74,13.83,13.11
13.55,13.70,13.84,13.21
13.84,13.84,13.89,13.74
13.77,13.71,13.84,13.70
13.62,13.41,13.67,13.24
13.43,13.36,13.45,13.12
13.42,13.20,13.54,13.14
13.10,13.17,13.25,12.94
12.73,12.63,12.89,12.58
12.53,12.84,12.85,12.32
12.79,12.66,12.85,12.66
12.31,12.67,12.67,12.22
12.68,12.60,12.86,12.54
12.85,13.17,13.17,12.82
13.20,13.02,13.20,12.95
12.93,12.85,13.17,12.84
12.87,13.20,13.21,12.87
13.29,13.28,13.33,13.13
13.11,12.76,13.11,12.72
12.82,12.63,12.86,12.63
12.64,12.77,12.77,12.55
12.78,12.77,13.04,12.73
13.07,13.28,13.28,13.04
13.19,13.37,13.37,13.18
13.52,13.40,13.58,13.37
13.48,13.72,13.75,13.48
13.68,13.75,13.79,13.61
13.73,13.70,13.78,13.62
13.73,13.67,13.73,13.60
13.82,13.62,13.88,13.58
13.62,13.46,13.71,13.46
13.46,13.48,13.51,13.36
13.40,13.26,13.42,13.25
13.25,13.39,13.42,13.21
13.44,13.37,13.44,13.31
13.22,12.96,13.22,12.81
12.85,12.78,13.00,12.78
12.86,12.88,12.97,12.65
12.90,12.84,12.95,12.76
13.01,12.98,13.15,12.91
13.05,13.34,13.34,13.02
13.47,13.47,13.47,13.35
13.41,13.54,13.56,13.41
13.48,13.48,13.57,13.42
13.65,13.74,13.75,13.65
13.72,13.77,13.80,13.67
13.81,13.79,13.82,13.62
13.71,13.47,13.71,13.42
13.50,13.51,13.57,13.41
13.40,13.66,13.67,13.34
13.72,13.48,13.72,13.45
13.65,13.80,13.86,13.65
13.82,13.97,13.97,13.77
13.98,14.07,14.09,13.90
14.19,14.08,14.19,14.01
14.05,13.96,14.05,13.92
14.10,13.92,14.10,13.84
13.77,13.97,14.02,13.77
14.28,14.34,14.35,14.17
14.33,14.33,14.37,14.22
14.37,14.41,14.41,14.29
14.37,14.38,14.41,14.33
14.30,14.33,14.38,14.20
