PKO,Pimco Income Opportunity Fund Common Shares of Beneficial Interest,NASDAQ
22.33,22.28,22.46,22.16
22.36,22.44,22.45,22.33
22.37,22.56,22.59,22.37
22.60,22.52,22.65,22.51
22.57,22.62,22.64,22.43
22.70,22.70,22.82,22.55
22.58,22.42,22.65,22.37
22.38,22.41,22.50,22.38
22.44,22.41,22.44,22.30
22.33,22.49,22.56,22.31
22.49,22.57,22.65,22.47
22.57,22.40,22.57,22.30
22.40,22.42,22.47,22.27
22.30,22.54,22.60,22.27
22.72,22.43,22.72,22.20
22.50,22.35,22.50,22.21
22.42,22.30,22.43,22.21
22.25,22.21,22.42,22.10
22.41,22.16,22.41,22.08
22.08,22.29,22.30,21.91
22.35,22.65,22.71,22.11
22.65,22.75,22.91,22.59
22.75,22.53,22.75,22.50
22.38,22.38,22.39,22.15
22.48,22.76,22.83,22.40
22.95,22.65,22.95,22.43
22.75,22.57,22.76,22.49
22.65,22.61,22.66,22.52
22.58,22.63,22.71,22.54
22.88,22.95,22.95,22.76
22.90,22.85,22.94,22.70
22.85,22.95,22.95,22.80
22.81,22.99,22.99,22.80
23.28,22.88,23.28,22.77
22.97,23.15,23.15,22.82
23.36,23.32,23.45,23.12
23.32,23.91,23.95,23.20
23.94,23.83,23.94,23.67
23.94,23.75,23.95,23.65
23.85,23.99,24.01,23.71
24.16,24.00,24.47,23.90
23.42,24.06,24.21,22.84
24.05,24.25,24.37,24.03
24.21,24.12,24.25,24.03
23.83,23.91,23.93,23.79
23.96,23.77,24.00,23.75
23.75,23.85,23.85,23.70
23.96,23.72,23.96,23.71
23.88,23.65,23.88,23.49
23.66,23.69,23.84,23.46
23.69,23.69,23.79,23.62
23.70,23.84,23.88,23.63
23.67,23.67,23.80,23.50
23.52,23.79,23.79,23.51
23.85,23.97,24.00,23.69
23.87,24.08,24.16,23.87
24.18,24.17,24.33,24.07
24.10,24.12,24.29,24.10
24.06,24.21,24.29,24.06
24.11,24.32,24.46,24.11
24.03,23.97,24.13,23.89
24.00,24.13,24.13,24.00
24.08,24.07,24.27,23.97
23.99,24.18,24.27,23.99
24.25,24.29,24.34,24.08
24.12,24.10,24.21,23.99
24.16,24.18,24.28,24.16
24.33,24.18,24.33,24.17
24.25,24.16,24.27,23.93
24.50,24.26,24.50,24.07
24.27,24.50,24.50,24.27
24.50,24.28,24.55,24.19
24.35,24.20,24.41,24.03
24.20,24.57,24.57,24.20
24.68,24.30,24.69,24.26
24.32,24.48,24.48,24.20
24.54,24.63,24.63,24.32
24.68,24.68,24.75,24.57
24.74,24.51,24.74,24.50
24.68,24.54,24.76,24.42
24.54,24.74,24.74,24.51
24.83,24.96,24.97,24.75
24.99,25.05,25.08,24.89
25.01,25.04,25.08,24.90
25.02,24.62,25.02,24.42
24.55,23.48,24.64,20.27
23.70,24.12,24.18,22.65
24.68,24.50,24.89,23.88
24.34,24.40,24.44,24.06
24.59,24.22,24.59,24.18
24.37,24.11,24.37,24.04
24.20,23.84,24.21,23.65
23.94,23.63,23.98,23.42
24.18,23.83,24.18,23.72
23.84,23.50,23.84,23.13
23.34,23.04,23.34,22.83
22.97,23.10,23.29,22.01
23.16,23.10,23.28,23.00
22.38,22.65,22.74,22.32
22.99,23.04,23.19,22.71
23.23,23.50,23.50,23.20
23.58,23.49,23.58,23.20
23.40,23.65,23.80,23.36
23.71,23.67,23.76,23.49
23.83,23.69,23.83,23.54
23.56,23.55,23.78,23.49
23.74,23.70,23.76,23.56
23.78,23.88,23.88,23.56
23.85,23.85,23.90,23.60
23.90,23.80,23.90,23.64
23.75,23.77,23.87,23.66
24.11,24.15,24.18,23.78
24.30,24.30,24.59,24.29
24.28,24.43,24.43,24.16
24.60,24.53,24.60,24.30
24.58,25.15,25.15,24.49
25.00,24.54,25.06,24.50
24.49,24.66,24.69,24.47
24.59,24.65,24.65,24.44
24.60,24.72,24.72,24.55
24.83,24.74,24.84,24.72
24.86,24.77,24.94,24.68
24.79,24.56,24.84,24.45
24.62,24.78,24.94,24.45
24.91,25.00,25.00,24.58
25.19,25.12,25.19,24.61
25.13,25.14,25.20,25.07
