PKX,POSCO Common Stock,NASDAQ
133.61,135.72,136.20,133.61
135.46,135.54,135.88,134.75
134.55,136.20,136.83,134.44
133.55,134.50,135.09,132.83
134.09,136.60,137.00,131.78
139.11,140.10,140.34,138.89
138.49,135.35,138.49,134.92
133.33,135.42,135.76,133.00
132.99,133.67,133.95,131.80
132.02,131.04,132.50,130.36
134.28,136.02,136.15,133.44
134.86,135.55,135.93,133.67
135.03,129.55,135.18,129.08
129.12,123.10,129.56,123.00
126.69,125.73,128.26,124.20
123.01,120.83,123.07,120.38
119.11,119.87,120.58,117.08
120.25,117.77,121.50,117.20
117.98,112.95,118.59,112.14
114.99,117.16,117.60,114.07
118.08,118.41,119.18,116.86
120.11,119.27,121.12,118.36
117.94,112.28,118.18,112.25
111.29,111.90,111.98,107.22
110.46,108.23,110.84,108.23
112.57,114.57,116.09,112.55
115.07,113.94,116.05,112.00
115.04,117.69,118.00,114.92
114.49,115.97,116.31,111.95
118.16,119.74,120.50,118.16
120.76,119.50,120.76,118.84
116.71,120.04,120.35,116.71
115.80,117.80,118.98,115.80
118.69,120.30,120.96,118.56
119.49,117.23,119.61,117.13
117.01,117.32,118.46,115.98
114.43,114.99,115.17,112.26
114.95,115.46,115.69,113.08
115.46,116.73,117.11,114.84
118.06,117.39,118.16,116.82
117.32,117.20,119.06,116.70
117.95,117.59,118.78,116.70
120.05,121.34,121.49,119.95
122.85,124.33,124.94,122.85
122.75,124.00,125.11,122.70
124.35,124.96,125.36,123.48
123.51,123.82,123.82,121.80
124.28,123.22,124.56,122.54
122.40,121.50,122.40,119.77
120.88,121.44,121.67,120.00
122.99,123.80,125.09,122.97
122.29,121.23,122.68,120.58
118.49,118.49,121.62,118.49
116.45,117.50,117.98,115.67
117.35,118.12,118.43,116.14
117.16,116.80,117.73,116.50
117.44,115.16,118.23,114.88
116.55,116.74,118.04,115.12
118.25,119.90,120.20,117.49
119.52,118.39,119.52,117.05
117.52,117.01,118.17,116.93
117.59,119.77,120.35,117.59
122.82,124.83,124.87,122.68
125.97,124.39,125.97,123.96
124.78,122.59,125.14,121.93
121.93,124.80,124.94,121.87
124.00,122.10,124.00,121.01
121.57,121.17,122.27,120.53
120.03,119.50,120.58,118.73
120.54,121.90,122.00,120.54
121.46,120.60,121.92,120.08
120.30,118.33,120.93,117.83
117.93,117.56,118.77,116.66
119.06,118.98,120.24,118.38
118.44,118.69,119.42,117.55
117.01,118.88,119.00,116.12
118.87,119.06,119.15,116.99
120.06,121.42,123.03,120.06
120.03,115.23,120.03,115.02
116.84,115.64,116.84,114.42
116.46,115.87,116.99,115.23
114.42,112.16,114.66,111.96
111.30,110.35,111.30,108.95
108.03,105.86,108.36,104.17
104.10,105.27,107.70,103.36
104.75,101.03,107.14,96.40
101.71,101.78,104.80,99.09
108.57,107.10,108.57,105.56
102.53,102.79,105.21,102.15
102.10,101.63,102.20,100.45
101.29,101.50,102.83,100.47
102.50,99.66,102.65,98.69
97.86,96.63,98.60,93.89
99.29,97.32,100.31,96.27
95.47,95.23,96.70,93.47
89.27,88.78,91.16,87.89
87.93,92.33,93.11,87.80
92.65,92.80,94.86,92.65
88.27,91.72,91.78,88.00
93.10,91.60,93.99,91.22
95.00,99.08,99.08,95.00
98.44,96.37,98.44,95.49
94.37,92.50,95.64,92.50
93.00,97.10,97.22,93.00
98.27,98.14,99.20,96.30
94.68,91.21,94.68,90.58
90.65,89.57,91.91,89.46
90.29,92.19,92.23,89.70
91.31,89.32,92.23,88.80
91.42,93.53,93.65,91.30
92.28,94.64,94.64,92.28
96.99,95.28,97.74,94.91
96.15,97.85,98.04,94.83
96.55,98.57,98.95,96.55
99.00,96.67,99.29,95.84
97.00,97.25,97.76,96.82
103.24,103.76,105.78,102.64
104.18,102.31,105.22,102.10
104.90,105.14,105.70,103.54
104.60,102.50,104.71,102.20
102.64,103.51,104.10,99.96
101.89,101.13,102.70,100.26
98.90,94.84,98.90,94.01
95.07,94.32,96.35,93.82
94.44,94.67,95.29,92.34
95.21,94.74,96.74,94.23
98.51,98.30,100.85,97.48
98.36,101.14,101.37,98.36
102.44,103.65,103.84,101.51
104.43,106.00,106.20,103.88
105.73,103.33,105.73,102.40
106.15,104.00,106.26,103.08
101.89,102.50,103.14,101.49
102.42,102.39,109.00,99.91
100.92,99.99,101.97,99.49
101.42,101.47,101.87,100.18
100.51,105.44,105.47,100.51
107.28,104.73,107.53,104.00
106.99,108.41,109.07,106.99
108.84,109.07,109.43,107.24
108.92,109.60,109.77,108.17
