PLAB,Photronics,NASDAQ
4.56,4.62,4.65,4.48
4.62,4.39,4.62,4.37
4.39,4.29,4.49,4.26
4.27,4.16,4.30,4.15
4.16,4.34,4.35,4.15
4.59,4.44,4.59,4.36
4.37,4.30,4.43,4.28
4.31,4.42,4.47,4.25
4.43,4.44,4.51,4.38
4.46,4.29,4.46,4.20
4.29,4.29,4.33,4.21
4.24,4.10,4.24,4.07
4.10,3.96,4.20,3.96
4.03,3.95,4.23,3.93
3.99,3.92,4.02,3.86
3.89,3.94,3.97,3.82
3.92,4.00,4.05,3.83
4.03,3.90,4.10,3.89
3.93,3.85,4.04,3.79
3.87,3.94,4.00,3.84
3.96,3.99,4.03,3.90
3.95,3.90,4.02,3.86
3.86,3.79,3.89,3.72
3.79,3.63,3.79,3.52
3.63,3.64,3.75,3.58
3.70,3.83,3.85,3.60
3.78,3.82,3.86,3.64
3.79,3.99,3.99,3.70
3.91,4.09,4.10,3.85
4.13,4.41,4.47,4.03
4.50,4.18,4.50,3.98
4.16,4.40,4.41,4.15
4.39,4.51,4.54,4.31
4.59,4.48,4.66,4.46
4.50,4.42,4.57,4.40
4.46,4.52,4.62,4.42
4.40,4.56,4.56,4.26
4.55,4.40,4.55,4.31
4.46,4.60,4.60,4.44
4.60,4.51,4.65,4.45
4.54,4.68,4.75,4.53
4.70,4.75,4.75,4.63
4.75,4.77,4.83,4.66
4.78,4.80,4.80,4.66
4.79,4.81,4.84,4.65
4.80,4.86,4.90,4.69
4.80,4.83,4.90,4.75
4.85,4.71,4.85,4.69
4.71,4.65,4.82,4.59
4.66,4.90,4.90,4.61
4.89,5.03,5.19,4.83
5.05,5.09,5.15,4.90
5.13,4.58,5.13,4.58
4.53,4.92,4.93,4.47
4.96,5.28,5.36,4.96
5.23,5.29,5.33,5.08
5.31,5.20,5.32,5.10
5.20,5.10,5.30,5.05
5.12,5.30,5.31,5.12
5.30,5.10,5.31,5.02
5.07,5.10,5.28,5.02
5.13,5.02,5.19,4.95
5.04,5.24,5.28,5.02
5.17,5.25,5.28,5.17
5.26,5.43,5.45,5.21
5.38,5.44,5.49,5.26
5.43,5.44,5.57,5.34
5.46,5.36,5.49,5.34
5.36,5.44,5.46,5.34
5.50,5.92,5.98,5.50
5.88,5.88,5.93,5.77
5.83,5.57,5.92,5.53
5.55,5.44,5.66,5.36
5.49,5.60,5.60,5.33
5.64,5.58,5.67,5.47
5.45,5.69,5.70,5.41
5.71,5.70,5.74,5.57
5.71,5.55,5.77,5.54
5.50,5.54,5.66,5.40
5.58,5.71,5.72,5.34
5.76,5.67,5.77,5.57
5.68,5.45,5.68,5.45
5.48,5.60,5.64,5.35
5.49,5.23,5.57,5.23
5.21,4.99,5.26,4.99
4.97,4.76,5.17,4.44
4.76,4.56,4.79,4.35
4.93,4.90,4.96,4.65
4.78,5.08,5.11,4.66
5.12,5.28,5.28,5.08
5.25,5.07,5.29,5.01
5.00,5.08,5.10,4.85
5.14,5.21,5.24,4.96
5.30,4.91,5.30,4.82
5.15,4.84,5.24,4.72
4.65,4.72,4.93,4.61
4.56,4.76,4.90,4.45
4.78,4.75,4.95,4.67
4.65,4.86,4.88,4.62
4.90,4.73,5.03,4.71
4.89,4.84,4.94,4.78
4.83,5.06,5.11,4.55
5.00,4.94,5.19,4.94
4.99,5.08,5.08,4.79
5.12,5.25,5.27,5.04
5.07,4.82,5.10,4.80
4.85,4.52,4.92,4.51
4.55,4.45,4.65,4.32
4.53,4.55,4.63,4.42
4.68,4.72,4.76,4.59
4.64,4.82,4.85,4.64
4.90,4.97,5.08,4.87
5.04,5.10,5.16,4.85
5.05,5.13,5.20,5.03
5.15,5.14,5.20,5.01
5.18,5.05,5.19,4.98
5.17,4.97,5.29,4.89
5.00,4.86,5.11,4.85
4.83,4.77,4.95,4.70
4.71,4.59,4.72,4.50
4.64,4.70,4.71,4.52
4.69,4.58,4.75,4.58
4.50,4.47,4.62,4.43
4.46,4.52,4.56,4.42
4.51,4.45,4.54,4.33
4.51,4.35,4.70,4.35
4.47,4.17,4.55,4.07
4.20,4.49,4.50,4.03
4.56,4.55,4.58,4.41
4.53,4.66,4.68,4.45
4.62,4.49,4.69,4.49
4.55,4.87,4.87,4.54
4.83,4.83,4.98,4.79
4.85,4.81,4.85,4.63
4.75,4.35,4.75,4.33
4.39,4.65,4.67,4.39
4.56,4.65,4.65,4.49
4.69,4.60,4.81,4.55
4.70,4.92,4.95,4.62
4.88,4.88,4.98,4.81
4.89,4.90,4.92,4.74
4.95,4.95,5.03,4.90
4.95,4.54,5.03,4.51
4.57,4.47,4.67,4.37
4.37,4.52,4.56,4.34
4.63,4.45,4.71,4.40
4.41,4.49,4.57,4.26
4.51,4.55,4.57,4.48
4.49,4.55,4.58,4.45
4.45,4.65,4.70,4.44
4.72,4.85,4.86,4.71
4.76,4.52,4.79,4.52
4.41,4.09,4.43,4.06
4.01,4.11,4.23,3.90
4.07,3.95,4.14,3.94
3.91,4.06,4.14,3.88
4.13,4.38,4.51,4.06
4.47,4.49,4.68,4.44
4.45,4.30,4.60,4.30
4.22,4.26,4.33,4.16
4.31,4.32,4.42,4.24
4.25,4.23,4.30,4.16
4.19,4.42,4.43,4.14
4.43,4.40,4.50,4.39
4.48,4.45,4.52,4.27
4.44,4.33,4.52,4.32
4.32,4.31,4.35,4.22
4.40,4.55,4.55,4.31
4.52,4.58,4.60,4.49
4.60,4.49,4.66,4.41
4.35,4.33,4.42,4.32
4.36,4.33,4.39,4.31
4.41,4.37,4.43,4.28
4.38,4.36,4.46,4.28
4.43,4.50,4.54,4.43
4.49,4.72,4.75,4.42
4.67,4.67,4.72,4.50
4.64,4.73,4.73,4.61
4.80,4.62,4.82,4.61
4.61,4.68,4.70,4.51
4.66,4.62,4.79,4.50
4.59,4.76,4.76,4.50
4.70,4.93,4.98,4.60
4.98,5.11,5.13,4.95
5.15,5.38,5.47,5.10
5.43,5.22,5.45,5.16
5.19,5.45,5.49,5.19
5.52,5.29,5.62,5.17
5.39,5.32,5.50,5.20
5.36,5.28,5.45,5.18
