PLND,VanEck Vectors Poland ETF,NASDAQ
25.00,25.09,25.14,25.00
25.26,25.13,25.34,25.00
24.98,25.34,25.36,24.98
24.90,24.97,25.01,24.76
24.77,25.32,25.32,24.61
25.60,25.65,25.67,25.49
25.15,25.00,25.34,25.00
25.65,25.85,25.85,25.41
25.40,25.63,25.63,25.40
25.47,25.25,25.47,25.05
25.76,26.11,26.11,25.65
25.61,25.31,25.61,25.04
25.16,24.52,25.16,24.43
24.30,23.99,24.39,23.81
24.15,24.35,24.57,24.15
24.03,24.14,24.44,23.98
23.97,24.07,24.12,23.68
23.84,23.73,23.90,23.39
24.07,23.57,24.24,23.53
24.18,24.29,24.29,24.08
24.39,24.77,24.80,24.28
24.53,24.40,24.56,24.20
23.54,22.41,23.54,22.34
22.15,22.02,22.18,21.23
21.75,21.54,21.92,21.53
22.00,22.20,22.41,21.78
22.39,22.20,22.39,22.00
21.92,22.36,22.39,21.71
22.19,22.35,22.59,22.19
22.42,23.01,23.01,22.42
23.22,22.90,23.27,22.90
22.78,22.91,22.95,22.74
22.69,22.78,22.93,22.44
23.11,23.00,23.11,22.86
22.44,22.26,22.52,22.26
22.47,22.66,22.76,22.46
22.20,22.43,22.43,21.96
22.63,23.12,23.17,22.63
23.05,23.33,23.33,23.03
23.82,24.04,24.10,23.80
24.07,24.26,24.47,24.07
24.21,24.10,24.21,24.06
24.45,24.67,24.75,24.45
24.72,24.80,24.84,24.72
24.41,24.78,24.92,24.40
24.87,24.95,25.08,24.87
24.87,24.84,24.87,24.84
25.32,25.17,25.41,25.06
24.97,24.90,24.97,24.63
25.08,25.69,25.69,25.08
25.77,25.74,25.83,25.72
25.48,25.35,25.50,25.21
25.01,25.01,25.31,24.87
24.51,24.96,24.98,24.50
25.15,25.35,25.35,25.15
24.80,24.74,24.88,24.68
25.13,24.82,25.40,24.82
25.25,25.10,25.25,24.97
25.41,25.51,25.51,25.41
25.60,25.59,25.64,25.53
25.75,25.87,25.98,25.74
26.30,26.45,26.61,26.25
26.59,26.65,26.70,26.59
26.43,26.61,26.62,26.28
26.18,26.16,26.34,26.01
25.79,25.99,25.99,25.67
26.02,26.27,26.31,25.98
26.54,26.71,26.82,26.54
26.85,26.92,26.93,26.60
27.15,27.39,27.40,26.97
27.06,27.07,27.10,26.84
26.81,26.29,26.81,26.07
25.69,25.91,25.91,25.41
26.35,26.32,26.36,26.09
26.39,26.15,26.39,25.89
25.60,25.64,25.64,25.20
25.53,25.93,25.94,25.39
26.20,26.09,26.27,26.07
25.65,24.73,25.65,24.66
24.88,24.86,25.07,24.20
25.08,25.52,25.53,25.08
25.79,25.27,25.79,25.27
25.39,25.56,25.56,25.23
24.56,23.41,24.56,23.31
22.51,22.59,22.98,22.27
22.23,21.14,22.46,19.50
21.63,21.22,21.79,20.52
22.22,23.30,23.57,22.22
22.78,22.88,23.14,22.54
23.15,23.38,23.39,23.13
23.08,22.91,23.26,22.85
22.73,21.92,22.73,21.55
21.94,22.20,22.26,21.46
22.50,21.30,22.50,21.19
20.98,21.14,21.24,20.58
20.23,20.09,20.56,19.81
20.27,21.24,21.25,20.27
20.86,20.77,21.01,20.62
19.79,20.51,20.51,19.75
20.74,20.61,21.04,20.39
21.34,21.95,21.95,21.34
21.80,21.76,21.98,21.46
21.11,20.81,21.67,20.81
21.39,21.77,21.77,21.39
21.95,21.68,21.95,21.41
20.38,19.88,20.58,19.78
19.96,19.61,20.14,19.61
19.99,20.34,20.34,19.84
20.47,20.06,20.70,19.98
20.87,21.16,21.16,20.75
20.75,20.62,20.86,20.62
21.61,21.24,21.62,21.24
21.59,22.02,22.02,21.45
21.60,21.72,21.80,21.57
21.55,21.41,21.62,21.18
21.32,21.62,21.62,21.32
21.98,21.42,22.00,21.40
21.67,21.20,21.69,21.20
21.22,21.21,21.22,20.82
20.91,20.73,20.95,20.64
20.81,21.08,21.17,20.70
20.75,20.70,20.92,20.63
20.06,19.83,20.07,19.71
20.09,19.89,20.18,19.89
20.32,20.33,20.33,19.90
20.77,20.54,20.85,20.52
21.39,21.09,21.44,20.95
21.22,22.00,22.00,21.22
21.96,21.86,21.96,21.48
21.62,21.80,21.80,21.62
21.86,21.82,21.87,21.71
22.12,22.23,22.33,22.06
22.25,22.41,22.62,22.25
22.72,22.80,22.81,22.43
22.78,22.16,22.78,22.15
22.24,22.33,22.33,22.19
21.96,22.20,22.21,21.91
22.50,22.17,22.60,22.04
22.95,23.20,23.22,22.95
22.97,23.56,23.61,22.97
23.79,23.98,24.02,23.76
24.09,23.94,24.17,23.74
23.73,23.71,24.00,23.68
24.20,23.92,24.24,23.70
23.53,24.06,24.09,23.53
24.60,24.94,24.95,24.58
24.91,24.84,24.93,24.66
24.97,24.97,25.00,24.79
24.95,24.87,24.95,24.70
24.89,24.81,25.12,24.74
24.94,25.02,25.04,24.84
24.29,24.53,24.65,24.22
23.67,23.31,23.67,23.27
23.36,23.34,23.43,23.26
23.10,22.96,23.10,22.96
23.35,23.57,23.70,23.16
24.04,24.14,24.17,24.04
23.85,24.05,24.10,23.81
23.85,23.40,23.85,23.32
22.95,23.14,23.14,22.87
23.30,22.78,23.30,22.77
22.40,22.58,22.71,22.38
22.18,22.57,22.61,22.18
22.67,22.38,22.82,22.38
22.87,23.30,23.31,22.61
22.93,22.43,22.93,22.43
22.58,22.78,22.96,22.58
23.30,23.50,23.54,23.16
23.53,23.63,23.63,23.46
23.94,24.05,24.05,23.85
23.93,23.63,23.93,23.63
24.00,24.06,24.24,24.00
24.25,24.05,24.28,24.00
23.99,24.12,24.15,23.96
24.76,24.78,24.78,24.58
24.67,25.00,25.03,24.54
24.66,24.96,24.96,24.66
24.83,24.88,24.92,24.73
24.61,24.75,24.78,24.61
24.84,25.15,25.17,24.82
25.29,25.43,25.43,25.13
25.75,25.64,25.77,25.55
25.16,25.18,25.47,25.11
25.88,26.06,26.09,25.85
26.06,25.99,26.10,25.92
25.59,26.10,26.10,25.58
25.95,25.92,26.10,25.84
26.02,26.10,26.29,25.93
26.64,26.62,26.67,26.43
26.47,26.41,26.58,26.28
26.92,27.37,27.40,26.82
27.31,27.40,27.50,27.20
27.45,26.93,27.45,26.63
26.87,27.09,27.11,26.79
26.95,26.96,27.24,26.92
26.76,27.24,27.24,26.76
27.62,27.99,28.09,27.55
28.00,28.11,28.23,27.89
28.07,27.87,28.18,27.65
27.68,27.86,27.87,27.50
27.14,26.49,27.14,26.35
26.75,27.30,27.40,26.75
27.50,27.14,27.65,26.98
27.27,27.31,27.33,27.19
27.95,27.51,28.00,27.51
27.22,27.63,27.63,27.22
27.44,27.35,27.44,27.08
27.52,27.56,27.56,27.32
27.65,27.56,27.67,27.43
27.82,27.80,27.95,27.63
28.38,28.39,28.43,28.13
28.41,28.74,28.78,28.07
29.56,29.59,29.63,29.25
29.21,29.22,29.47,29.04
28.88,28.82,28.90,28.60
29.25,28.59,29.25,28.58
28.85,28.80,28.88,28.43
28.42,28.40,28.42,28.08
28.42,28.05,28.44,27.93
