PLW,PowerShares 1-30 Laddered Treasury Portfolio,NASDAQ
26.60,26.61,26.68,26.58
26.74,26.74,26.84,26.67
26.77,26.55,26.77,26.55
26.64,26.56,26.65,26.56
26.63,26.60,26.67,26.53
26.56,26.58,26.64,26.53
26.80,26.83,26.87,26.77
26.77,26.68,26.84,26.68
26.74,26.88,26.90,26.73
26.94,26.91,26.95,26.86
26.78,26.82,26.92,26.78
26.91,27.03,27.06,26.91
26.93,27.12,27.14,26.93
27.10,27.16,27.17,27.04
27.08,27.03,27.12,27.03
27.09,27.02,27.10,27.02
27.11,27.00,27.16,27.00
26.90,27.04,27.04,26.90
27.02,27.12,27.17,26.99
27.05,27.06,27.14,26.97
26.99,27.08,27.09,26.98
26.92,26.91,26.97,26.88
27.04,27.17,27.17,27.02
27.14,27.20,27.30,27.09
27.22,27.19,27.24,27.16
27.18,27.05,27.24,27.05
27.05,26.93,27.14,26.89
26.91,26.86,26.91,26.79
26.86,26.80,26.86,26.79
26.78,26.83,26.88,26.69
26.72,26.69,26.81,26.64
26.66,26.57,26.66,26.51
26.65,26.64,26.65,26.54
26.59,26.59,26.66,26.58
26.66,26.89,26.90,26.66
26.84,26.85,26.91,26.82
27.01,26.98,27.02,26.95
27.02,27.06,27.12,27.02
27.07,27.09,27.13,26.98
27.00,27.10,27.12,26.97
27.07,27.07,27.08,26.98
27.04,27.11,27.16,27.04
26.99,26.92,27.01,26.85
26.82,26.84,26.87,26.81
26.88,26.86,26.89,26.78
26.76,26.84,26.84,26.72
26.80,26.86,26.86,26.74
26.78,26.94,26.98,26.78
26.83,26.88,26.88,26.79
26.84,26.97,26.97,26.84
26.99,27.01,27.04,26.96
26.99,26.98,27.01,26.94
27.02,27.02,27.07,26.94
27.05,27.06,27.06,27.01
26.98,26.95,27.02,26.95
26.75,26.58,26.79,26.58
26.60,26.52,26.60,26.44
26.45,26.56,26.59,26.45
26.58,26.55,26.58,26.49
26.52,26.59,26.59,26.47
26.60,26.70,26.70,26.58
26.63,26.63,26.75,26.55
26.45,26.34,26.45,26.30
26.42,26.33,26.42,26.31
26.32,26.60,26.60,26.31
26.58,26.55,26.61,26.53
26.51,26.58,26.63,26.50
26.67,26.69,26.72,26.65
26.76,26.77,26.79,26.71
26.74,26.63,26.75,26.63
26.47,26.63,26.64,26.47
26.61,26.72,26.75,26.61
26.77,26.66,26.77,26.66
26.67,26.74,26.74,26.66
26.80,26.87,26.89,26.77
26.92,26.80,26.92,26.80
26.79,26.70,26.79,26.68
26.80,26.76,26.84,26.70
26.91,27.01,27.04,26.85
26.95,26.81,26.95,26.81
26.92,26.94,26.94,26.85
27.00,27.16,27.16,27.00
27.03,27.11,27.20,26.95
27.29,27.39,27.40,27.26
27.50,27.49,27.58,27.40
27.51,27.95,28.38,27.47
27.86,27.82,28.13,27.77
27.38,27.48,27.53,27.36
27.50,27.50,27.52,27.40
27.43,27.38,27.49,27.37
27.44,27.46,27.52,27.33
27.50,27.62,27.70,27.50
27.56,27.52,27.71,27.45
27.66,27.84,27.87,27.60
27.85,27.84,27.98,27.81
28.11,28.24,28.27,28.11
28.45,28.27,28.48,28.17
28.34,28.24,28.34,28.19
28.53,28.36,28.55,28.34
28.26,28.24,28.27,28.12
27.96,27.86,28.00,27.84
27.88,27.99,28.00,27.88
28.15,28.09,28.15,27.95
28.12,27.93,28.12,27.90
27.79,27.83,27.93,27.75
28.15,28.27,28.28,28.10
28.19,28.41,28.41,28.19
28.30,28.27,28.39,28.26
28.21,28.31,28.32,28.16
28.15,27.97,28.15,27.94
28.09,28.18,28.23,28.08
