PNTR,Pointer Telocation Ltd. - Ordinary Shares,NASDAQ
6.51,6.70,6.74,6.51
6.43,6.79,6.79,6.43
6.79,6.90,6.90,6.79
6.75,6.90,7.06,6.75
6.99,6.97,7.00,6.97
6.79,6.88,6.88,6.65
6.66,6.41,6.69,6.41
6.55,6.55,6.55,6.54
6.80,6.99,7.22,6.60
7.15,6.77,7.15,6.71
6.90,6.83,6.90,6.83
6.90,6.70,7.22,6.70
6.70,6.70,6.70,6.70
6.66,6.61,6.66,6.61
6.51,6.46,6.51,6.41
6.31,6.90,7.20,6.28
6.90,6.90,6.90,6.90
6.81,6.81,6.81,6.81
6.97,6.63,6.97,6.63
6.95,6.80,6.95,6.80
7.11,7.00,7.22,6.80
7.20,7.00,7.20,7.00
7.22,6.86,7.22,6.81
6.84,6.82,6.84,6.82
6.90,7.00,7.01,6.90
7.10,7.08,7.20,7.00
7.08,7.08,7.08,7.08
7.16,7.01,7.16,7.01
7.01,7.10,7.26,6.50
7.28,7.46,7.57,7.26
7.58,7.34,7.58,7.26
7.25,7.31,7.31,7.25
7.58,7.50,7.70,7.27
7.75,7.52,7.78,7.42
7.52,7.52,7.52,7.40
7.41,7.28,7.41,7.17
6.99,6.85,6.99,6.85
6.80,6.80,6.80,6.80
6.51,6.52,6.81,6.51
6.67,6.84,7.85,6.66
7.14,7.06,7.17,6.92
7.01,6.99,7.01,6.98
6.94,6.94,6.94,6.94
6.99,7.20,7.84,6.91
7.36,7.30,7.36,7.30
7.30,7.30,7.30,7.30
7.38,7.38,7.38,7.38
7.43,7.20,7.43,7.20
7.20,7.20,7.20,7.20
7.20,7.36,7.36,6.91
7.20,7.19,7.20,7.19
7.19,7.19,7.19,7.19
7.19,7.19,7.19,7.19
6.93,6.87,6.93,6.87
7.04,7.04,7.04,7.04
7.02,7.17,7.17,7.02
7.27,7.09,7.27,6.95
6.82,6.83,6.83,6.82
6.83,6.83,6.83,6.83
6.85,6.85,6.85,6.85
6.85,6.85,6.85,6.85
6.85,6.85,6.85,6.85
6.85,6.85,6.85,6.85
6.81,6.80,6.81,6.80
6.71,7.09,7.09,6.71
7.09,7.09,7.09,7.09
7.09,7.09,7.09,7.09
7.09,7.09,7.09,7.09
7.09,7.09,7.09,7.09
7.09,7.09,7.09,7.09
7.09,7.09,7.09,7.09
7.09,7.09,7.09,7.09
6.85,6.71,6.85,6.71
6.62,6.80,6.80,6.51
6.80,6.80,6.80,6.80
6.55,6.55,6.55,6.55
6.42,6.33,6.55,6.30
6.40,6.26,6.51,6.25
