PPLT,ETFS Physical Platinum Shares,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
158.07,159.00,160.00,155.80
160.95,160.21,165.00,159.15
159.04,157.16,160.39,155.08
157.24,158.03,158.15,155.60
160.13,161.45,161.85,159.72
160.68,160.25,161.25,159.50
162.23,165.12,165.20,162.17
163.51,163.22,163.51,159.09
161.86,159.79,162.50,159.12
154.84,154.88,155.97,152.26
154.72,155.19,155.20,153.93
150.90,153.52,153.64,150.80
152.45,149.99,153.20,148.27
152.08,151.21,152.08,148.66
151.12,150.47,152.43,149.43
152.19,155.06,155.08,152.00
156.07,158.40,158.42,155.49
158.01,157.70,158.89,156.60
154.55,150.41,155.15,149.81
147.99,148.02,149.00,145.14
147.86,147.10,148.48,146.98
149.95,150.25,151.21,148.79
150.92,151.34,151.49,149.25
150.37,152.94,152.95,149.65
150.32,151.45,151.52,148.96
153.51,153.70,154.30,152.90
154.62,153.12,154.82,152.57
153.16,153.23,153.42,151.69
151.51,153.37,154.37,151.00
153.70,152.57,153.70,151.67
152.30,151.46,152.30,150.52
150.83,150.37,151.52,150.37
150.84,153.11,153.11,150.84
153.40,154.08,154.29,152.69
155.00,154.65,155.42,154.12
156.54,157.00,157.69,156.21
157.98,157.75,158.65,157.46
157.59,158.21,158.29,156.78
157.86,157.62,158.52,157.29
160.24,159.82,160.33,158.43
158.07,158.91,159.82,158.03
160.18,159.38,161.59,157.79
158.74,161.02,161.04,158.34
161.53,160.54,162.01,159.88
161.45,161.99,162.10,160.49
162.42,163.08,163.19,162.16
163.64,162.68,163.84,162.61
162.87,162.53,163.25,162.27
160.77,160.77,162.01,159.84
157.61,159.56,160.00,157.23
159.52,160.73,160.73,159.28
158.44,157.72,158.91,157.64
159.20,160.02,160.78,158.87
159.98,159.53,159.98,159.00
161.52,162.80,162.82,160.96
162.18,161.95,162.25,161.46
164.39,164.29,164.74,163.70
165.85,166.77,167.18,165.74
168.34,170.43,170.43,168.12
169.94,170.04,170.63,169.66
171.35,170.18,171.84,170.00
169.85,171.16,171.43,169.63
171.62,172.49,172.49,171.19
172.62,172.19,173.70,172.18
171.69,171.36,171.69,170.09
172.49,172.53,172.81,171.95
171.84,171.74,172.49,171.63
170.97,169.00,171.47,168.15
168.03,169.66,169.67,168.03
171.52,171.32,172.19,171.14
173.46,173.10,173.71,172.59
173.27,174.30,174.33,171.91
172.45,173.83,174.02,171.91
174.82,174.30,174.92,173.26
172.72,171.95,173.51,170.84
170.97,170.70,171.04,170.21
170.97,172.69,173.19,170.96
173.85,173.55,174.25,172.94
173.78,172.08,173.85,171.74
170.03,166.99,170.03,166.98
163.00,164.39,165.84,162.06
166.20,164.53,167.43,162.50
165.22,166.21,166.30,163.95
169.08,169.16,169.27,168.35
168.88,169.58,169.78,168.25
170.73,174.20,174.56,170.70
172.95,173.29,174.08,172.50
172.26,171.58,172.26,169.88
169.88,166.26,169.88,164.82
168.50,166.50,169.28,166.40
161.23,159.70,161.60,157.81
151.31,151.66,153.20,148.96
149.78,150.16,151.10,149.00
152.19,152.83,153.22,151.81
148.82,150.61,151.06,148.28
152.73,152.19,153.70,151.78
153.48,155.99,156.00,153.19
155.57,154.40,156.10,153.62
154.73,154.32,155.99,154.32
153.58,154.89,155.41,153.25
155.78,154.10,155.86,153.65
152.13,151.01,152.55,150.60
150.00,150.67,151.42,149.25
151.24,152.34,152.47,151.24
153.60,152.45,153.68,151.33
152.70,153.10,154.31,152.58
153.54,153.31,154.20,152.83
155.24,155.53,156.30,155.05
155.59,157.11,157.21,155.14
156.61,156.47,156.99,156.27
157.49,157.31,157.52,156.48
157.36,158.83,158.95,156.92
160.34,158.47,160.51,158.12
158.76,158.21,159.10,157.69
157.30,156.68,157.30,155.05
154.56,155.58,156.33,154.25
155.81,156.66,157.00,155.45
157.61,155.76,157.85,155.76
154.40,153.62,154.95,153.02
152.55,152.57,153.72,152.25
150.99,149.98,151.25,148.78
151.05,150.00,151.16,148.26
150.78,151.20,151.90,149.73
150.83,152.17,152.26,150.61
152.45,151.51,152.49,150.30
152.01,152.87,153.10,152.01
152.17,150.85,152.28,150.69
152.38,152.10,152.98,151.46
151.95,151.60,152.88,151.40
152.61,152.58,152.72,152.00
150.69,150.76,151.33,150.00
149.95,150.81,150.81,149.88
149.77,151.49,151.75,149.34
152.01,151.48,152.36,150.96
151.72,151.97,152.50,151.72
153.53,153.74,154.40,153.32
154.56,154.36,154.93,154.08
154.97,152.93,154.97,152.65
153.25,153.56,153.56,153.13
155.00,155.60,156.09,154.58
155.43,156.85,157.05,154.90
158.53,159.61,159.61,158.17
158.51,157.42,158.88,157.39
158.73,157.87,158.73,157.37
156.72,156.86,157.06,155.95
156.71,157.11,157.58,156.00
155.12,154.11,155.35,153.52
153.28,153.82,154.12,152.82
153.27,151.29,153.29,150.85
151.84,152.58,152.64,151.80
152.28,151.71,152.28,151.30
152.89,152.95,153.06,152.49
153.57,153.80,154.10,153.20
152.59,152.98,153.15,151.79
153.59,152.07,153.59,151.44
151.16,150.50,151.29,150.50
150.72,150.39,150.90,149.75
148.97,150.81,151.22,148.73
151.38,152.32,152.53,150.45
152.43,152.65,153.20,152.21
152.53,152.90,152.95,151.56
152.62,152.24,152.65,152.14
151.35,151.74,152.10,151.01
152.91,152.87,152.96,152.45
154.76,154.23,154.79,153.95
154.95,154.74,155.89,154.15
155.12,154.89,155.40,154.85
155.06,155.11,155.76,155.06
154.72,154.68,155.52,154.11
153.97,153.53,154.44,153.46
154.27,154.83,154.85,154.09
156.39,158.60,158.88,156.28
158.18,160.27,160.57,157.93
160.14,160.47,161.09,159.85
161.63,160.54,161.80,160.51
162.11,161.89,162.69,161.40
161.22,162.15,162.17,160.32
163.04,162.46,163.07,161.59
162.49,163.48,163.85,161.80
164.11,164.30,164.39,163.30
163.32,162.52,163.32,162.09
161.42,163.09,163.22,160.88
164.49,164.11,164.74,163.82
165.25,165.01,165.72,163.95
167.44,167.52,167.82,166.85
166.77,166.29,166.77,165.99
168.11,169.17,169.30,167.74
169.14,170.86,170.86,169.02
171.13,168.82,171.15,168.61
168.95,169.60,170.29,168.60
168.58,167.82,168.58,167.52
167.88,167.40,168.59,166.74
169.02,169.88,170.49,168.79
169.36,170.54,170.63,168.97
168.94,169.04,169.92,168.00
167.94,168.93,168.93,167.50
166.21,165.56,167.57,165.56
166.18,167.44,167.89,166.12
167.78,167.02,168.39,165.60
166.48,166.87,166.88,166.17
169.04,168.83,169.36,168.40
168.62,169.60,169.75,168.13
168.98,167.15,168.98,166.70
167.72,168.52,168.58,167.24
169.09,169.48,169.76,168.69
171.44,169.98,171.66,169.68
171.07,171.12,171.20,170.51
170.14,169.52,170.80,167.88
173.45,177.54,178.61,173.04
174.26,176.13,176.35,174.19
175.00,176.38,176.49,174.36
178.10,174.65,180.10,173.70
175.72,173.55,175.72,172.14
174.45,174.64,174.70,173.26
170.62,167.06,170.93,166.41
167.52,166.12,168.19,166.07
165.30,163.39,165.51,162.88
162.67,162.92,163.58,161.92
164.28,165.69,166.12,164.10
164.73,166.02,166.24,163.76
164.96,165.38,165.49,164.01
163.74,164.37,165.00,163.36
165.84,165.12,166.00,164.70
163.36,164.04,164.24,163.00
163.11,163.96,164.20,162.46
164.75,165.64,165.80,164.50
166.77,168.00,168.25,166.70
169.63,171.00,171.98,169.46
171.46,171.85,172.22,171.12
171.00,171.60,171.77,170.21
171.78,168.29,171.82,168.14
167.43,167.54,168.22,166.10
168.00,167.15,168.26,166.52
166.95,167.28,167.30,165.76
168.96,168.90,169.82,168.54
169.02,170.22,170.79,168.46
169.38,168.89,170.07,168.80
169.15,169.11,169.18,167.78
168.71,169.50,169.74,168.08
169.66,170.10,170.23,169.02
170.57,171.49,171.49,170.57
171.67,171.68,172.34,171.57
171.22,170.70,171.40,170.06
172.06,172.84,172.92,171.92
174.18,175.04,175.04,173.80
173.80,175.11,175.20,173.51
174.63,173.90,175.00,172.78
173.47,176.11,176.44,173.41
177.45,176.00,177.68,175.76
174.98,174.45,174.98,172.87
170.62,171.39,172.75,169.74
172.28,172.16,172.48,171.64
172.48,172.28,173.60,171.86
173.38,173.52,173.90,172.86
174.93,176.00,176.04,174.58
178.34,179.12,179.48,177.95
181.28,179.38,181.48,179.18
180.20,180.24,180.75,179.02
181.03,181.52,181.73,180.78
183.52,182.16,183.60,181.84
179.74,180.30,181.19,178.69
180.58,181.57,181.84,180.14
180.95,180.45,181.28,179.95
177.95,177.48,178.75,176.82
177.70,179.97,179.97,177.36
179.92,177.16,180.22,177.00
177.41,178.25,179.60,177.28
176.48,178.24,178.80,176.48
180.24,181.70,182.00,179.40
182.09,182.30,182.64,181.47
181.71,182.53,182.97,180.78
184.48,183.24,184.74,183.00
183.43,183.12,183.78,182.80
183.88,184.76,185.21,183.61
185.00,184.28,185.20,183.78
182.20,181.66,183.14,181.30
181.29,179.46,182.14,179.10
181.76,181.94,182.20,181.28
182.84,181.96,182.90,181.56
182.18,181.94,182.28,181.34
182.10,183.50,183.52,181.89
182.57,182.20,183.50,182.01
181.02,177.77,181.26,177.26
177.74,177.46,178.94,175.82
176.73,176.88,177.44,176.26
177.89,179.40,179.52,177.24
179.39,179.47,179.86,179.10
181.61,182.76,183.22,181.54
183.35,183.82,185.20,183.32
182.80,181.22,183.08,180.95
182.00,183.00,183.24,182.00
182.36,180.92,183.66,179.08
179.26,179.20,179.94,178.26
180.16,179.14,180.16,178.20
176.58,174.86,176.58,174.14
175.86,176.44,177.15,175.55
175.06,174.50,175.22,173.70
169.36,168.88,169.93,168.10
171.12,168.16,171.61,167.56
168.44,168.83,169.72,168.00
170.12,171.06,171.18,170.12
172.64,173.34,173.66,172.53
172.44,172.75,172.96,172.22
173.15,174.58,175.00,172.94
174.58,173.88,175.56,173.78
174.26,173.48,174.26,173.08
171.79,173.22,173.89,171.46
173.39,172.81,173.96,172.54
174.78,175.82,176.43,173.62
176.44,175.76,176.80,175.58
175.88,175.38,176.04,174.15
177.12,177.59,177.59,176.96
177.52,177.91,178.36,177.35
179.47,178.30,179.86,177.60
177.33,177.48,179.17,176.44
179.46,179.78,180.05,178.84
178.89,177.06,179.27,176.69
176.66,175.70,176.90,175.54
177.36,176.04,177.36,175.87
176.03,178.20,178.20,175.96
177.53,177.56,178.28,177.24
177.42,177.05,177.73,176.00
176.86,175.78,176.94,174.79
179.02,178.94,179.25,178.00
180.37,180.40,180.62,179.84
182.25,181.09,182.25,179.62
179.89,178.77,179.94,178.15
179.98,181.42,181.58,179.00
182.00,182.94,183.52,181.38
183.30,185.87,186.48,183.08
185.32,184.50,186.69,184.38
184.67,183.94,185.34,183.01
182.30,180.87,182.60,180.01
178.79,174.40,179.00,173.98
177.34,176.66,178.20,175.92
177.32,178.10,178.21,177.18
177.53,178.68,178.85,177.35
177.28,176.02,177.31,175.79
174.71,175.56,176.14,173.59
175.79,174.88,175.94,174.24
174.53,174.93,175.62,174.06
174.33,175.20,175.25,173.58
175.14,175.57,176.16,174.74
175.10,175.33,176.28,174.88
174.72,176.02,176.24,174.39
173.66,174.11,174.43,173.44
174.79,175.10,175.53,174.36
175.99,176.65,176.99,175.99
176.06,175.86,176.32,175.44
177.27,178.58,178.60,177.02
181.95,181.66,181.95,181.00
181.51,180.45,182.14,180.37
180.44,180.14,180.70,178.90
179.73,179.85,180.96,179.48
180.96,179.60,181.18,179.46
180.90,181.71,181.81,180.51
