PPP,Primero Mining Corp.  New Common Shares (Canada),NASDAQ
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.18,0.18,0.18,0.18
0.26,0.26,0.26,0.26
0.25,0.25,0.27,0.25
0.24,0.23,0.24,0.23
0.23,0.22,0.23,0.22
0.22,0.22,0.22,0.22
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.20,0.20,0.20,0.20
0.20,0.20,0.20,0.20
0.19,0.19,0.19,0.19
0.19,0.19,0.19,0.19
0.19,0.19,0.19,0.19
0.19,0.19,0.19,0.19
0.16,0.15,0.16,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.14,0.15,0.15,0.14
0.15,0.15,0.15,0.15
0.15,0.15,0.15,0.15
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.13,0.13,0.14,0.13
0.14,0.14,0.14,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.14,0.14,0.14,0.14
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.12
0.12,0.12,0.12,0.12
0.12,0.12,0.12,0.12
0.15,0.17,0.17,0.15
0.17,0.17,0.17,0.17
0.22,0.22,0.23,0.22
0.22,0.22,0.22,0.22
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.20,0.20,0.20,0.20
0.20,0.20,0.20,0.20
0.20,0.19,0.20,0.19
0.18,0.18,0.18,0.18
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.17,0.16,0.17,0.14
0.16,0.16,0.16,0.16
0.16,0.16,0.16,0.16
0.16,0.16,0.16,0.16
0.16,0.16,0.16,0.16
0.16,0.16,0.16,0.16
0.20,0.20,0.20,0.20
0.19,0.19,0.19,0.19
0.19,0.19,0.19,0.19
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.20,0.20,0.20,0.20
0.20,0.20,0.20,0.20
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.34,0.33,0.35,0.32
0.34,0.33,0.34,0.33
0.33,0.32,0.33,0.32
0.35,0.38,0.39,0.35
0.39,0.39,0.39,0.39
0.39,0.40,0.40,0.39
0.40,0.40,0.40,0.40
0.34,0.37,0.37,0.34
0.37,0.36,0.37,0.35
0.35,0.36,0.36,0.35
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.34,0.34,0.34,0.34
0.33,0.33,0.35,0.33
0.37,0.37,0.37,0.35
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.38,0.38,0.38,0.38
0.30,0.27,0.30,0.27
0.26,0.26,0.26,0.26
0.26,0.26,0.26,0.26
0.25,0.25,0.25,0.25
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.23,0.24,0.24,0.23
0.24,0.24,0.25,0.24
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.26,0.26,0.26,0.26
0.26,0.26,0.26,0.26
0.26,0.26,0.26,0.26
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.26,0.26,0.26,0.26
5.16,5.12,5.17,5.05
5.12,5.12,5.12,5.12
5.12,5.12,5.12,5.12
5.12,5.12,5.12,5.12
5.12,5.12,5.12,5.12
5.12,5.12,5.12,5.12
5.13,5.13,5.13,5.13
5.22,5.22,5.22,5.22
5.22,5.22,5.22,5.22
5.22,5.22,5.22,5.22
5.22,5.22,5.22,5.22
5.03,5.03,5.03,5.03
5.03,5.03,5.03,5.03
5.03,5.03,5.03,5.03
4.95,4.95,4.95,4.95
4.95,4.95,4.95,4.95
4.95,4.95,4.95,4.95
4.89,4.86,4.89,4.86
4.86,4.86,4.86,4.86
4.86,4.86,4.86,4.86
4.91,4.95,4.95,4.91
5.02,5.02,5.02,5.02
5.02,5.02,5.02,5.02
5.02,5.02,5.02,5.02
5.02,5.02,5.02,5.02
5.02,5.02,5.02,5.02
