PRFT,Perficient,NASDAQ
8.54,8.70,8.70,8.29
8.66,8.61,8.70,8.44
8.60,8.58,8.75,8.48
8.60,8.54,8.71,8.41
8.48,8.56,8.70,8.41
8.59,8.63,8.65,8.43
8.53,8.50,8.60,8.46
8.51,9.01,9.05,8.50
9.30,9.18,9.34,9.16
9.22,9.15,9.23,8.88
9.14,9.39,9.42,9.14
9.28,9.22,9.41,9.13
9.26,9.18,9.32,9.02
9.18,9.28,9.54,9.18
9.51,9.57,9.63,9.24
9.50,9.81,10.02,9.44
9.72,10.01,10.06,9.70
10.05,9.97,10.05,9.87
10.03,9.75,10.05,9.71
9.79,9.90,10.01,9.74
9.86,9.98,10.04,9.50
9.90,9.89,10.04,9.66
9.80,9.74,9.94,9.61
9.74,10.04,10.05,9.67
10.04,9.96,10.04,9.81
10.06,10.03,10.06,9.78
9.95,10.04,10.05,9.75
10.03,10.25,10.27,9.87
10.12,10.33,10.33,10.07
10.38,10.48,10.49,10.27
10.49,10.27,10.49,10.22
10.29,10.44,10.49,10.22
10.44,10.69,10.71,10.31
10.70,10.82,10.90,10.64
10.83,10.91,10.91,10.57
10.89,11.08,11.11,10.81
10.88,11.13,11.36,10.75
11.17,11.09,11.31,10.99
11.19,11.50,11.54,11.00
11.50,11.51,11.65,11.42
11.57,11.37,11.69,11.37
11.39,11.11,11.56,11.02
11.25,11.69,11.72,11.17
11.73,12.01,12.05,11.58
11.90,11.70,12.19,11.68
11.66,11.95,12.12,11.48
11.66,11.76,11.90,11.63
11.75,11.61,11.80,11.45
11.55,11.36,11.55,11.19
11.37,11.27,11.37,11.05
11.28,11.57,11.60,11.22
11.59,11.67,11.80,11.26
11.75,11.43,11.86,11.30
11.36,11.38,11.67,11.34
11.39,11.72,11.75,11.10
11.63,11.47,11.80,11.43
11.59,11.20,11.75,11.19
11.22,11.16,11.37,11.07
11.16,11.17,11.45,11.12
11.17,11.16,11.37,11.03
11.09,11.27,11.65,11.05
11.37,11.53,11.63,11.37
11.54,11.89,11.91,11.42
11.84,11.72,11.95,11.68
11.67,11.75,11.92,11.60
11.74,11.74,11.84,11.66
11.75,11.85,11.87,11.44
11.89,11.67,11.99,11.58
11.67,11.64,11.82,11.56
11.75,11.98,12.00,11.68
11.95,12.00,12.00,11.87
11.96,11.92,12.20,11.81
11.87,11.98,12.06,11.62
12.18,12.01,12.18,11.91
12.06,12.35,12.35,11.75
12.22,12.49,12.50,12.07
12.29,12.46,12.50,12.29
12.48,12.57,12.87,12.48
12.58,12.46,12.88,12.30
12.51,12.48,12.64,12.37
12.48,12.99,12.99,12.44
12.95,12.48,12.99,12.47
12.50,12.89,12.92,12.29
12.66,12.25,12.66,12.08
12.09,11.83,12.19,11.78
11.75,11.12,11.91,10.57
11.16,10.80,11.30,10.50
11.17,11.66,11.92,11.15
11.53,11.51,11.84,11.49
11.51,11.64,11.75,11.46
11.56,11.72,11.82,11.44
11.64,11.72,11.73,11.49
11.84,11.75,12.06,11.41
11.90,11.57,11.90,11.55
11.53,11.51,11.74,11.27
11.02,10.34,11.24,10.32
10.15,10.08,10.47,10.07
10.08,9.98,10.17,9.70
9.71,10.07,10.12,9.51
10.12,10.28,10.60,10.12
10.55,10.73,10.75,10.40
10.71,10.67,10.98,10.65
10.57,9.96,10.70,9.95
9.99,10.57,10.58,9.76
10.66,10.83,10.87,10.59
10.50,10.15,10.65,10.08
10.18,9.73,10.32,9.71
9.76,9.82,9.89,9.60
9.95,9.49,10.16,9.43
9.65,9.83,9.85,9.46
9.63,10.21,10.24,9.42
10.30,10.07,10.46,10.01
10.21,10.52,10.58,10.04
10.55,10.81,10.88,10.47
10.92,10.63,10.92,10.48
10.70,10.63,10.81,10.39
10.76,10.02,10.79,9.97
10.04,9.90,10.33,9.85
9.87,9.88,10.09,9.85
9.78,9.49,9.78,9.44
9.54,9.71,9.80,9.51
9.61,9.66,9.78,9.53
9.44,8.96,9.51,8.87
8.92,8.91,9.23,8.86
8.88,8.56,9.00,8.33
8.66,8.59,8.68,8.34
8.71,8.21,8.96,8.18
8.23,8.38,8.43,8.21
8.48,8.64,8.69,8.44
8.61,8.97,8.97,8.61
8.91,8.88,9.22,8.80
9.03,8.73,9.05,8.71
8.65,8.87,8.96,8.64
8.84,8.96,9.00,8.59
8.86,8.35,8.86,8.30
8.41,8.53,8.55,8.24
8.37,8.39,8.45,8.25
8.45,8.28,8.56,8.19
8.40,8.28,8.43,8.27
8.26,8.64,8.68,8.18
8.71,8.86,8.90,8.60
8.98,8.53,9.05,8.49
8.48,8.40,8.65,8.30
8.47,8.41,8.58,8.20
8.24,8.65,8.72,8.16
8.84,8.63,8.87,8.54
8.56,8.30,8.66,8.28
8.31,8.53,8.62,8.25
8.48,8.90,8.93,8.48
8.78,9.04,9.14,8.78
9.12,9.29,9.34,9.06
9.13,8.99,9.20,8.91
8.82,8.80,9.07,8.74
8.60,8.74,8.76,8.53
8.68,8.48,8.69,8.41
8.39,8.40,8.58,8.26
8.53,8.85,8.88,8.30
8.86,9.00,9.19,8.68
8.93,8.90,9.12,8.74
8.85,8.98,9.17,8.85
9.06,8.92,9.15,8.88
8.75,8.64,8.86,8.61
8.57,8.94,8.96,8.44
8.97,8.73,9.00,8.72
8.87,9.18,9.20,8.70
9.12,8.87,9.30,8.87
8.43,8.68,8.93,8.43
8.86,9.10,9.10,8.84
9.06,9.00,9.09,8.93
9.15,9.19,9.26,8.94
9.17,8.66,9.17,8.61
8.71,8.69,8.78,8.63
8.81,8.57,8.83,8.46
8.69,8.59,8.77,8.47
8.72,8.81,8.83,8.61
8.80,8.64,8.80,8.62
8.57,8.88,8.92,8.57
8.85,8.79,8.92,8.71
8.92,8.71,9.02,8.65
8.74,8.99,9.01,8.60
9.02,9.15,9.29,8.88
9.07,9.01,9.13,8.94
8.96,9.08,9.27,8.95
9.23,9.71,9.76,9.15
9.55,9.18,9.55,9.10
9.23,9.10,9.23,8.82
9.04,9.24,9.33,8.87
9.33,9.14,9.37,9.11
9.28,9.20,9.28,8.97
9.15,9.17,9.25,8.96
9.31,9.77,9.85,9.17
9.75,9.66,9.78,9.57
9.76,9.67,9.82,9.62
9.70,9.89,9.96,9.43
9.91,9.85,9.97,9.83
9.78,9.94,9.97,9.70
9.95,10.00,10.07,9.85
9.96,10.11,10.11,9.91
10.27,10.53,10.65,10.07
10.61,10.56,10.74,10.48
10.30,9.77,10.35,9.67
9.86,9.92,10.08,9.83
10.01,9.84,10.13,9.65
9.83,9.93,9.94,9.69
10.02,10.33,10.44,10.02
10.21,10.42,10.43,10.18
10.31,10.43,10.48,10.22
