PRKR,ParkerVision,NASDAQ
1.86,1.88,1.90,1.83
1.89,1.82,1.93,1.78
1.81,1.76,1.88,1.76
1.81,1.78,1.83,1.75
1.78,1.75,1.82,1.73
1.75,1.66,1.79,1.66
1.64,1.66,1.73,1.63
1.67,1.64,1.70,1.63
1.67,2.00,2.12,1.67
2.03,1.91,2.07,1.86
1.91,2.01,2.01,1.87
2.00,2.00,2.04,1.88
1.99,1.90,2.03,1.89
1.90,1.85,1.96,1.85
1.87,1.76,1.91,1.64
1.75,1.64,1.76,1.56
1.62,1.66,1.67,1.61
1.67,1.62,1.68,1.55
1.63,1.60,1.69,1.56
1.60,1.77,1.79,1.60
1.77,1.80,1.84,1.77
1.80,1.79,1.83,1.78
1.79,1.80,1.84,1.79
1.80,1.73,1.81,1.61
1.73,1.62,1.73,1.60
1.65,1.74,1.78,1.64
1.73,1.64,1.73,1.59
1.63,1.72,1.74,1.63
1.69,1.78,1.80,1.69
1.79,1.77,1.87,1.76
1.77,1.81,1.83,1.73
1.81,1.82,1.86,1.75
1.82,1.82,1.86,1.81
1.82,1.80,1.84,1.76
1.80,1.87,2.00,1.75
1.88,1.83,1.88,1.77
1.80,1.82,1.84,1.77
1.82,1.75,1.90,1.75
1.76,1.85,1.85,1.76
1.85,1.97,2.01,1.85
1.98,1.99,2.04,1.95
2.00,2.00,2.00,1.98
2.00,1.99,2.00,1.96
1.98,2.00,2.00,1.96
2.00,2.20,2.20,1.96
2.30,2.48,2.50,2.21
2.50,2.45,2.50,2.31
2.46,2.34,2.46,2.22
2.32,2.12,2.32,2.10
2.10,2.21,2.38,1.83
2.21,1.97,2.26,1.95
1.97,1.95,2.00,1.95
1.96,1.84,2.00,1.81
1.82,1.90,1.93,1.72
1.91,1.92,1.96,1.86
1.94,1.87,1.94,1.85
1.81,1.80,1.90,1.80
1.81,1.78,1.87,1.75
1.79,1.77,1.82,1.75
1.77,1.79,1.83,1.72
1.79,1.70,1.80,1.70
1.71,1.91,1.91,1.71
1.96,2.01,2.08,1.93
2.00,2.00,2.08,1.91
1.99,1.85,2.00,1.81
1.83,1.86,1.89,1.77
1.87,1.92,1.97,1.87
1.90,1.88,1.92,1.84
1.87,1.89,1.92,1.83
1.89,1.91,1.92,1.83
1.91,1.93,1.95,1.88
1.92,1.88,1.94,1.83
1.86,1.78,1.89,1.76
1.79,1.81,1.82,1.79
1.81,1.81,1.84,1.76
1.78,1.81,1.82,1.75
1.82,1.99,2.02,1.81
2.00,1.91,2.00,1.82
1.89,1.92,1.94,1.83
1.94,1.91,1.98,1.87
1.93,1.91,1.99,1.88
1.91,1.91,2.08,1.85
1.91,1.95,2.02,1.89
1.91,1.89,1.91,1.85
1.85,1.88,1.89,1.85
1.86,1.72,1.96,1.68
1.69,1.76,1.96,1.68
1.86,1.87,1.91,1.71
2.00,1.77,2.04,1.77
1.84,2.05,2.08,1.79
2.04,2.03,2.07,1.95
2.00,1.94,2.00,1.91
1.96,1.98,2.00,1.90
2.00,1.87,2.00,1.86
1.87,1.88,1.92,1.82
1.83,1.74,1.88,1.65
1.70,1.79,1.90,1.70
1.79,1.86,1.86,1.75
1.77,1.79,1.81,1.66
1.80,1.85,1.89,1.79
1.91,1.90,1.91,1.81
1.89,1.76,1.89,1.74
1.73,1.70,1.74,1.70
1.71,1.73,1.76,1.65
1.73,1.80,1.85,1.71
1.73,1.68,1.77,1.66
1.68,1.61,1.73,1.59
1.62,1.58,1.64,1.46
1.60,1.50,1.60,1.48
1.54,1.66,1.66,1.50
1.64,1.62,1.68,1.59
1.62,1.57,1.69,1.56
1.60,1.59,1.66,1.57
1.57,1.53,1.58,1.48
1.55,1.55,1.60,1.54
1.57,1.57,1.58,1.55
1.60,1.54,1.69,1.54
1.55,1.52,1.57,1.52
1.52,1.51,1.52,1.50
1.50,1.31,1.51,1.31
1.37,1.30,1.50,1.23
1.31,1.27,1.36,1.21
1.22,1.21,1.31,1.19
1.23,1.27,1.29,1.19
1.29,1.30,1.30,1.20
1.30,1.25,1.30,1.17
1.24,1.10,1.24,1.10
1.10,0.86,1.11,0.83
0.82,0.82,0.89,0.66
0.81,0.92,0.96,0.80
0.95,0.85,0.97,0.80
0.89,0.88,0.92,0.86
0.88,0.86,0.90,0.83
0.85,0.83,0.86,0.83
0.83,0.81,0.85,0.81
0.81,0.81,0.85,0.80
0.82,0.75,0.83,0.74
1.23,0.91,1.36,0.91
0.89,0.88,0.96,0.80
0.85,0.88,0.92,0.82
0.90,1.00,1.02,0.85
1.00,0.93,1.04,0.91
0.93,0.95,0.95,0.88
0.94,0.92,0.96,0.91
0.90,0.88,0.91,0.87
0.89,0.84,0.90,0.82
0.84,0.88,0.88,0.84
0.88,0.86,0.92,0.86
0.91,0.88,0.93,0.88
0.89,0.85,0.90,0.85
0.88,0.92,0.93,0.88
0.92,0.90,0.95,0.89
0.88,0.85,0.92,0.83
0.89,0.85,0.91,0.85
0.85,0.87,0.87,0.85
0.89,0.88,0.89,0.86
0.88,0.88,0.89,0.87
0.86,0.86,0.88,0.85
0.89,0.86,0.89,0.86
0.88,0.88,0.90,0.88
0.89,0.88,0.90,0.86
0.88,0.82,0.88,0.82
0.83,0.80,0.90,0.80
0.84,0.84,0.89,0.82
0.82,0.83,0.86,0.82
0.84,0.83,0.86,0.83
0.85,0.78,0.85,0.76
0.82,0.69,0.82,0.68
0.69,0.72,0.74,0.69
0.72,0.85,0.85,0.72
0.82,0.81,0.82,0.76
0.83,0.82,0.88,0.81
