PTM,E-TRACS USB Bloomberg Commodity Index Exchange Traded Notes E-TRACS UBS Bloomberg CMCI Platinum ETN,NASDAQ
18.54,19.12,19.51,18.54
19.11,19.13,19.20,18.61
19.45,19.39,19.58,19.38
19.35,19.03,19.40,18.89
19.02,19.19,19.23,18.81
19.35,19.26,19.42,19.25
19.08,18.85,19.46,18.50
18.85,18.95,19.09,18.76
19.07,19.40,19.54,19.07
19.19,19.32,19.68,19.10
19.45,19.73,19.91,19.40
19.62,19.45,19.75,19.04
19.54,19.07,19.54,19.01
18.88,18.44,18.92,18.18
18.51,18.49,18.55,18.38
18.07,18.32,18.38,17.91
18.21,17.93,18.26,17.63
18.10,17.96,18.22,17.71
17.90,17.98,18.17,17.78
18.20,18.60,18.60,18.05
18.80,18.88,18.89,18.57
19.00,18.89,19.00,18.70
18.33,17.78,18.45,17.70
17.55,17.57,17.69,17.08
17.65,17.45,17.65,17.43
17.59,17.81,17.95,17.59
17.97,17.91,18.00,17.72
17.98,18.24,18.26,17.75
18.03,17.95,18.10,17.47
18.20,18.36,18.39,18.13
18.50,18.22,18.50,18.13
18.29,18.18,18.29,18.05
17.95,18.22,18.39,17.89
18.22,18.12,18.22,18.10
18.10,17.97,18.10,17.88
17.85,17.90,18.05,17.85
17.97,18.20,18.23,17.92
18.40,18.35,18.40,18.25
18.64,18.47,18.64,18.30
18.53,18.75,18.86,18.53
18.89,18.80,18.96,18.80
18.73,18.79,18.82,18.65
18.78,18.79,18.95,18.69
19.00,19.16,19.16,18.74
19.14,18.98,19.14,18.88
19.10,18.86,19.26,18.86
19.00,19.19,19.19,18.85
19.36,19.21,19.36,18.92
19.18,19.33,19.38,18.96
19.37,19.52,19.52,19.37
19.60,19.46,19.60,19.43
19.51,19.50,19.56,19.36
19.14,19.14,19.39,19.12
18.91,19.02,19.12,18.48
19.13,19.16,19.59,19.03
18.96,18.82,19.01,18.81
18.98,19.19,19.24,18.96
19.05,19.08,19.14,19.00
19.21,19.49,19.49,19.21
19.44,19.36,19.44,19.21
19.50,19.70,19.71,19.50
19.75,19.97,20.94,19.71
20.00,20.40,20.60,20.00
20.38,20.46,20.47,20.30
20.50,20.49,20.73,20.47
20.37,20.65,20.85,20.37
20.73,20.67,20.73,20.58
20.57,20.67,20.95,20.57
20.60,20.48,20.60,20.34
20.57,20.70,20.74,20.54
20.70,20.60,20.70,20.58
20.40,20.20,20.52,20.14
20.15,20.34,20.37,20.15
20.44,20.58,20.60,20.44
20.61,20.76,20.81,20.61
20.79,20.88,20.90,20.62
20.92,20.85,20.93,20.61
20.89,20.93,21.00,20.80
20.88,20.58,20.88,20.45
20.48,20.40,20.48,20.38
20.45,20.75,20.78,20.45
20.86,20.82,20.87,20.77
20.82,20.57,20.87,20.54
20.26,19.93,20.32,19.93
19.50,19.59,19.81,19.35
19.81,19.58,19.99,19.43
19.69,19.83,19.90,19.55
20.13,20.20,20.23,20.09
20.09,20.29,20.32,20.09
20.69,20.87,20.90,20.39
20.93,20.75,20.93,20.61
20.64,20.55,20.64,20.34
20.49,19.93,20.49,19.71
20.19,19.98,20.25,19.89
20.19,19.01,20.19,18.77
18.25,17.88,18.32,17.17
17.62,17.74,17.91,17.57
17.98,18.20,18.23,17.98
17.63,17.90,17.93,17.58
18.29,18.15,18.29,17.51
18.31,18.52,18.58,18.21
18.57,18.32,18.61,18.30
18.31,18.40,18.57,18.31
18.23,18.50,18.50,18.23
18.50,18.35,18.53,18.19
18.27,17.98,18.30,17.96
18.04,17.95,18.05,17.72
17.93,18.14,18.18,17.93
18.21,18.17,18.33,18.07
18.11,18.28,18.42,18.11
18.25,18.29,18.38,18.22
18.31,18.58,18.70,18.31
18.60,18.75,18.82,18.59
18.84,18.65,18.84,18.54
18.76,18.77,18.80,18.67
18.73,18.94,18.97,18.57
18.99,18.88,19.18,18.80
19.02,18.94,19.02,18.82
18.77,18.66,18.77,18.48
18.46,18.53,18.65,18.37
18.48,18.47,18.68,18.45
18.73,18.54,18.76,18.54
18.31,18.22,18.40,18.13
18.16,18.12,18.24,18.12
17.96,17.77,17.98,17.66
17.72,17.75,17.94,17.68
17.85,17.91,17.99,17.81
17.83,18.07,18.09,17.83
18.09,18.01,18.09,17.82
17.88,18.17,18.20,17.88
18.12,17.98,18.12,17.90
18.05,18.05,18.18,18.05
18.04,18.06,18.15,17.78
18.08,18.15,18.15,18.06
17.94,17.82,17.97,17.78
17.78,17.88,17.88,17.76
17.79,17.95,18.01,17.79
18.03,17.93,18.05,17.88
18.05,18.09,18.14,18.03
18.18,18.27,18.34,18.14
18.30,18.34,18.47,18.30
18.17,18.14,18.44,18.12
18.18,18.19,18.23,18.18
18.31,18.47,18.57,18.31
18.51,18.67,18.67,18.42
18.80,18.95,18.96,18.77
18.80,18.68,18.86,18.67
18.83,18.70,18.83,18.63
18.57,18.57,18.63,18.50
18.60,18.57,18.69,18.50
18.50,18.24,18.50,17.77
17.80,18.26,18.27,17.80
18.16,17.96,18.17,17.79
17.96,18.08,18.12,17.96
18.02,17.99,18.05,17.93
18.07,18.13,18.19,18.07
18.17,18.15,18.29,18.15
18.03,18.13,18.18,18.02
18.17,18.03,18.18,17.73
17.88,17.84,17.93,17.84
17.81,17.80,17.91,17.75
17.60,17.95,17.99,17.52
17.90,18.06,18.11,17.51
18.09,18.10,18.18,18.05
18.07,18.12,18.15,17.71
17.95,18.05,18.18,17.53
17.93,17.96,18.01,17.92
18.01,18.13,18.18,18.01
18.40,18.31,18.40,18.27
18.49,18.39,18.49,18.35
18.42,18.45,18.49,18.39
18.51,18.45,18.51,18.42
18.40,18.35,18.40,18.32
18.57,18.20,18.57,18.19
18.19,18.39,18.41,18.19
18.57,18.83,18.94,18.57
18.77,19.07,19.13,18.77
19.07,19.07,19.16,18.93
19.07,19.06,19.23,19.06
19.20,19.25,19.34,19.20
19.17,19.25,19.25,19.00
19.30,19.32,19.40,19.22
19.11,19.47,19.47,19.11
19.50,19.50,19.50,19.37
19.55,19.24,19.55,19.23
19.20,19.37,19.37,19.09
19.28,19.48,19.56,18.83
19.61,19.59,19.65,19.45
19.65,19.89,19.92,19.65
19.79,19.79,19.79,19.68
19.73,20.10,20.10,19.73
20.26,20.25,20.31,20.06
20.50,20.03,20.50,20.01
20.19,20.14,20.25,20.07
20.20,19.97,20.20,19.90
19.95,19.85,20.00,19.78
20.00,20.15,20.22,20.00
20.07,20.16,20.23,20.07
20.00,20.02,20.13,19.93
19.85,20.03,20.05,19.85
19.74,19.65,19.81,19.65
19.98,19.94,19.98,19.69
19.95,19.80,19.95,19.64
19.78,19.78,19.81,19.71
19.94,19.99,20.09,19.94
19.86,20.15,20.17,19.86
20.17,19.87,20.17,19.81
19.92,19.97,20.00,19.88
20.04,20.10,20.17,20.03
20.35,20.11,20.40,20.11
20.33,20.28,20.33,20.21
20.15,20.16,20.28,20.00
20.55,21.10,21.20,20.55
20.74,20.94,21.03,20.65
21.28,20.95,21.28,20.72
20.72,20.75,21.41,20.58
20.89,20.63,20.89,20.41
20.34,20.71,20.75,20.34
20.26,20.58,20.61,20.07
21.50,20.01,21.50,20.00
19.90,19.40,19.91,19.34
19.29,19.31,19.40,19.19
19.44,19.83,20.56,19.44
19.92,19.75,19.92,19.59
19.82,19.76,19.86,19.61
19.64,19.60,19.66,19.44
19.69,19.59,19.84,19.57
19.46,19.51,19.63,19.46
19.46,19.47,19.51,19.26
19.57,19.78,19.78,19.52
20.17,19.91,20.17,19.84
20.06,20.38,20.48,20.06
20.49,20.49,20.50,20.34
20.47,20.52,20.60,20.31
20.95,20.15,20.95,20.15
20.03,20.50,20.50,20.03
20.55,20.28,20.57,20.13
20.82,20.34,20.82,20.05
20.25,20.60,20.65,20.25
20.60,20.19,21.17,20.06
20.54,20.05,20.54,20.05
20.19,20.05,20.19,19.90
20.07,20.10,20.16,20.06
20.90,20.15,20.90,20.05
20.17,20.30,20.33,20.17
20.33,20.43,20.50,20.33
20.33,20.31,20.51,20.27
20.40,20.36,20.59,20.16
20.76,20.73,20.76,20.53
20.76,20.77,20.80,20.66
20.96,20.61,20.96,20.54
20.69,20.92,20.97,20.63
21.00,20.90,21.19,20.85
20.80,20.60,20.80,20.51
20.50,20.33,20.50,20.18
20.45,20.35,20.45,20.34
20.42,20.40,20.54,20.35
20.49,20.54,20.62,20.49
20.73,20.84,20.86,20.71
21.01,21.18,21.25,21.01
21.37,21.25,21.51,21.22
21.37,21.32,21.43,21.22
21.75,21.46,21.75,21.44
21.62,21.62,21.74,21.56
21.50,21.36,21.50,21.16
21.40,21.44,21.50,21.29
21.50,21.33,21.50,21.33
21.40,21.00,21.40,20.91
21.03,21.25,21.28,21.02
21.38,20.93,21.38,20.90
20.91,21.06,21.22,20.91
20.99,21.07,21.13,20.57
21.32,21.49,21.50,21.32
21.53,21.59,21.62,21.53
21.40,21.62,21.64,20.85
21.74,21.72,21.88,21.67
21.66,21.66,21.76,21.62
21.80,21.93,21.94,21.80
22.00,21.89,22.00,21.81
21.66,21.50,21.72,21.50
21.52,21.17,21.56,21.17
21.81,21.55,21.81,21.47
21.67,21.53,21.67,21.53
22.00,21.57,22.00,21.51
21.61,21.77,21.77,21.59
21.96,21.71,21.96,21.64
21.30,21.47,22.23,20.99
21.89,21.85,22.00,21.03
21.12,21.28,21.38,21.07
21.80,21.19,21.80,21.02
21.20,21.31,21.50,21.19
21.69,21.83,22.00,21.55
21.89,21.92,22.00,21.84
21.98,21.63,21.98,21.19
21.97,21.85,21.97,21.75
21.79,21.37,21.79,21.27
21.20,21.20,21.31,21.10
21.04,21.14,21.27,21.00
21.00,20.68,21.00,20.67
20.31,20.85,20.92,20.12
20.66,20.57,20.69,20.33
19.72,19.95,20.07,19.72
20.20,19.85,20.20,19.77
20.01,19.92,20.01,19.74
19.90,20.09,20.13,19.90
20.41,20.56,20.56,20.21
20.81,20.51,20.81,20.26
20.78,20.68,20.80,20.27
20.66,20.68,20.81,20.65
20.60,20.58,20.71,20.58
20.29,20.46,20.60,20.29
20.44,20.48,20.54,20.38
20.81,20.75,20.85,20.66
20.77,20.75,21.01,20.67
20.64,20.82,20.85,20.60
20.87,20.97,21.01,20.87
20.96,21.06,21.08,20.89
21.10,21.08,21.33,21.00
21.10,20.91,21.10,20.88
20.87,21.21,21.29,20.69
21.39,21.02,21.39,20.91
21.02,20.72,21.02,20.62
20.72,20.81,20.96,20.72
20.85,21.07,21.08,20.83
20.96,20.95,21.06,20.90
20.56,20.99,21.04,20.56
20.93,20.73,21.18,20.67
20.60,21.10,21.20,20.60
21.23,21.32,21.38,21.12
21.45,21.42,21.47,21.20
21.25,21.44,21.69,21.00
21.63,21.49,21.63,21.21
21.61,21.78,21.78,21.60
21.77,23.10,23.35,21.71
23.82,22.28,24.42,22.00
21.28,21.85,22.17,21.28
21.62,21.39,21.97,21.23
21.09,20.68,21.25,20.55
20.74,20.93,21.13,20.56
21.39,21.05,21.39,20.92
21.25,21.14,21.25,21.00
21.01,20.80,21.07,20.73
20.55,20.65,20.89,20.49
20.89,20.59,20.89,20.50
20.36,20.58,20.70,20.36
20.54,20.66,20.90,20.45
20.70,20.77,20.81,20.66
20.77,20.77,20.81,20.74
20.63,20.77,20.81,20.63
20.56,20.51,20.59,20.43
20.60,20.73,20.74,20.60
20.81,20.88,20.95,20.81
20.78,20.81,20.85,20.68
20.93,21.10,21.10,20.87
21.38,21.49,21.54,21.37
21.50,21.35,21.55,21.33
21.40,21.23,21.40,21.18
21.30,21.31,21.42,21.21
21.37,21.22,21.47,21.18
21.39,21.48,21.49,21.30
21.42,21.40,21.43,21.34
21.45,21.60,21.65,21.45
21.41,21.45,21.46,21.34
21.35,21.11,21.35,21.04
21.06,21.04,21.08,20.99
20.90,20.81,21.00,20.69
20.53,20.58,20.64,20.51
20.50,20.54,20.56,20.45
20.28,20.28,20.31,20.20
20.33,20.48,20.52,20.33
20.50,20.48,20.57,20.43
20.02,19.89,20.02,19.44
19.81,19.70,19.81,19.61
19.61,19.61,19.73,19.49
19.78,19.81,19.81,19.65
20.08,20.24,20.24,19.99
20.50,20.11,20.50,20.10
19.96,20.05,20.06,19.95
20.25,20.34,20.39,20.24
20.32,20.15,20.32,20.13
20.23,20.41,20.45,20.23
20.37,20.24,20.38,20.18
20.20,20.18,20.23,20.12
20.15,20.21,20.35,20.07
20.45,20.54,20.67,20.45
20.71,20.62,20.82,20.60
20.56,20.57,20.58,20.45
20.71,20.71,20.76,20.70
20.73,20.64,20.74,20.59
20.61,20.75,20.75,20.00
20.82,20.81,20.86,20.75
20.91,20.99,21.00,20.90
20.96,20.86,21.02,20.77
20.91,21.11,21.17,20.83
21.16,21.05,21.28,21.01
20.90,20.90,20.95,20.90
20.87,20.76,20.93,20.71
20.96,20.90,21.00,20.88
21.06,20.91,21.06,20.85
20.87,20.83,20.88,20.76
20.57,20.19,20.57,20.00
20.06,20.06,20.12,19.73
20.20,20.02,20.37,19.98
20.30,20.41,20.52,20.30
20.44,20.65,20.81,20.40
20.85,20.94,20.99,20.75
21.01,21.01,21.15,20.90
21.00,21.08,21.14,20.85
21.21,21.25,21.37,21.19
21.53,21.50,21.79,21.33
21.50,21.97,21.97,21.34
22.01,21.68,22.31,21.68
22.06,22.40,22.63,22.06
22.29,21.91,22.29,21.90
21.70,21.16,21.70,20.99
21.06,21.30,21.30,21.06
21.47,21.36,21.49,21.29
21.41,21.35,21.46,21.23
21.55,21.72,21.77,21.48
21.57,21.65,21.78,21.56
21.68,21.62,21.72,21.46
