PXMV,PowerShares Russell Midcap Pure Value Portfolio,NASDAQ
14.13,14.16,14.16,14.05
14.18,14.12,14.19,14.10
14.16,14.15,14.87,14.15
14.13,14.20,14.20,14.12
14.15,14.15,14.16,14.15
14.24,14.27,14.28,14.20
14.22,14.09,14.22,14.07
14.15,14.28,14.30,14.13
14.24,14.36,14.36,14.24
14.17,14.14,14.17,14.12
14.21,14.40,14.40,14.21
14.29,14.21,14.31,14.13
14.11,13.96,14.11,13.96
13.84,13.63,13.92,13.63
13.72,13.69,13.75,13.66
13.69,13.67,13.76,13.67
13.62,13.63,13.63,13.50
13.54,13.56,13.60,13.48
13.55,13.39,13.66,13.38
13.42,13.61,13.62,13.42
13.66,13.86,13.88,13.66
13.82,13.81,13.82,13.76
13.72,13.37,13.72,13.37
13.31,13.24,13.31,13.04
13.26,13.24,13.38,13.24
13.33,13.37,13.43,13.28
13.36,13.36,13.42,13.28
13.32,13.53,13.54,13.32
13.34,13.51,13.51,13.32
13.61,13.78,13.78,13.61
13.88,13.86,13.89,13.85
13.87,14.02,14.03,13.87
14.02,14.05,14.09,13.99
14.11,14.04,14.11,14.04
13.99,13.89,14.01,13.85
13.86,13.86,13.88,13.86
13.78,13.97,13.98,13.74
13.96,14.01,14.01,13.94
14.05,14.16,14.18,14.05
14.25,14.27,14.28,14.25
14.29,14.24,14.33,14.22
14.25,14.26,14.26,14.25
14.39,14.43,14.45,14.39
14.49,14.53,14.53,14.48
14.54,14.55,14.60,14.51
14.55,14.60,14.62,14.55
14.55,14.68,14.68,14.51
14.73,14.69,14.73,14.62
14.68,14.64,14.68,14.58
14.69,14.81,14.81,14.69
14.84,14.94,14.99,14.84
14.92,14.92,14.93,14.88
14.79,14.79,14.82,14.79
14.73,14.95,14.98,14.73
15.01,15.01,15.02,14.94
15.02,14.97,15.03,14.97
15.01,15.01,15.07,14.96
14.92,14.84,14.94,14.82
14.94,14.95,14.96,14.94
15.00,14.97,15.02,14.93
14.92,14.81,14.99,14.81
15.05,15.05,15.07,15.01
15.11,15.21,15.22,15.11
15.16,15.26,15.29,15.16
15.25,15.16,15.26,15.14
15.08,15.19,15.23,15.06
15.27,15.34,15.34,15.23
15.34,15.34,15.39,15.34
15.37,15.36,15.37,15.25
15.38,15.51,15.51,15.38
15.54,15.56,15.58,15.53
15.55,15.38,15.56,15.31
15.30,15.32,15.35,15.17
15.41,15.46,15.46,15.41
15.51,15.55,15.56,15.48
15.47,15.64,15.65,15.47
15.80,15.94,15.95,15.77
16.01,15.90,16.02,15.90
15.88,15.61,15.88,15.61
15.64,15.54,15.64,15.50
15.69,15.80,15.80,15.69
15.79,15.41,15.79,15.41
15.48,15.62,15.64,15.46
15.43,15.22,15.43,15.18
15.11,15.12,15.27,15.00
15.14,14.67,15.14,11.90
14.60,14.46,14.71,14.32
15.09,15.19,15.19,15.03
14.99,15.24,15.32,14.99
15.30,15.46,15.48,15.30
15.38,15.32,15.42,15.32
15.18,14.95,15.18,14.87
15.04,15.04,15.04,14.71
15.19,14.78,15.21,14.78
14.64,14.68,14.68,14.52
14.28,14.00,14.31,14.00
13.91,14.17,14.26,13.91
14.16,14.14,14.33,14.14
13.76,14.08,14.09,13.69
14.10,14.13,14.35,14.08
14.44,14.53,14.53,14.38
14.54,14.47,14.59,14.44
14.30,14.30,14.52,14.30
14.25,14.45,14.45,14.24
14.45,14.64,14.66,14.45
14.17,14.06,14.45,14.06
14.11,13.86,14.12,13.86
13.88,13.97,13.97,13.79
14.08,13.97,14.23,13.96
14.28,14.40,14.40,14.28
14.41,14.38,14.41,14.38
14.63,14.62,14.72,14.60
14.70,14.90,14.90,14.69
14.85,14.86,14.96,14.83
14.81,14.96,14.96,14.81
15.05,14.91,15.05,14.88
15.10,14.79,15.13,14.79
14.79,14.51,14.85,14.51
14.44,14.45,14.49,14.42
14.35,14.21,14.41,14.21
14.20,14.14,14.24,14.14
14.26,14.30,14.38,14.22
14.01,13.75,14.01,13.70
13.79,13.64,13.86,13.64
13.63,13.53,13.63,13.27
13.39,13.41,13.41,13.39
13.54,13.43,13.64,13.34
13.56,13.87,13.87,13.52
14.04,14.03,14.04,13.90
14.07,14.15,14.15,14.04
14.16,14.10,14.17,14.01
14.26,14.32,14.33,14.26
14.35,14.32,14.40,14.25
14.29,14.29,14.29,14.13
14.16,13.88,14.22,13.88
13.91,13.97,13.97,13.84
13.78,14.11,14.14,13.77
14.17,13.91,14.17,13.91
14.10,14.18,14.25,14.10
14.17,14.36,14.38,14.17
14.42,14.51,14.52,14.42
14.54,14.53,14.56,14.50
14.45,14.33,14.48,14.33
14.29,14.20,14.29,14.14
14.10,14.20,14.20,14.09
14.38,14.39,14.41,14.33
14.33,14.28,14.33,14.28
14.24,14.40,14.40,14.24
14.29,14.39,14.39,14.29
14.33,14.33,14.33,14.18
14.42,14.39,14.42,14.36
14.23,14.27,14.30,14.17
14.05,13.85,14.05,13.85
13.62,13.78,13.78,13.61
13.77,13.79,13.86,13.77
13.73,13.77,13.83,13.73
13.87,13.96,14.03,13.87
13.88,14.03,14.05,13.88
13.89,13.76,13.93,13.70
13.68,13.71,13.73,13.63
13.73,13.75,13.78,13.71
13.49,13.44,13.50,13.44
13.30,13.54,13.54,13.29
13.60,13.52,13.60,13.52
13.43,13.68,13.69,13.43
13.68,13.50,13.68,13.50
13.38,13.47,13.47,13.36
13.64,13.86,13.86,13.64
13.94,13.96,13.97,13.93
14.13,14.20,14.21,14.13
14.16,14.06,14.16,14.06
14.07,14.13,14.13,14.07
