RDC,Rowan Companies plc Class A Ordinary Shares,NASDAQ
23.36,24.04,24.11,23.21
24.01,23.77,24.31,23.73
23.72,24.28,24.53,23.49
24.25,24.00,24.30,23.89
24.04,25.25,25.31,23.86
25.50,25.75,26.16,25.26
25.33,24.93,25.54,24.81
24.93,24.86,24.93,24.26
24.82,24.93,25.08,24.32
24.74,24.13,24.74,23.85
24.09,24.05,24.09,23.69
23.62,23.48,23.85,23.23
23.57,22.83,23.67,22.77
22.63,22.10,22.64,22.00
22.34,22.50,22.79,22.29
22.41,22.39,22.96,22.02
22.66,22.58,23.00,22.08
22.78,22.09,23.00,22.00
22.41,21.48,22.72,21.33
21.81,22.25,22.34,21.68
22.36,22.69,22.76,22.24
22.94,22.90,23.20,22.70
22.69,21.92,22.69,21.89
22.00,21.93,22.22,21.21
21.98,21.56,22.25,21.52
21.91,22.17,22.37,21.79
22.12,22.70,23.03,21.90
22.70,23.43,23.47,22.44
23.02,23.24,23.46,22.80
23.55,23.94,23.99,23.52
23.97,24.45,24.59,23.84
24.41,24.65,24.81,24.14
24.70,25.24,25.63,24.63
25.50,25.06,25.51,24.78
24.83,24.50,25.01,24.27
24.50,24.78,24.99,24.33
24.30,25.62,25.65,24.04
25.70,26.02,26.19,25.59
27.04,27.32,27.69,26.68
26.97,27.41,27.64,26.72
27.83,27.50,27.92,27.45
27.63,27.42,27.95,27.13
27.66,27.85,28.00,27.59
27.95,27.78,28.07,27.38
27.41,27.68,28.00,27.28
27.74,28.16,28.20,27.42
28.00,27.90,28.00,27.66
28.07,27.52,28.29,27.29
27.30,26.96,27.36,26.58
27.18,27.69,27.73,26.88
27.65,27.85,28.05,27.65
27.80,27.05,28.00,26.81
26.39,26.39,27.23,26.29
26.03,26.49,26.74,25.92
26.50,26.93,27.09,26.47
26.61,26.70,27.20,26.51
26.89,26.25,27.05,26.24
26.44,27.03,27.20,26.41
27.31,27.63,27.90,27.24
27.73,28.14,29.40,27.47
28.33,29.11,29.26,28.15
29.42,29.93,30.10,29.25
30.23,30.73,30.77,29.81
30.73,30.80,31.02,30.44
30.75,29.95,30.80,29.83
29.66,29.81,29.84,29.35
30.12,29.99,30.20,29.82
29.99,30.23,30.68,29.91
30.25,30.02,30.25,29.58
30.39,30.88,30.95,30.21
30.95,31.15,31.65,30.88
31.26,30.43,31.45,29.96
30.05,30.50,30.88,29.90
30.82,31.78,32.03,30.81
31.71,31.72,31.98,31.30
31.49,31.88,32.01,30.94
31.99,32.50,32.60,31.70
32.56,32.11,32.82,32.00
31.89,30.96,31.95,30.80
31.22,31.75,31.84,31.04
32.06,31.32,32.42,30.49
31.28,29.80,31.28,29.28
29.74,30.24,30.58,29.35
30.16,29.07,30.16,28.83
28.67,28.81,29.42,28.24
