RDI,Reading International Inc - Class A Non-voting Common Stock,NASDAQ
4.09,4.08,4.21,4.06
4.07,4.04,4.11,4.01
4.03,3.90,4.04,3.80
3.91,4.09,4.09,3.91
4.07,4.10,4.10,4.05
4.09,3.96,4.09,3.80
3.93,4.02,4.05,3.93
4.02,4.06,4.08,4.00
4.03,4.05,4.16,3.98
4.10,4.04,4.11,4.03
4.02,4.04,4.04,3.95
4.03,3.98,4.03,3.88
3.95,3.95,4.01,3.94
3.94,3.96,4.00,3.93
3.99,4.01,4.02,3.95
3.98,3.94,4.00,3.94
3.91,4.01,4.02,3.91
4.03,3.94,4.03,3.94
4.08,4.04,4.08,3.98
4.05,3.98,4.05,3.96
3.97,3.93,3.97,3.93
3.91,3.94,4.08,3.91
3.95,3.86,3.97,3.77
3.90,3.94,4.01,3.85
3.93,3.89,4.01,3.88
3.93,3.94,4.03,3.91
3.90,3.94,3.94,3.85
3.92,3.92,3.93,3.85
3.88,3.85,3.93,3.85
3.88,3.92,3.94,3.88
3.94,3.92,3.94,3.90
3.99,3.99,4.03,3.97
3.99,3.88,3.99,3.86
3.88,3.96,3.98,3.83
3.97,3.92,3.97,3.86
3.97,4.03,4.03,3.97
3.98,4.09,4.09,3.98
4.10,4.22,4.23,4.08
4.22,4.38,4.40,4.20
4.39,4.37,4.41,4.33
4.39,4.32,4.42,4.32
4.35,4.28,4.40,4.23
4.28,4.46,4.46,4.09
4.19,4.46,4.48,4.19
4.23,4.50,4.55,4.23
4.49,4.54,4.54,4.43
4.50,4.45,4.53,4.35
4.45,4.42,4.54,4.31
4.43,4.50,4.54,4.42
4.50,4.52,4.53,4.46
4.51,4.45,4.56,4.43
4.39,4.43,4.43,4.31
4.45,4.35,4.45,4.27
4.33,4.39,4.40,4.25
4.38,4.36,4.39,4.33
4.27,4.26,4.36,4.26
4.28,4.22,4.33,4.10
4.22,4.36,4.39,4.20
4.29,4.32,4.34,4.24
4.23,4.31,4.33,4.21
4.29,4.27,4.44,4.25
4.28,4.34,4.36,4.22
4.34,4.40,4.40,4.34
4.30,4.36,4.39,4.30
4.34,4.29,4.46,4.28
4.28,4.38,4.45,4.28
4.39,4.25,4.39,4.23
4.26,4.32,4.40,4.26
4.32,4.25,4.36,4.24
4.24,4.25,4.25,4.23
4.26,4.22,4.26,3.93
4.21,4.11,4.36,4.01
4.11,4.26,4.35,4.11
4.28,4.38,4.38,4.28
4.33,4.42,4.50,4.30
4.38,4.44,4.50,4.35
4.43,4.45,4.45,4.40
4.50,4.40,4.80,4.33
4.40,4.28,4.55,4.28
4.28,4.32,4.38,4.25
4.35,4.24,4.35,4.10
4.26,4.17,4.26,4.15
4.17,4.17,4.21,3.93
4.08,4.06,4.10,3.96
4.05,3.95,4.05,3.88
3.91,3.88,4.05,3.88
3.87,3.88,4.01,3.85
3.98,4.01,4.02,3.80
3.94,3.94,3.95,3.83
3.91,3.98,3.99,3.81
3.96,3.90,3.96,3.81
3.87,4.06,4.11,3.87
4.08,4.14,4.24,3.94
4.19,4.07,4.19,4.03
4.08,3.99,4.08,3.96
3.93,3.90,4.02,3.85
3.85,4.02,4.08,3.85
4.00,3.81,4.02,3.81
3.80,3.76,3.82,3.72
3.78,3.73,3.84,3.71
3.82,4.07,4.07,3.80
4.05,4.06,4.09,3.97
4.04,4.03,4.07,4.00
4.03,4.13,4.18,3.98
4.11,4.20,4.23,4.11
4.11,4.00,4.20,3.98
4.01,3.77,4.01,3.77
3.71,3.72,3.80,3.70
3.76,3.71,3.81,3.67
3.78,3.85,3.88,3.70
3.79,3.86,3.87,3.71
3.86,3.79,3.89,3.75
3.83,3.92,3.94,3.79
4.01,4.07,4.15,4.01
4.11,4.05,4.14,4.04
4.07,4.07,4.14,4.00
4.14,3.94,4.22,3.91
3.97,3.80,4.12,3.78
3.78,3.82,3.86,3.74
3.78,3.78,3.85,3.71
3.78,3.76,3.85,3.74
3.84,3.83,3.91,3.82
3.85,3.83,3.86,3.82
3.82,3.97,4.15,3.82
3.95,3.92,4.07,3.92
3.92,3.92,3.93,3.92
3.99,3.87,3.99,3.87
3.87,3.88,3.92,3.87
3.89,3.94,3.94,3.88
3.91,3.95,3.95,3.89
3.93,3.93,3.95,3.89
3.94,4.00,4.00,3.94
4.00,4.03,4.05,3.94
4.01,4.05,4.05,3.94
3.88,4.11,4.16,3.88
4.18,4.21,4.33,4.16
4.20,4.34,4.35,4.18
4.25,4.38,4.40,4.24
4.39,4.36,4.40,4.32
4.33,4.40,4.40,4.29
4.37,4.45,4.45,4.08
4.45,4.38,4.50,4.35
4.39,4.47,4.47,4.34
4.47,4.53,4.56,4.32
4.39,4.56,4.60,4.36
4.59,4.54,4.64,4.45
4.51,4.62,4.65,4.51
