RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),NASDAQ
33.05,33.05,33.14,32.90
32.79,32.82,32.83,32.67
32.48,32.56,32.68,32.45
32.15,32.31,32.31,32.04
32.34,32.62,32.62,32.23
32.62,32.75,32.78,32.58
32.37,32.51,32.69,32.34
33.02,33.23,33.24,32.93
33.12,33.28,33.31,33.06
33.34,33.22,33.41,33.05
33.07,33.43,33.43,33.07
33.30,33.57,33.57,33.14
34.17,33.71,34.26,33.51
33.52,32.78,33.67,32.72
32.93,32.84,33.06,32.79
32.14,32.31,32.58,32.12
32.42,32.64,32.65,32.29
32.30,32.13,32.31,31.90
32.17,31.85,32.26,31.67
32.03,32.19,32.23,31.85
32.19,32.40,32.47,32.14
32.33,32.34,32.38,32.17
31.73,31.08,31.78,31.05
30.52,30.46,30.59,29.88
30.58,30.24,30.69,30.20
30.47,30.85,31.12,30.30
30.21,30.34,30.48,30.06
30.24,30.77,30.79,30.15
30.61,30.84,30.89,30.56
30.43,30.90,31.00,30.34
31.32,31.18,31.37,31.03
30.54,30.55,30.71,30.35
29.69,29.91,30.03,29.59
29.96,29.91,30.05,29.81
30.08,30.19,30.28,30.07
30.10,30.00,30.26,29.92
29.74,29.95,30.00,29.59
29.78,30.12,30.20,29.78
29.83,29.97,30.10,29.68
30.35,30.46,30.56,30.25
30.50,30.60,30.74,30.47
30.64,30.52,30.64,30.34
30.84,31.27,31.27,30.71
31.39,31.20,31.39,31.14
31.09,31.00,31.11,30.90
30.62,30.69,30.81,30.53
30.75,30.93,30.95,30.70
30.98,30.99,31.03,30.82
30.62,30.59,30.66,30.50
30.72,31.06,31.08,30.72
31.20,31.12,31.29,31.11
30.95,30.83,31.11,30.80
30.10,30.10,30.56,30.01
29.98,30.45,30.55,29.95
30.45,30.65,30.72,30.41
30.50,30.53,30.66,30.31
31.51,31.43,31.62,31.24
31.31,31.26,31.46,31.17
31.56,31.68,31.74,31.49
31.80,31.72,31.97,31.62
31.88,32.09,32.22,31.85
32.11,32.35,32.44,32.10
32.43,32.46,32.60,32.35
32.18,32.41,32.41,32.11
32.08,32.17,32.24,31.95
31.71,32.13,32.14,31.63
32.25,32.65,32.66,32.25
32.56,32.63,32.64,32.43
32.68,32.64,32.68,32.44
32.75,32.87,32.88,32.64
32.78,33.08,33.21,32.69
33.01,32.69,33.07,32.59
32.26,32.53,32.62,32.21
32.68,32.93,33.00,32.68
33.13,33.20,33.28,33.06
33.32,33.93,33.93,33.17
33.35,33.94,33.94,33.35
33.41,33.22,33.51,33.21
33.12,32.31,33.17,32.31
31.44,31.15,31.74,30.86
31.43,31.67,31.73,31.37
31.91,31.60,31.92,31.50
31.62,31.88,31.91,31.61
31.30,31.10,31.31,31.05
30.54,30.23,30.68,30.18
30.52,29.75,30.71,28.32
28.93,28.45,29.10,28.07
29.54,29.28,29.69,29.12
28.97,29.28,29.61,28.92
29.93,30.33,30.40,29.86
30.06,29.82,30.17,29.72
29.57,29.10,29.57,28.90
28.98,28.86,29.03,28.44
29.32,28.46,29.34,28.37
28.29,28.40,28.48,28.04
27.60,27.30,27.67,27.02
26.89,27.53,27.61,26.79
27.49,27.27,27.63,27.26
26.55,26.95,27.01,26.47
27.28,26.82,27.42,26.75
27.49,28.05,28.05,27.36
28.32,27.99,28.34,27.85
28.00,27.85,28.40,27.85
27.81,28.12,28.16,27.59
28.24,28.03,28.29,27.83
28.00,27.48,28.04,27.33
27.59,27.14,27.71,27.14
27.58,27.67,27.70,27.28
27.96,27.90,28.34,27.75
28.51,28.14,28.57,27.94
28.75,28.87,28.96,28.63
29.34,29.00,29.40,28.90
29.61,29.83,29.83,29.54
29.55,29.47,29.70,29.41
29.60,29.59,29.62,29.36
29.57,29.58,29.76,29.44
29.78,29.50,29.86,29.36
29.38,28.85,30.04,28.76
29.87,29.90,30.12,29.70
30.09,29.94,30.16,29.81
29.83,30.02,30.16,29.79
30.46,30.26,30.58,30.23
30.02,29.74,30.09,29.64
29.63,29.30,29.84,29.24
29.74,29.74,29.81,29.46
29.95,29.94,30.02,29.75
30.21,29.96,30.43,29.86
30.63,31.24,31.28,30.63
31.24,31.44,31.44,31.11
31.25,31.25,31.32,31.11
30.95,31.11,31.18,30.90
31.73,32.05,32.06,31.70
31.91,32.08,32.18,31.86
32.25,32.44,32.45,31.98
32.00,31.45,32.00,31.42
31.52,31.40,31.53,31.19
30.86,31.51,31.52,30.85
31.40,31.18,31.52,31.03
31.97,32.24,32.28,31.90
32.67,33.29,33.29,32.60
33.18,33.16,33.20,32.79
33.22,33.25,33.28,32.91
33.19,33.03,33.29,33.00
34.86,34.29,35.01,34.10
34.30,34.71,35.01,34.30
35.22,35.33,35.48,35.12
35.56,35.66,35.80,35.27
35.25,35.41,35.46,35.16
35.59,35.70,35.74,35.49
35.47,35.59,35.69,35.27
35.27,35.06,35.31,34.90
34.03,34.41,34.60,33.84
33.40,33.20,33.45,33.12
33.20,33.36,33.44,33.19
33.41,33.42,33.60,33.37
