REXX,Rex Energy Corporation - Common Stock,NASDAQ
12.30,13.18,13.43,12.30
13.11,13.54,13.84,13.11
13.58,13.11,13.81,13.04
13.11,12.90,13.29,12.74
12.88,12.81,12.98,12.66
12.91,12.40,12.95,12.16
11.90,12.04,12.17,11.41
12.05,11.92,12.14,11.50
11.73,12.55,13.26,11.70
12.70,13.15,13.40,12.68
13.19,13.54,14.12,13.15
13.48,13.51,13.98,13.25
13.55,13.10,13.97,13.09
13.02,12.86,13.34,12.70
12.97,12.78,13.14,12.70
12.72,12.45,12.94,12.42
12.39,12.65,12.73,12.25
12.36,12.42,12.50,12.02
12.52,12.39,12.73,12.39
12.50,12.77,12.80,12.35
12.85,12.91,13.12,12.61
12.50,12.54,12.83,12.46
12.38,11.71,12.51,11.69
11.65,11.53,11.95,10.81
11.46,11.94,12.16,11.15
12.21,12.21,12.50,12.03
12.16,12.50,12.50,12.04
12.46,13.12,13.20,12.38
12.93,13.64,13.79,12.70
13.92,14.28,14.50,13.85
14.42,14.23,14.55,13.98
14.15,14.51,14.60,14.06
14.41,14.74,14.80,14.20
14.76,14.45,14.97,14.40
14.35,13.80,14.36,13.78
13.90,13.76,14.21,13.54
13.50,14.00,14.00,13.26
14.05,13.84,14.09,13.65
13.91,14.11,14.40,13.72
14.15,14.54,15.39,14.15
14.20,13.52,14.21,13.50
13.64,13.66,13.99,13.45
13.81,14.22,14.27,13.81
14.22,14.04,14.25,13.76
13.90,14.03,14.18,13.74
14.07,14.27,14.63,14.02
14.14,14.50,14.54,14.12
14.56,14.20,14.56,14.03
14.13,13.82,14.13,13.37
13.88,13.89,14.28,13.65
13.93,14.25,14.40,13.89
14.15,13.38,14.26,13.35
12.27,12.27,13.38,12.00
12.02,12.57,12.74,11.82
12.56,12.62,12.73,12.29
12.57,12.03,12.65,11.97
12.18,11.43,12.22,11.33
11.49,11.07,11.52,10.87
11.08,11.16,11.25,10.77
11.20,11.02,11.20,10.93
11.00,11.39,11.68,11.00
11.49,12.04,12.22,11.31
12.18,12.85,12.88,12.18
12.78,12.93,12.97,12.56
12.88,12.82,13.17,12.74
12.77,12.80,12.94,12.48
13.55,13.89,14.00,13.28
13.90,13.99,14.08,13.65
13.95,13.74,13.95,13.32
13.86,13.95,14.05,13.41
13.95,13.51,14.08,13.43
13.45,13.20,13.57,12.99
13.07,12.94,13.19,12.80
13.03,12.73,13.11,12.57
12.72,12.74,12.90,12.51
12.46,12.60,12.72,12.35
12.68,13.31,13.35,12.59
13.32,13.24,13.65,13.18
13.04,12.95,13.15,12.57
13.05,13.34,13.65,13.02
13.50,13.35,13.60,12.97
