RGI,Guggenheim S&P 500 Equal Weight Industrials ETF,NASDAQ
43.62,43.95,43.96,43.58
44.12,44.12,44.12,44.12
44.32,44.39,44.40,44.32
44.41,44.67,44.67,44.41
44.65,45.34,45.34,44.65
45.44,45.67,45.67,45.43
45.39,45.15,45.39,45.14
45.10,45.14,45.15,45.10
45.39,45.41,45.41,45.39
45.53,44.95,45.53,44.79
45.14,45.28,45.31,45.14
44.80,44.50,44.80,44.50
44.66,43.83,44.84,43.71
43.62,42.95,43.62,42.95
43.27,43.10,43.27,43.10
42.85,42.85,42.85,42.85
42.60,42.71,42.71,42.39
42.90,42.29,42.90,42.29
42.81,42.02,42.91,42.02
42.37,42.70,42.70,42.37
42.98,43.24,43.34,42.98
43.28,43.30,43.30,43.28
42.31,41.97,42.31,41.97
41.69,41.66,41.69,41.06
41.47,41.47,41.47,41.47
42.21,42.07,42.21,42.07
41.90,41.86,41.92,41.86
42.32,42.49,42.49,42.32
42.34,42.36,42.36,42.34
42.63,43.15,43.15,42.63
43.53,43.37,43.53,43.37
43.88,43.99,43.99,43.65
43.95,44.20,44.20,43.89
44.16,44.24,44.24,44.16
43.78,43.70,43.78,43.63
44.05,43.98,44.11,43.81
43.14,44.12,44.12,43.14
44.08,44.08,44.08,44.08
44.71,44.85,44.85,44.60
45.20,45.04,45.20,45.04
45.27,45.38,45.49,45.27
45.27,45.19,45.31,45.15
45.84,45.93,45.93,45.76
45.84,45.79,46.00,45.76
46.00,46.00,46.15,45.84
46.02,46.19,46.27,46.02
45.92,46.36,46.39,45.92
46.44,46.42,46.46,46.14
46.47,46.45,46.47,46.18
46.55,46.90,46.90,46.55
47.12,47.20,47.38,47.05
47.32,47.35,47.35,47.26
47.03,47.03,47.46,47.03
46.70,47.23,47.30,46.70
47.30,47.76,47.80,47.28
47.64,47.42,47.64,47.34
47.70,47.27,47.87,47.27
47.42,47.40,47.71,47.29
47.65,47.88,47.88,47.65
47.99,47.97,48.12,47.75
47.79,47.74,47.83,47.74
48.18,47.98,48.24,47.70
48.30,48.40,48.48,48.18
48.32,48.49,48.50,48.23
48.45,48.40,48.51,48.34
48.17,48.48,48.50,47.99
48.61,48.71,48.72,48.53
49.00,48.94,49.06,48.94
48.85,49.06,49.07,48.77
49.16,49.59,49.59,49.16
49.59,49.90,50.01,49.59
49.67,48.94,49.67,48.93
49.08,49.11,49.26,48.84
49.73,49.68,49.73,49.68
49.91,49.94,50.05,49.69
49.83,50.79,50.79,49.83
50.83,51.19,51.19,50.62
51.57,51.11,51.57,51.08
50.92,50.14,51.20,50.14
49.97,50.10,50.23,49.80
50.49,50.98,51.06,50.49
51.03,50.16,51.03,50.16
50.28,50.89,50.96,50.28
50.45,49.20,50.45,49.06
49.40,48.79,49.40,48.40
48.41,47.65,49.02,42.01
46.68,46.19,48.62,45.47
49.99,48.23,49.99,48.23
48.21,48.76,49.28,48.21
49.48,49.51,49.55,49.48
49.57,49.28,49.77,49.28
47.91,47.81,47.96,47.69
48.05,48.00,48.19,47.33
48.55,47.39,48.55,47.27
47.06,46.75,47.28,46.11
45.71,45.15,45.71,44.52
