RJI,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Total Return Structured Product,NASDAQ
8.00,8.01,8.02,7.95
8.03,8.03,8.03,7.97
8.06,8.15,8.16,8.02
8.11,8.02,8.11,8.02
8.05,8.02,8.06,7.98
8.09,8.03,8.11,8.00
7.90,7.83,7.97,7.77
7.82,7.85,7.87,7.70
7.87,7.81,7.88,7.78
7.78,7.72,7.81,7.69
7.67,7.76,7.76,7.61
7.65,7.62,7.66,7.57
7.65,7.55,7.67,7.51
7.50,7.41,7.53,7.39
7.47,7.48,7.50,7.44
7.38,7.39,7.45,7.34
7.35,7.29,7.38,7.21
7.33,7.29,7.33,7.18
7.31,7.18,7.31,7.16
7.18,7.30,7.30,7.18
7.33,7.48,7.48,7.32
7.43,7.36,7.47,7.35
7.34,7.17,7.34,7.12
7.17,7.07,7.17,6.92
7.05,7.10,7.14,7.02
7.14,7.25,7.26,7.13
7.24,7.29,7.30,7.14
7.32,7.36,7.38,7.22
7.28,7.31,7.31,7.21
7.45,7.54,7.55,7.42
7.50,7.53,7.55,7.47
7.54,7.60,7.60,7.50
7.57,7.63,7.63,7.53
7.64,7.62,7.64,7.56
7.56,7.51,7.56,7.48
7.52,7.58,7.58,7.48
7.44,7.47,7.48,7.38
7.51,7.60,7.60,7.47
7.60,7.54,7.63,7.47
7.55,7.60,7.64,7.53
7.66,7.66,7.70,7.62
7.65,7.61,7.66,7.57
7.66,7.68,7.71,7.63
7.68,7.64,7.72,7.62
7.61,7.62,7.66,7.59
7.61,7.63,7.71,7.57
7.61,7.62,7.62,7.58
7.65,7.59,7.67,7.54
7.54,7.51,7.54,7.46
7.58,7.62,7.64,7.54
7.67,7.70,7.72,7.63
7.64,7.68,7.69,7.64
7.58,7.58,7.67,7.54
7.48,7.59,7.60,7.44
7.57,7.57,7.62,7.53
7.48,7.45,7.50,7.45
7.53,7.43,7.53,7.42
7.50,7.47,7.50,7.42
7.56,7.61,7.63,7.55
7.58,7.63,7.63,7.57
7.68,7.61,7.68,7.58
7.68,7.74,7.75,7.67
7.78,7.84,7.84,7.75
7.68,7.85,7.87,7.68
7.81,7.79,7.88,7.78
7.75,7.79,7.79,7.74
7.81,7.78,7.83,7.75
7.81,7.78,7.85,7.75
7.78,7.82,7.83,7.71
7.85,7.90,7.92,7.83
7.90,7.93,7.93,7.88
7.88,7.81,7.90,7.76
7.70,7.71,7.73,7.65
7.74,7.78,7.81,7.74
7.76,7.82,7.85,7.75
7.73,7.83,7.83,7.70
7.80,7.88,7.88,7.78
7.90,7.80,7.91,7.80
7.76,7.68,7.82,7.66
7.72,7.72,7.73,7.65
7.77,7.75,7.81,7.74
7.81,7.83,7.85,7.76
7.84,7.84,7.88,7.81
7.76,7.64,7.76,7.63
7.44,7.51,7.56,7.41
7.44,7.31,7.48,7.21
7.30,7.29,7.35,7.21
7.43,7.41,7.49,7.36
7.35,7.41,7.43,7.35
7.43,7.45,7.49,7.39
7.43,7.39,7.45,7.37
7.33,7.18,7.33,7.15
7.15,7.02,7.17,6.98
