RMD,ResMed Inc. Common Stock,NASDAQ
52.64,52.79,53.11,52.28
51.81,50.55,51.81,50.07
51.20,52.17,52.25,51.20
52.27,52.26,52.54,51.88
52.29,52.23,52.64,51.34
52.55,52.84,52.84,51.95
52.74,51.44,52.75,51.35
52.04,52.20,52.48,51.71
52.13,52.56,52.60,52.10
52.56,52.16,52.60,51.88
52.11,52.92,52.99,52.11
52.79,52.93,53.26,52.55
52.97,51.94,53.04,51.49
52.09,51.97,53.08,51.86
52.37,53.03,53.39,52.06
52.87,53.47,53.99,52.87
53.25,52.67,53.25,52.20
52.65,52.10,52.96,51.55
52.22,51.14,52.39,51.14
51.36,51.47,51.64,50.99
51.54,52.21,52.29,51.46
51.97,52.16,52.39,51.77
52.02,50.93,52.26,50.52
55.00,54.90,55.51,53.09
55.18,54.84,55.26,54.65
55.20,54.27,55.20,53.44
54.30,54.28,54.77,53.78
54.33,55.50,55.67,53.91
55.14,55.98,56.09,55.05
56.12,55.45,56.12,55.00
55.19,55.79,55.86,54.93
55.81,57.43,57.54,55.81
57.30,57.47,57.69,57.00
57.72,57.95,58.38,57.15
57.78,56.94,57.90,56.86
56.94,57.52,57.54,56.58
57.05,57.54,57.60,56.60
57.51,57.08,57.58,56.88
57.33,58.17,58.23,57.08
58.41,58.90,59.54,58.35
59.10,59.26,59.42,58.89
59.38,59.09,59.38,58.80
59.20,59.50,59.50,58.60
59.61,59.18,59.61,59.02
58.94,59.36,59.58,58.80
59.57,60.18,60.64,59.57
60.36,60.64,60.66,60.00
60.82,60.69,60.84,59.95
60.47,60.63,60.70,60.20
60.71,61.00,61.10,60.64
61.13,61.80,61.89,61.13
61.56,62.70,62.80,61.30
62.18,62.18,62.64,61.91
61.79,62.43,62.88,61.56
62.63,62.83,62.93,62.18
62.74,63.41,63.50,62.74
63.50,63.19,64.05,63.19
63.25,62.96,63.51,62.80
63.23,63.49,63.66,62.91
63.66,63.87,64.00,63.33
63.24,63.65,64.05,63.24
63.74,63.73,63.89,63.06
63.97,63.57,64.15,63.33
63.77,63.21,63.81,62.86
63.18,62.64,63.30,62.20
62.38,61.38,62.79,60.76
61.26,61.58,61.62,61.14
61.75,61.60,61.87,61.57
61.57,61.90,62.01,61.46
62.15,62.15,62.30,61.89
62.15,61.94,62.44,61.90
62.10,61.62,62.39,61.33
61.39,61.87,61.95,61.33
62.46,63.54,63.81,62.46
64.21,63.34,64.54,62.87
63.36,63.75,63.76,62.99
63.53,63.61,63.85,63.16
63.70,63.21,64.18,63.03
62.50,60.94,62.50,60.88
61.04,61.98,62.81,60.82
61.91,61.69,63.47,61.65
65.98,68.43,70.65,65.98
68.00,68.68,68.71,66.40
67.47,67.71,67.88,66.85
67.24,67.59,67.96,67.07
67.55,65.69,67.58,64.01
65.20,63.63,65.20,62.53
65.03,66.42,66.57,64.93
65.60,67.57,68.32,65.50
67.88,68.77,68.97,67.34
68.23,68.82,69.49,68.23
68.77,68.29,69.21,67.97
68.33,68.72,68.77,67.70
67.73,66.44,67.83,66.27
64.48,64.71,65.33,63.59
62.80,62.56,63.34,61.21
59.96,61.13,61.83,59.29
60.40,62.10,63.05,60.28
59.90,62.01,62.09,58.88
62.00,61.14,63.10,61.10
61.98,63.73,63.76,61.98
63.51,62.89,63.80,62.87
62.82,63.30,64.70,62.82
63.59,64.98,65.00,63.29
64.84,65.52,65.99,64.84
64.85,64.43,65.75,64.21
64.46,62.94,64.46,62.86
62.67,62.83,62.90,61.67
63.22,62.69,63.84,62.39
63.14,63.66,63.80,62.86
63.27,64.38,64.52,63.06
64.89,65.12,65.70,64.79
65.24,66.09,66.15,64.33
65.52,65.46,66.00,65.38
65.68,64.70,65.68,64.33
64.41,63.37,64.50,63.18
63.97,63.65,64.78,63.33
63.87,63.28,64.64,63.18
63.28,61.95,63.28,61.51
61.89,61.39,62.22,61.25
61.67,61.69,62.00,61.07
61.45,61.64,62.29,61.12
61.27,60.53,61.51,60.28
60.52,60.81,61.82,60.52
60.51,59.61,60.51,58.64
59.96,61.17,61.73,59.92
62.00,61.95,62.74,61.36
61.87,64.02,64.12,61.85
64.56,65.00,65.00,64.29
64.97,64.93,65.25,64.71
64.59,65.35,65.67,64.27
65.94,66.23,66.38,65.59
65.77,66.81,66.82,65.67
66.70,66.84,66.95,66.31
66.59,66.46,66.67,66.11
66.22,64.71,66.27,64.25
64.10,64.66,64.76,63.26
64.98,63.19,64.98,63.04
63.77,64.29,64.59,63.36
64.01,65.68,65.76,64.01
64.92,64.69,65.24,64.11
64.78,63.99,64.91,63.83
64.12,63.79,64.24,63.63
64.26,64.00,64.52,63.72
