ROCK,Gibraltar Industries,NASDAQ
16.10,16.80,17.27,16.06
16.79,17.76,17.86,16.71
17.75,17.42,18.12,17.31
17.34,17.42,17.82,17.17
17.38,18.17,18.28,17.38
18.28,17.43,18.28,17.30
17.00,16.36,17.00,16.05
16.51,16.30,16.55,15.86
16.16,16.31,16.49,16.09
16.39,15.71,16.41,14.92
15.73,15.91,16.19,15.73
15.73,15.37,15.90,15.00
15.47,14.51,15.69,14.40
14.47,14.22,14.86,14.16
14.45,14.07,14.54,13.96
14.02,13.70,14.44,13.62
13.61,14.09,14.13,13.55
14.20,13.92,14.26,13.79
14.12,13.94,15.30,13.90
14.07,14.81,14.88,13.83
14.87,14.65,15.00,14.48
14.56,14.72,14.92,14.27
14.50,13.50,14.50,13.30
13.49,13.51,13.64,13.13
13.52,13.03,13.80,12.93
13.35,13.64,13.80,13.09
13.51,13.47,13.79,13.19
13.36,13.76,13.76,13.14
13.49,13.83,13.91,13.36
13.99,14.18,14.27,13.83
14.30,14.15,14.70,14.08
14.09,13.79,14.33,13.78
13.77,14.23,14.24,13.77
14.37,14.34,14.53,13.97
14.26,13.76,14.35,13.59
13.79,13.70,13.86,13.46
12.80,11.12,12.80,11.05
11.12,11.68,11.95,11.12
11.84,13.01,13.07,11.70
13.01,12.63,13.01,12.23
12.69,13.10,13.16,12.48
13.10,13.14,13.30,12.83
13.24,13.10,13.38,12.81
13.15,13.01,13.25,12.77
12.95,13.10,13.34,12.86
13.09,13.10,13.30,13.00
12.97,13.40,13.48,12.91
13.44,13.24,13.44,13.00
13.27,12.98,13.46,12.94
13.04,12.93,13.04,12.54
12.93,12.75,13.03,12.64
12.76,12.35,12.76,12.25
12.44,11.69,12.48,11.47
11.66,12.16,12.25,11.30
12.16,12.57,12.61,11.99
12.44,12.12,12.68,12.10
12.32,12.03,12.56,11.99
12.16,12.29,12.47,12.16
12.31,12.96,12.97,12.31
12.93,12.77,13.01,12.61
12.66,12.61,13.03,12.48
12.74,12.99,13.09,12.50
13.04,13.35,13.48,13.02
13.20,13.26,13.36,13.12
13.15,13.15,13.25,13.03
13.02,12.98,13.02,12.71
13.00,13.47,13.50,12.75
13.47,13.47,13.66,13.20
13.37,13.68,13.70,13.27
13.74,14.16,14.33,13.73
