RSYS,RadiSys Corporation - Common Stock,NASDAQ
9.76,10.07,10.11,9.69
10.00,9.92,10.18,9.85
9.87,9.60,10.14,9.33
9.62,9.50,9.67,9.30
9.45,9.31,9.49,9.25
9.42,9.29,9.47,9.07
9.21,9.16,9.28,9.02
9.19,9.30,9.38,9.02
9.27,9.29,9.43,9.08
9.37,9.02,9.42,8.71
9.02,9.39,9.51,9.02
9.26,8.79,9.27,8.60
8.79,8.42,8.92,8.39
8.38,8.02,8.50,8.00
8.15,8.31,8.56,8.15
8.25,7.80,8.38,7.68
7.71,8.05,8.11,7.71
8.08,7.56,8.08,7.53
7.59,7.51,7.70,7.46
7.55,7.60,7.78,7.50
7.62,7.52,7.74,7.51
7.51,7.23,7.59,7.13
8.53,7.57,8.53,7.51
7.57,7.75,7.78,7.37
7.72,7.58,7.78,7.49
7.73,7.94,7.95,7.42
7.87,8.18,8.20,7.58
8.11,8.30,8.33,7.89
8.19,8.40,8.45,8.14
8.42,8.54,8.56,8.24
8.60,8.51,8.61,8.41
8.47,8.26,8.47,8.04
8.20,8.30,8.44,8.00
8.30,8.27,8.31,8.19
8.27,8.37,8.50,8.21
8.43,8.57,8.72,8.20
8.42,8.52,8.64,8.34
8.51,8.23,8.53,8.22
8.28,8.70,8.75,8.24
8.70,8.81,8.95,8.56
8.85,8.86,8.93,8.45
8.90,8.59,8.90,8.26
8.64,8.96,9.00,8.57
8.93,8.80,8.96,8.74
8.73,8.92,9.13,8.73
8.89,8.83,9.09,8.79
8.74,8.83,8.91,8.74
8.86,8.90,8.91,8.62
8.89,8.78,9.01,8.43
8.80,8.92,8.92,8.60
8.93,9.04,9.10,8.76
8.99,8.93,9.06,8.76
9.00,9.08,9.10,8.79
9.00,9.32,9.35,8.89
9.24,9.24,9.40,8.88
9.21,8.99,9.28,8.96
9.09,9.01,9.43,8.92
9.00,9.02,9.26,8.88
9.04,8.95,9.04,8.79
9.00,9.03,9.19,8.84
9.00,8.96,9.21,8.80
9.01,9.13,9.27,8.92
9.13,9.40,9.48,8.88
9.30,9.39,9.68,9.09
9.35,9.39,9.44,9.14
9.33,9.21,9.49,9.11
9.19,9.28,9.41,8.95
9.30,9.29,9.33,8.94
9.29,9.20,9.35,9.16
9.24,9.35,9.35,9.22
9.36,9.43,9.44,9.18
9.42,9.33,9.46,9.23
9.25,9.17,9.42,9.05
9.20,9.34,9.36,9.10
9.36,9.49,9.49,9.31
9.40,9.97,9.99,9.40
9.96,10.04,10.05,9.79
10.00,10.09,10.31,9.97
10.06,10.25,10.34,10.06
10.35,10.40,11.00,10.23
10.45,10.55,10.67,10.43
10.52,9.79,10.53,9.79
9.86,10.22,10.24,9.86
10.04,9.79,10.04,9.74
9.71,9.65,10.01,9.60
9.61,9.41,10.50,9.16
9.38,9.03,9.65,8.85
10.00,9.83,10.00,9.24
9.76,9.97,10.11,9.66
10.01,10.24,10.35,9.85
10.20,10.23,10.36,10.05
10.13,10.04,10.13,9.76
10.08,10.07,10.31,9.61
10.28,10.12,10.45,10.05
10.11,9.91,10.32,9.74
9.59,9.55,9.99,9.53
9.33,9.54,9.82,9.30
9.54,9.19,9.56,9.17
8.94,9.26,9.31,8.90
9.32,9.25,9.60,9.16
9.48,9.56,9.58,9.12
9.50,9.38,9.59,9.30
9.31,9.15,9.60,9.14
9.17,9.36,9.43,8.76
9.32,9.72,9.75,9.30
9.40,9.12,9.63,9.05
9.12,8.55,9.28,8.47
8.60,8.58,8.67,8.22
8.71,8.36,8.80,8.30
8.57,8.77,8.79,8.25
8.66,8.96,8.97,8.58
9.04,8.97,9.33,8.95
9.12,9.28,9.30,8.89
9.16,9.12,9.27,9.06
9.21,9.15,9.24,8.98
9.22,9.26,9.28,8.85
9.45,9.10,9.45,8.99
9.17,8.97,9.23,8.95
8.94,9.16,9.25,8.89
9.07,9.07,9.26,8.99
9.15,9.88,9.96,8.92
9.74,9.95,10.18,9.59
9.71,9.65,9.71,9.40
9.64,9.52,9.78,9.48
9.54,9.58,9.70,9.46
9.64,9.51,9.68,9.39
9.68,9.58,9.77,9.44
9.65,9.75,9.90,9.56
9.88,10.10,10.10,9.78
10.10,10.26,10.27,10.07
10.23,10.08,10.35,9.98
10.25,10.41,10.45,10.11
10.33,10.48,10.53,10.33
10.42,10.33,10.59,10.29
10.21,9.75,10.28,9.72
9.82,9.99,10.04,9.51
9.81,10.01,10.03,9.58
10.10,9.65,10.16,9.64
9.85,10.30,10.31,9.85
10.19,10.48,10.49,10.11
10.49,10.88,10.89,10.39
10.95,10.78,10.95,10.59
9.51,9.89,10.11,9.45
9.99,9.64,10.02,9.50
9.44,9.87,9.92,9.35
10.04,9.56,10.04,9.50
9.50,9.22,9.58,9.22
9.26,9.23,9.28,9.14
9.11,9.15,9.22,8.62
8.99,9.17,9.19,8.85
9.21,9.22,9.32,9.00
9.07,8.89,9.10,8.89
8.66,8.76,8.87,8.66
8.55,8.68,8.82,8.55
8.62,8.61,8.81,8.61
8.54,8.67,8.80,8.51
8.77,8.73,8.77,8.57
8.71,8.78,8.89,8.65
8.72,8.57,8.85,8.47
8.55,8.91,8.95,8.55
8.99,8.80,8.99,8.63
8.66,8.55,8.87,8.55
8.50,8.78,8.80,8.49
8.81,8.76,8.92,8.75
8.91,9.04,9.04,8.85
8.97,9.03,9.23,8.95
8.99,9.06,9.12,8.80
9.22,9.35,9.43,9.09
9.41,9.39,9.43,9.24
9.51,9.54,9.56,9.32
9.52,9.29,9.52,9.27
9.33,9.42,9.57,9.33
9.56,9.45,9.56,9.36
9.46,9.32,9.48,9.15
9.46,9.43,9.58,9.21
9.39,9.26,9.45,9.23
9.21,9.35,9.42,9.21
9.30,9.29,9.38,9.21
9.42,9.29,9.45,9.10
9.29,9.63,9.64,9.22
9.52,9.54,9.69,9.45
9.46,9.56,9.58,9.42
9.45,9.44,9.68,9.40
9.62,9.57,9.69,9.37
9.54,9.50,9.56,9.37
9.50,9.46,9.54,9.11
9.41,9.50,9.50,9.32
9.55,9.42,9.57,9.33
9.45,9.31,9.45,9.19
9.25,9.23,9.40,9.11
9.36,9.45,9.50,9.23
9.33,9.40,9.42,9.25
9.50,9.28,9.50,9.22
9.27,9.45,9.50,9.09
9.43,9.41,9.65,9.38
9.35,9.74,9.78,9.35
9.77,10.30,10.43,9.67
10.27,10.25,10.45,10.17
10.40,9.98,10.40,9.98
9.98,10.00,10.14,9.95
9.84,9.89,10.21,9.66
9.98,9.84,10.05,9.82
9.92,9.87,10.06,9.62
9.90,9.98,10.06,9.88
10.02,10.00,10.03,9.77
9.91,9.91,9.99,9.71
9.54,9.73,10.06,9.53
9.85,9.95,10.05,9.67
9.90,9.77,9.90,9.76
9.68,9.85,9.87,9.57
9.93,10.02,10.02,9.80
10.00,10.00,10.04,9.85
10.05,10.02,10.09,9.30
9.98,10.01,10.07,9.83
9.94,10.10,10.13,9.79
9.87,9.90,10.00,9.77
9.92,9.93,10.01,9.82
9.80,9.69,9.99,9.65
9.60,9.35,9.64,9.33
9.42,9.22,9.42,9.21
9.18,9.25,9.26,9.10
9.29,9.23,9.33,9.18
9.31,9.13,9.57,9.12
9.14,9.09,9.17,9.04
9.05,9.13,9.17,8.94
9.03,9.15,9.18,8.46
9.20,9.17,9.29,9.04
9.95,8.97,9.95,8.97
8.94,9.04,9.17,8.83
8.96,9.03,9.13,8.87
9.14,9.04,9.17,8.98
9.03,9.00,9.05,8.95
8.93,9.09,9.13,8.93
9.04,8.98,9.04,8.92
9.06,9.03,9.13,8.92
9.07,9.01,9.10,8.87
9.10,9.00,9.10,8.91
9.04,9.17,9.17,8.90
9.16,9.12,9.20,8.99
9.17,9.28,9.32,8.98
9.30,9.36,9.43,9.26
9.34,9.48,9.50,9.27
8.78,8.97,9.08,8.72
8.97,9.11,9.18,8.90
9.13,9.03,9.20,8.97
9.06,9.11,9.19,8.99
9.14,9.04,9.14,8.97
9.04,9.13,9.16,8.99
9.13,9.06,9.13,8.92
9.09,9.03,9.10,8.93
9.01,8.92,9.10,8.90
8.92,8.90,8.93,8.85
8.94,9.16,9.22,8.89
9.15,8.94,9.15,8.91
8.93,9.00,9.02,8.90
8.98,8.80,8.99,8.75
8.79,8.95,8.95,8.70
8.89,8.89,8.94,8.81
8.91,8.94,8.96,8.79
9.00,9.00,9.00,8.84
9.00,8.86,9.00,8.77
8.88,9.03,9.08,8.71
9.10,8.93,9.10,8.79
8.92,8.64,8.92,8.63
8.60,8.56,8.71,8.49
8.60,8.37,8.63,8.37
8.35,8.75,8.77,8.35
8.70,8.48,8.70,8.01
8.48,8.67,8.68,8.43
8.66,8.68,8.75,8.53
8.65,8.46,8.70,8.45
8.48,8.46,8.50,8.24
8.25,8.94,9.00,8.25
8.88,8.46,8.88,8.42
8.44,8.52,8.61,8.42
8.50,8.42,8.59,8.41
8.42,8.69,8.72,8.42
8.65,8.63,8.65,8.52
8.60,8.58,8.73,8.56
8.55,8.50,8.70,8.50
8.47,8.68,8.72,8.46
8.65,8.70,8.73,8.65
8.64,8.51,8.65,8.51
8.52,8.61,8.67,8.52
8.60,8.57,8.64,8.57
8.63,8.44,8.63,8.41
8.34,8.32,8.57,8.23
8.30,8.19,8.42,8.18
8.23,8.20,8.23,8.02
8.21,8.37,8.38,8.16
8.45,8.33,8.45,8.24
8.37,8.53,8.57,8.32
8.50,8.31,8.55,8.28
8.34,8.56,8.60,8.34
8.60,8.72,8.72,8.60
8.75,8.61,8.75,8.56
8.60,8.70,8.76,8.55
8.69,8.57,8.72,8.50
8.50,8.50,8.60,8.49
8.50,8.50,8.56,8.44
8.47,8.54,8.63,8.47
8.37,8.32,8.46,8.23
8.28,8.11,8.28,8.04
8.27,8.11,8.27,8.04
8.16,8.11,8.23,8.05
8.18,8.52,8.58,8.18
8.52,8.50,8.52,8.44
8.48,8.45,8.60,8.42
8.43,8.43,8.50,8.36
8.49,8.28,8.62,8.27
8.33,8.39,8.50,8.31
8.39,8.46,8.59,8.25
