RTH,VanEck Vectors Retail ETF,NASDAQ
94.41,94.08,94.63,93.96
94.05,94.03,94.41,93.67
93.81,94.11,94.25,93.58
94.89,94.72,94.89,94.08
94.26,94.39,94.51,93.71
94.60,94.29,94.60,93.72
93.69,93.64,94.00,93.11
93.85,94.28,94.49,93.41
94.02,93.67,94.23,93.59
93.45,93.20,94.01,93.18
93.70,94.24,94.25,93.08
93.52,93.59,94.12,92.96
93.47,92.53,94.31,92.39
92.45,91.42,93.15,91.34
91.80,91.50,92.09,90.96
91.24,91.96,92.62,91.12
92.04,92.19,92.46,91.57
92.63,91.80,92.77,91.37
92.64,92.07,93.45,92.00
92.01,92.06,92.44,91.39
92.53,93.01,93.23,92.04
92.60,92.31,92.67,91.84
92.18,90.32,92.30,90.22
90.25,90.56,90.83,89.43
91.09,90.60,91.71,90.52
91.71,91.42,91.96,90.81
91.10,91.08,91.61,90.48
90.78,91.89,92.00,90.55
91.55,91.54,91.76,90.79
91.93,92.83,93.02,91.63
93.25,93.74,93.77,93.05
93.37,93.94,94.11,92.91
93.94,94.07,94.26,93.68
94.53,94.21,94.53,93.95
94.01,93.93,94.35,93.25
93.94,95.57,95.57,93.94
94.43,96.28,96.28,94.10
96.30,95.86,96.30,95.51
96.26,96.95,97.13,95.51
96.90,96.57,97.22,96.41
96.20,96.67,97.19,96.10
97.14,97.22,97.44,96.86
97.69,98.13,98.28,97.40
98.21,98.30,98.56,97.94
98.02,97.86,98.41,97.37
97.66,97.73,98.18,97.48
97.53,98.34,98.37,97.45
98.73,98.79,99.00,98.26
99.09,99.66,99.75,98.73
99.86,100.16,100.32,99.75
100.32,100.26,100.56,99.97
100.07,100.20,100.25,99.75
99.53,99.53,100.49,99.09
99.00,100.43,100.63,99.00
100.50,100.60,100.67,99.75
100.15,99.63,100.40,99.45
100.37,100.84,101.57,100.33
101.11,101.30,101.66,100.83
101.58,101.35,101.68,100.75
101.53,101.45,102.13,101.10
101.09,100.47,101.24,100.33
101.04,100.86,101.32,100.34
100.98,101.77,101.77,100.51
101.80,102.13,102.18,101.42
102.04,101.94,102.35,101.44
101.98,103.38,103.49,101.67
103.28,103.52,103.55,102.67
103.75,103.66,103.93,103.25
103.64,104.34,104.58,103.29
104.40,105.27,105.28,103.93
104.96,105.28,105.40,104.72
104.89,104.31,105.40,103.97
104.25,104.51,104.71,103.11
105.02,104.85,105.30,104.62
104.90,105.47,105.64,104.60
105.09,107.10,107.27,104.88
106.75,107.02,107.18,106.27
107.15,107.11,107.71,107.00
106.60,104.38,106.65,104.37
104.80,104.27,105.28,103.88
105.02,105.20,105.71,104.78
105.45,103.46,105.68,103.44
104.00,104.96,105.23,103.65
103.86,102.59,103.96,102.40
102.17,103.14,104.22,102.09
101.83,99.76,108.28,95.75
99.99,98.41,101.00,96.76
102.00,102.13,102.34,101.04
101.65,102.52,103.46,101.29
103.00,103.50,103.51,102.06
103.30,101.36,103.53,101.23
100.75,100.53,101.55,99.79
100.78,101.00,101.12,99.04
101.58,99.57,102.00,99.28
98.95,98.98,99.94,97.93
97.10,95.56,97.66,95.40
94.39,96.70,97.28,93.77
96.72,96.10,97.20,95.96
94.26,96.67,96.73,93.85
97.01,95.44,97.53,95.28
97.00,97.96,97.96,96.29
97.79,97.12,98.15,96.60
96.13,96.33,98.09,96.13
96.80,97.87,97.87,96.23
98.35,97.70,98.80,96.78
96.37,93.98,96.37,93.71
93.69,92.73,94.64,92.66
92.86,93.16,93.40,91.83
93.93,93.25,94.64,92.75
94.57,95.21,95.29,93.98
94.16,94.74,95.32,93.90
95.41,95.16,96.16,95.00
95.15,96.18,96.24,94.60
95.78,94.94,95.78,94.71
95.41,94.72,95.45,94.02
95.19,94.79,95.76,94.75
95.36,93.34,95.71,92.87
93.48,91.59,93.66,91.59
91.57,91.93,92.56,91.00
91.24,89.74,91.39,89.61
89.68,89.60,90.24,89.36
89.95,89.13,90.06,88.92
88.24,86.43,88.28,86.08
86.46,85.92,87.37,85.71
86.01,86.52,86.75,84.79
86.42,85.70,86.58,85.42
86.90,85.54,87.39,84.89
85.62,87.27,87.34,85.39
87.67,87.51,87.93,86.45
87.39,88.10,88.10,87.09
87.95,88.09,88.66,87.63
88.70,89.73,90.17,88.64
89.33,89.34,89.46,88.62
89.14,89.69,89.90,88.44
89.40,87.18,89.40,87.04
87.35,87.35,87.62,86.54
86.68,89.03,89.11,86.40
89.17,87.54,89.17,87.26
88.27,89.27,89.69,88.27
88.36,90.30,90.37,88.05
90.37,91.17,91.20,89.84
91.51,89.93,91.51,89.81
89.84,89.43,90.51,89.17
90.10,88.74,90.46,88.06
88.00,89.35,89.66,87.75
90.62,90.86,91.06,89.92
90.57,89.72,90.85,89.39
89.97,90.70,90.87,89.84
90.34,91.05,91.10,89.69
90.13,90.70,90.81,89.53
91.18,91.56,91.90,91.10
90.80,90.95,91.36,90.27
89.88,89.17,89.88,89.01
88.00,88.87,89.06,87.95
88.56,88.11,88.84,88.03
87.93,88.21,88.75,87.54
89.06,89.45,90.32,88.86
88.99,90.19,90.55,88.86
89.66,88.87,90.27,88.48
88.67,88.99,89.11,88.20
89.51,88.67,89.93,88.65
87.77,87.99,88.57,86.93
87.55,89.01,89.38,87.51
89.28,88.17,89.28,88.04
88.63,88.78,88.85,87.29
88.40,87.30,88.83,87.28
