RTIX,RTI Surgical,NASDAQ
3.87,3.80,3.90,3.68
3.80,3.67,3.83,3.57
3.67,3.66,3.75,3.60
3.65,3.68,3.74,3.53
3.67,3.64,3.68,3.58
3.65,3.76,3.76,3.56
3.72,3.53,3.75,3.51
3.54,3.56,3.60,3.49
3.56,3.54,3.58,3.50
3.55,3.46,3.58,3.38
3.47,3.40,3.57,3.38
3.40,3.37,3.48,3.31
3.37,3.28,3.42,3.27
3.29,3.18,3.34,3.16
3.22,3.24,3.28,3.18
3.22,3.17,3.31,3.15
3.16,3.13,3.28,3.10
3.15,3.04,3.25,3.03
3.06,3.16,3.24,3.06
3.18,3.17,3.24,3.13
3.16,3.04,3.19,3.01
3.03,3.09,3.11,2.85
3.07,3.09,3.11,3.00
3.09,3.11,3.15,3.04
3.12,3.11,3.16,3.03
3.14,3.29,3.38,3.12
3.28,3.27,3.33,3.20
3.26,3.18,3.32,3.16
3.15,3.24,3.24,3.09
3.27,3.46,3.49,3.21
3.47,3.46,3.50,3.37
3.45,3.35,3.45,3.33
3.35,3.38,3.39,3.28
3.39,3.33,3.39,3.31
3.33,3.40,3.41,3.24
3.40,3.51,3.53,3.16
3.47,3.55,3.57,3.34
3.54,3.75,3.89,3.50
3.88,3.93,3.96,3.85
3.94,4.01,4.01,3.88
4.02,4.10,4.20,3.94
4.13,3.89,4.15,3.88
3.93,4.02,4.04,3.87
4.03,4.01,4.06,3.98
4.01,4.12,4.13,3.98
4.11,4.31,4.33,4.10
4.29,4.35,4.41,4.10
4.35,4.28,4.35,4.22
4.26,4.38,4.39,4.22
4.38,4.40,4.55,4.24
4.42,4.25,4.50,4.23
4.22,4.28,4.34,4.16
4.30,4.30,4.30,3.95
4.25,4.31,4.36,4.22
4.28,4.29,4.31,4.20
4.26,4.20,4.35,4.20
4.25,4.21,4.35,4.20
4.24,4.25,4.29,4.19
4.26,4.26,4.29,4.17
4.28,4.44,4.44,4.27
4.41,4.33,4.48,4.30
4.34,4.36,4.39,4.20
4.39,4.54,4.54,4.35
4.54,4.42,4.59,4.38
4.40,4.24,4.42,4.17
4.22,4.29,4.31,4.17
4.39,4.29,4.39,4.25
4.29,4.29,4.35,4.25
4.27,4.32,4.34,4.22
4.34,4.44,4.46,4.33
4.44,4.35,4.44,4.30
4.35,4.18,4.35,4.17
4.19,4.26,4.30,4.19
4.35,4.30,4.36,4.26
4.29,4.27,4.31,4.21
4.23,4.28,4.30,4.21
4.26,4.35,4.35,4.22
4.35,4.22,4.40,4.17
4.18,4.01,4.25,4.00
4.00,3.61,4.03,3.45
3.63,3.89,3.90,3.60
3.88,3.83,3.92,3.80
3.80,3.90,3.90,3.75
3.82,3.80,3.83,3.75
3.69,3.75,3.88,3.60
3.75,3.63,3.78,3.50
3.63,3.60,3.76,3.46
3.83,3.82,3.87,3.66
3.76,3.86,3.93,3.72
3.86,4.03,4.08,3.83
4.00,3.94,4.01,3.89
3.88,3.67,3.90,3.65
3.71,3.85,3.93,3.71
3.91,3.81,3.91,3.79
3.81,3.63,3.85,3.60
3.54,3.27,3.55,3.23
3.22,3.22,3.30,3.10
3.23,3.26,3.33,3.21
3.18,3.35,3.36,3.15
3.37,3.48,3.61,3.37
3.56,3.57,3.62,3.41
3.57,3.56,3.63,3.52
3.52,3.34,3.52,3.34
3.35,3.53,3.53,3.31
3.51,3.57,3.59,3.43
3.46,3.30,3.47,3.30
3.31,3.20,3.43,3.19
3.23,3.23,3.29,3.13
3.27,3.19,3.27,3.15
3.26,3.25,3.27,3.15
3.19,3.25,3.26,3.19
3.28,3.24,3.28,3.21
3.28,3.17,3.28,3.15
3.16,3.24,3.26,3.16
3.27,3.25,3.29,3.17
3.25,3.20,3.25,3.17
3.26,3.20,3.33,3.18
3.22,3.16,3.27,3.15
3.15,3.13,3.17,3.08
3.10,3.10,3.13,3.05
3.11,3.28,3.30,3.07
