RWT,Redwood Trust,NASDAQ
14.69,14.52,14.84,14.42
14.61,14.62,14.74,14.45
14.60,14.37,14.68,14.33
14.39,14.89,14.95,14.34
14.89,14.99,15.08,14.86
15.15,15.46,15.55,15.13
15.38,15.13,15.44,15.05
15.11,15.41,15.53,15.02
15.44,15.45,15.50,15.21
15.37,15.13,15.62,15.12
15.24,15.26,15.50,15.16
15.26,15.18,15.35,15.07
15.28,14.81,15.43,14.81
14.84,14.66,15.00,14.60
14.85,14.63,14.91,14.44
14.62,14.63,14.99,14.58
14.59,14.59,14.62,14.39
14.63,14.31,14.64,14.15
14.29,14.30,14.53,14.23
14.32,14.35,14.51,14.23
14.34,14.57,14.60,14.18
14.50,14.44,14.60,14.40
14.36,13.95,14.38,13.92
14.00,13.95,14.28,13.85
13.97,13.79,14.08,13.75
13.98,13.67,13.98,13.61
13.65,13.34,13.68,13.34
13.32,13.37,13.44,13.22
13.26,13.57,13.58,13.25
13.65,13.92,13.92,13.60
14.00,14.23,14.25,13.95
14.19,14.20,14.25,14.04
14.19,14.08,14.23,14.03
14.08,14.09,14.19,14.00
14.07,13.93,14.13,13.88
13.94,13.98,14.10,13.89
13.89,13.97,13.98,13.76
14.12,14.25,14.44,13.96
14.37,14.62,14.70,14.35
14.69,14.47,14.75,14.40
14.54,14.49,14.65,14.43
14.50,14.55,14.59,14.40
14.52,14.78,14.81,14.27
14.82,15.08,15.11,14.72
15.01,15.09,15.31,14.99
15.05,14.99,15.15,14.88
15.03,14.91,15.03,14.77
14.97,14.75,15.00,14.59
14.75,14.80,14.88,14.67
14.80,14.82,14.87,14.63
14.89,14.91,14.95,14.77
14.90,14.85,14.96,14.80
14.94,14.94,15.02,14.80
14.86,15.10,15.14,14.86
15.16,14.99,15.17,14.90
14.96,15.00,15.07,14.93
15.06,15.05,15.19,14.94
15.12,15.06,15.16,14.97
14.77,14.77,15.00,14.73
14.74,14.82,14.87,14.74
14.84,15.42,15.84,14.75
15.50,15.36,15.58,15.24
15.50,15.80,15.80,15.30
15.75,15.79,16.00,15.64
15.82,15.76,15.88,15.68
15.75,15.85,15.91,15.75
15.91,16.03,16.07,15.81
15.93,15.96,16.12,15.85
15.90,16.00,16.06,15.85
16.01,16.10,16.14,15.89
16.04,16.09,16.16,15.86
16.08,15.65,16.14,15.65
15.58,15.90,15.93,15.52
15.93,16.12,16.12,15.75
16.13,16.77,16.80,16.13
16.63,16.76,16.88,16.55
16.81,17.14,17.16,16.72
17.17,16.95,17.19,16.89
16.87,16.38,16.98,16.32
16.44,16.28,16.67,16.21
16.44,16.83,16.95,16.41
16.83,16.68,17.04,16.59
16.78,17.17,17.25,16.70
16.94,16.10,17.01,15.92
15.77,15.82,16.01,15.74
15.77,15.16,16.00,14.55
15.15,14.68,15.45,14.40
15.56,15.38,15.63,15.07
15.17,15.30,15.50,15.06
15.33,15.73,15.75,15.26
15.73,15.39,16.03,15.35
15.36,15.01,15.42,14.84
15.09,15.09,15.35,14.71
15.31,14.95,15.39,14.92
14.94,14.73,15.09,14.52
14.51,14.17,14.56,14.13
14.00,14.51,14.52,13.75
14.45,14.51,14.74,14.32
14.19,14.54,14.57,14.05
14.65,14.49,14.90,14.41
14.78,15.19,15.20,14.65
15.20,15.19,15.31,14.98
15.05,14.66,15.18,14.66
14.82,15.15,15.16,14.53
15.06,15.07,15.19,14.90
14.74,14.38,14.90,14.33
14.49,14.38,14.76,14.35
14.46,14.60,14.62,14.20
14.77,14.47,14.95,14.37
14.70,14.90,14.90,14.56
14.71,15.09,15.10,14.63
15.28,15.20,15.35,15.02
15.28,15.52,15.57,15.21
15.34,15.45,15.71,15.26
15.59,15.52,15.63,15.33
15.56,15.88,15.98,15.51
16.04,15.80,16.12,15.72
15.90,15.58,16.15,15.52
15.57,15.70,16.22,15.43
15.64,15.29,15.68,15.27
15.41,15.88,15.93,15.30
15.77,15.54,15.79,15.48
15.33,15.15,15.41,15.02
15.11,14.64,15.25,14.64
14.66,14.51,14.70,14.21
14.60,14.46,14.67,14.24
14.62,14.45,14.81,14.36
14.53,14.96,14.96,14.51
15.15,14.96,15.16,14.73
14.96,15.17,15.17,14.82
15.07,15.13,15.21,14.84
15.29,15.30,15.36,15.08
15.23,15.09,15.31,14.90
15.14,14.90,15.16,14.70
14.80,14.40,14.80,14.30
14.47,14.69,14.72,14.28
14.47,14.76,14.80,14.38
14.88,14.48,14.94,14.39
14.62,15.11,15.20,14.60
15.04,15.15,15.26,14.80
15.15,15.48,15.51,14.94
15.55,15.72,15.80,15.47
15.69,15.57,15.88,15.48
15.71,15.48,15.81,15.20
15.29,15.65,15.88,15.25
15.88,15.99,16.07,15.76
15.95,15.94,16.25,15.83
15.98,15.90,16.24,15.82
15.50,14.70,15.58,14.67
14.51,14.85,14.87,14.37
15.00,15.05,15.09,14.88
14.84,14.65,14.98,14.61
14.51,14.57,14.61,14.35
14.45,14.56,14.65,14.36
14.55,14.49,14.65,14.41
14.46,14.60,14.76,14.40
14.72,14.48,14.72,14.46
14.47,14.52,14.65,14.40
14.45,14.36,14.53,14.16
14.27,14.34,14.35,14.20
14.39,14.29,14.65,14.27
14.12,14.05,14.28,14.03
14.03,14.20,14.24,13.98
14.30,13.81,14.35,13.80
13.78,14.04,14.05,13.49
14.02,13.75,14.08,13.75
13.70,13.81,13.88,13.61
13.98,14.17,14.18,13.83
14.24,14.21,14.27,14.00
14.35,14.45,14.45,14.20
14.35,14.01,14.39,14.01
13.98,14.19,14.21,13.98
14.36,14.21,14.36,14.09
14.22,14.30,14.37,14.21
14.46,14.60,14.65,14.35
14.60,14.51,14.69,14.49
14.47,14.57,14.62,14.41
14.49,14.50,14.56,14.30
14.59,14.71,14.75,14.51
14.75,15.01,15.05,14.70
15.01,14.74,15.01,14.72
14.74,14.53,14.82,14.48
14.42,14.32,14.59,14.28
14.53,14.70,14.73,14.45
14.68,14.39,14.77,14.38
14.25,14.30,14.35,14.04
14.29,14.47,14.53,14.25
14.56,14.46,14.56,14.23
14.57,14.60,14.70,14.41
14.60,14.56,14.65,14.32
14.70,14.60,14.71,14.54
14.64,14.66,14.68,14.50
14.73,14.64,14.78,14.60
14.69,14.82,14.91,14.60
14.85,14.85,14.89,14.80
14.84,14.92,14.95,14.71
15.00,15.12,15.23,14.88
15.07,14.89,15.19,14.76
14.99,14.76,15.02,14.70
14.79,14.81,14.85,14.72
14.62,14.59,14.87,14.53
14.66,14.54,14.72,14.52
14.58,14.38,14.63,14.29
14.39,14.35,14.41,14.21
14.42,14.30,14.44,14.26
14.24,14.19,14.32,14.19
14.15,14.14,14.21,14.07
14.20,14.15,14.22,14.05
14.12,14.18,14.25,14.11
14.22,14.26,14.32,14.16
14.36,14.27,14.38,14.20
14.28,14.25,14.29,14.15
14.40,14.57,14.59,14.20
14.55,14.58,14.67,14.55
14.50,14.51,14.56,14.35
14.55,14.25,14.57,14.20
14.05,14.19,14.26,14.05
14.11,14.11,14.23,14.08
14.05,14.08,14.16,14.01
14.16,14.04,14.26,14.02
14.00,13.98,14.14,13.90
14.01,13.88,14.06,13.84
13.95,13.97,14.10,13.92
13.94,13.88,14.00,13.80
13.87,14.03,14.09,13.83
13.93,13.97,14.02,13.87
14.03,14.08,14.17,13.99
14.05,13.95,14.05,13.95
13.90,13.99,14.03,13.87
13.89,13.83,13.94,13.80
13.98,14.04,14.07,13.85
14.08,14.41,14.42,14.05
14.33,14.31,14.41,14.16
14.30,14.41,14.44,14.27
14.50,14.37,14.55,14.35
14.41,14.30,14.41,14.27
14.41,14.30,14.41,14.26
14.33,14.57,14.63,14.31
14.64,14.65,14.75,14.55
14.69,14.70,14.75,14.62
14.74,14.63,14.88,14.63
14.68,14.87,14.90,14.68
14.86,15.09,15.10,14.76
15.11,15.10,15.32,15.08
15.13,15.36,15.38,15.11
15.35,15.41,15.55,15.35
15.37,15.32,15.43,15.30
15.33,15.29,15.36,15.18
15.34,15.24,15.37,15.21
15.04,14.93,15.04,14.76
14.93,14.98,15.00,14.88
14.96,14.93,15.04,14.89
15.03,15.06,15.16,14.96
15.09,14.86,15.09,14.86
14.86,15.12,15.14,14.82
15.11,15.19,15.30,15.11
15.23,15.18,15.32,14.95
15.14,15.19,15.28,15.03
15.24,15.15,15.27,15.05
15.27,15.23,15.28,15.13
15.25,15.32,15.33,15.20
15.29,15.36,15.40,15.23
15.36,15.16,15.37,15.03
15.18,15.02,15.18,14.96
14.94,15.06,15.25,14.92
15.19,15.04,15.19,15.00
15.10,15.17,15.30,15.07
15.14,15.22,15.22,15.04
15.21,15.19,15.42,15.13
15.22,15.28,15.40,15.19
15.28,15.00,15.31,14.94
15.09,14.97,15.10,14.90
15.09,15.39,15.39,14.97
15.32,15.46,15.56,15.14
15.47,15.47,15.55,15.33
15.43,15.28,15.47,15.15
15.25,15.50,15.50,15.25
15.47,15.59,15.59,15.40
15.59,16.04,16.05,15.54
15.98,16.35,16.41,15.85
16.34,16.66,16.66,16.15
16.75,16.58,17.00,16.42
16.49,16.59,16.75,16.38
16.65,17.06,17.16,16.65
17.06,16.90,17.09,16.87
17.00,16.84,17.00,16.71
16.71,16.62,16.88,16.62
16.60,16.71,16.74,16.55
16.43,16.41,16.44,16.06
