SAFT,Safety Insurance Group,NASDAQ
36.83,37.03,37.13,36.47
37.09,36.44,37.09,36.16
36.50,36.03,36.78,35.94
35.83,36.29,36.30,35.66
36.25,36.36,36.38,35.88
36.44,36.00,36.44,35.77
35.71,36.10,36.23,35.71
36.28,35.99,36.28,35.93
36.11,36.10,36.26,35.96
36.28,35.82,36.28,35.03
35.97,36.15,36.34,35.83
35.83,35.57,36.12,35.06
35.70,35.01,35.72,34.69
35.08,34.91,35.65,34.62
35.21,34.97,35.21,34.65
34.95,34.64,35.70,34.54
34.46,35.49,35.92,34.46
35.63,35.15,35.63,34.74
35.18,35.00,35.46,34.85
35.03,35.16,35.41,34.81
35.11,34.87,35.25,34.75
34.83,34.73,35.00,34.44
34.56,34.10,34.72,34.09
34.08,34.30,34.30,33.79
34.20,33.83,34.20,33.75
34.30,34.23,34.40,33.94
34.19,34.36,34.42,33.85
34.24,34.73,34.77,33.72
34.54,35.00,35.03,34.43
34.98,35.24,35.25,34.56
35.43,35.38,35.43,35.00
35.24,35.91,36.00,35.24
35.92,36.26,36.35,35.90
36.29,36.71,36.73,35.71
36.68,36.79,37.13,36.41
37.00,37.10,37.31,36.69
36.39,36.89,37.04,36.39
36.89,37.14,37.34,36.45
37.47,37.89,38.36,37.20
38.00,38.00,38.20,37.74
38.18,38.39,38.59,38.00
38.59,38.85,38.91,38.36
38.92,39.20,39.31,38.80
39.30,39.20,39.42,39.06
39.10,38.78,39.41,38.28
38.63,37.97,39.21,37.19
37.55,37.69,37.94,37.04
37.93,37.65,37.93,37.41
37.53,37.26,37.80,37.11
37.29,37.55,37.60,37.12
37.74,38.00,38.29,37.55
38.09,37.95,38.24,37.81
38.17,37.80,38.18,37.55
37.42,38.05,38.11,37.42
37.76,38.09,38.22,37.61
38.09,37.72,38.17,37.72
37.93,37.84,38.26,37.60
38.06,37.97,38.24,37.86
38.14,37.82,38.14,37.72
37.98,37.76,37.99,37.64
37.65,37.67,38.23,37.61
37.79,37.69,38.06,37.50
37.97,37.94,37.97,37.61
37.64,37.70,37.99,37.64
37.54,37.80,38.06,37.54
37.65,37.68,37.94,37.52
37.61,37.56,38.12,37.25
37.54,37.61,37.63,37.39
37.55,37.26,37.55,36.88
37.46,37.80,37.89,37.05
37.87,37.76,37.96,37.26
37.75,37.31,37.78,37.22
37.04,37.63,37.73,37.04
37.73,38.14,38.17,37.31
38.00,38.25,38.35,37.88
37.75,38.30,38.43,37.70
38.14,38.04,38.28,37.97
37.96,37.99,38.32,37.90
37.93,37.50,38.33,37.50
37.84,37.72,38.19,37.49
38.07,38.56,38.73,37.72
38.45,37.29,38.48,37.27
37.37,38.00,38.05,37.20
37.55,37.34,37.67,37.05
37.09,37.19,37.65,37.05
37.06,37.02,38.48,36.48
36.90,36.19,37.34,36.04
37.41,37.17,37.53,36.63
36.84,37.54,37.72,36.84
37.76,38.35,38.44,37.42
38.17,37.97,38.17,37.60
37.70,37.61,37.70,37.25
37.76,36.92,37.76,36.28
37.40,36.85,37.41,36.54
36.63,36.79,37.02,36.29
36.22,35.30,36.50,35.28
35.25,36.00,36.56,34.17
36.08,35.07,36.08,35.00
34.23,35.02,35.27,34.21
35.20,35.43,35.89,34.90
35.42,36.74,36.75,35.16
36.73,36.13,36.97,36.07
35.77,35.32,36.12,35.32
35.64,36.36,36.61,35.31
36.28,36.40,36.79,36.00
35.59,35.67,35.96,35.38
35.98,35.56,36.21,35.54
35.78,36.14,36.41,35.03
36.54,36.13,36.54,35.99
36.66,36.80,36.81,36.03
36.34,37.02,37.09,36.34
