SCHB,Schwab U.S. Broad Market ETF,NASDAQ
26.65,26.80,26.83,26.60
26.86,26.89,26.89,26.74
26.91,26.91,26.95,26.85
26.89,27.00,27.03,26.76
26.96,27.08,27.11,26.87
27.25,27.15,27.26,27.05
26.97,26.85,27.00,26.77
26.95,27.11,27.15,26.81
27.08,27.17,27.20,27.06
27.16,26.88,27.16,26.75
26.90,27.21,27.21,26.89
27.02,26.95,27.02,26.70
27.00,26.47,27.05,26.45
26.39,25.87,26.43,25.85
26.13,25.99,26.14,25.92
25.91,25.88,26.14,25.85
25.88,26.02,26.05,25.65
26.12,25.72,26.12,25.54
25.80,25.47,26.00,25.40
25.61,25.82,25.82,25.59
25.89,26.16,26.17,25.80
26.05,26.03,26.14,25.90
25.83,25.20,25.83,25.17
25.23,25.28,25.28,24.74
25.26,25.06,25.38,25.06
25.34,25.36,25.58,25.13
25.39,25.35,25.46,25.10
25.31,25.62,25.62,25.19
25.40,25.62,25.62,25.25
25.85,26.03,26.07,25.75
26.18,26.17,26.20,26.07
26.19,26.34,26.36,26.15
26.28,26.41,26.48,26.20
26.56,26.37,26.56,26.33
26.35,26.04,26.39,26.02
26.16,26.29,26.33,26.08
25.95,26.28,26.28,25.88
26.34,26.31,26.36,26.15
26.43,26.62,26.62,26.43
26.75,26.70,26.81,26.66
26.80,26.73,26.88,26.69
26.78,26.82,26.83,26.68
26.99,27.19,27.20,26.90
27.25,27.20,27.26,27.15
27.15,27.25,27.38,27.10
27.29,27.40,27.44,27.27
27.29,27.50,27.50,27.21
27.64,27.51,27.64,27.44
27.49,27.49,27.51,27.30
27.56,27.74,27.75,27.51
27.83,27.90,28.00,27.80
27.93,27.87,27.94,27.78
27.67,27.67,27.98,27.59
27.44,27.76,27.81,27.37
27.82,27.95,27.98,27.72
27.86,27.82,27.93,27.77
28.04,27.72,28.11,27.72
27.82,27.75,27.93,27.65
27.90,27.92,27.96,27.83
28.02,27.93,28.03,27.81
27.82,27.83,27.98,27.75
27.98,28.02,28.11,27.87
28.17,28.30,28.30,28.08
28.25,28.38,28.44,28.20
28.37,28.21,28.37,28.10
28.12,28.31,28.35,28.04
28.39,28.47,28.48,28.31
28.53,28.54,28.60,28.49
28.54,28.55,28.59,28.36
28.69,28.91,28.91,28.65
28.89,28.92,28.98,28.86
28.82,28.48,28.86,28.33
28.36,28.54,28.57,28.21
28.74,28.82,28.84,28.64
28.89,28.80,28.89,28.64
28.61,28.92,28.94,28.43
28.92,29.12,29.14,28.84
29.15,29.02,29.21,29.00
28.89,28.34,29.00,28.27
28.49,28.49,28.56,28.25
28.71,28.87,28.92,28.65
28.91,28.38,28.91,28.35
28.52,28.74,28.80,28.49
28.45,28.06,28.45,27.91
27.79,27.88,28.09,27.65
27.75,26.96,36.00,22.20
26.95,26.48,27.09,26.09
27.61,27.67,27.90,27.35
27.43,27.62,27.97,27.36
27.77,28.06,28.08,27.73
28.03,27.75,28.12,27.70
27.56,27.19,27.56,26.97
27.25,27.25,27.37,26.68
27.49,26.85,27.53,26.75
26.73,26.68,26.93,26.35
26.12,25.64,26.20,25.64
25.22,26.00,26.07,25.15
25.90,25.67,26.08,25.66
25.00,25.66,25.71,24.86
25.82,25.60,26.13,25.50
26.13,26.46,26.46,26.00
26.50,26.14,26.50,26.03
25.98,25.65,26.25,25.63
25.81,26.31,26.31,25.70
26.47,26.47,26.53,26.18
25.98,25.55,26.11,25.43
25.61,25.14,25.69,25.14
25.20,25.39,25.41,24.94
25.57,25.29,25.81,25.20
25.73,26.02,26.05,25.66
25.82,26.16,26.19,25.78
26.44,26.17,26.57,26.15
26.39,26.76,26.80,26.33
26.67,26.74,26.88,26.60
26.88,26.79,26.88,26.54
26.83,26.78,26.90,26.72
27.06,26.60,27.07,26.47
26.60,26.14,26.73,26.12
26.14,26.05,26.25,25.87
25.97,25.62,25.97,25.59
25.73,25.78,25.88,25.50
25.86,25.69,25.88,25.61
25.35,24.88,25.35,24.74
24.80,24.64,25.06,24.55
24.60,24.52,24.68,24.12
24.65,24.41,24.67,24.23
24.76,24.46,24.89,24.26
24.55,25.26,25.26,24.55
25.49,25.52,25.56,25.25
25.53,25.71,25.73,25.50
25.71,25.70,25.79,25.52
26.03,26.13,26.23,25.95
26.09,26.13,26.25,25.95
26.16,26.14,26.21,25.80
26.02,25.39,26.02,25.35
25.53,25.52,25.61,25.25
