SDD,ProShares UltraShort SmallCap600,NASDAQ
25.71,25.25,25.71,25.10
25.38,25.40,25.61,25.14
25.40,25.44,25.62,25.23
25.47,25.09,25.79,25.07
25.28,24.83,25.33,24.83
24.57,25.05,25.19,24.54
25.32,25.47,25.73,25.18
25.38,24.92,25.68,24.82
25.07,24.67,25.07,24.61
24.75,25.34,25.69,24.61
25.21,24.48,25.21,24.43
24.78,25.18,25.70,24.78
25.08,25.76,26.00,24.81
25.77,26.75,26.81,25.62
26.34,26.63,26.95,26.30
26.83,27.03,27.11,26.44
27.29,26.52,27.46,26.40
26.33,27.35,27.78,26.33
27.13,27.92,28.06,26.64
27.82,27.41,27.94,27.37
27.32,26.93,27.55,26.89
27.05,27.37,27.76,26.87
27.77,28.93,29.03,27.70
28.96,28.92,30.07,28.83
29.17,29.55,29.57,28.71
28.91,28.73,29.39,28.40
28.81,28.58,29.40,28.40
28.84,27.77,29.10,27.66
28.26,27.25,28.36,27.25
26.69,26.44,27.21,26.42
26.24,26.10,26.48,26.05
26.09,25.59,26.17,25.59
25.84,25.39,25.84,25.31
25.20,25.25,25.35,25.14
25.47,25.79,25.93,25.47
25.62,25.25,25.65,25.07
25.96,25.31,26.07,25.30
25.32,25.52,25.75,25.22
25.00,24.48,25.00,24.40
24.34,24.04,24.34,23.86
23.90,23.91,24.06,23.54
23.80,23.74,23.99,23.67
23.50,22.83,23.57,22.80
22.77,22.74,22.86,22.61
22.66,22.52,22.66,22.25
22.48,22.20,22.53,21.97
22.33,22.08,22.54,22.02
21.91,22.06,22.26,21.91
22.04,22.13,22.42,21.98
22.05,21.73,22.18,21.72
21.63,21.45,21.63,21.24
21.40,21.55,21.60,21.30
21.98,21.98,22.10,21.42
22.23,21.35,22.35,21.27
21.33,20.89,21.48,20.85
21.06,21.37,21.37,20.99
21.03,21.63,21.66,20.75
21.52,21.69,21.77,21.25
21.52,21.52,21.70,21.43
21.40,21.37,21.64,21.17
21.57,21.75,21.76,21.15
21.41,21.36,21.78,21.26
21.25,20.57,21.37,20.57
20.79,20.38,20.79,20.26
20.36,20.44,20.68,20.28
20.64,20.52,20.90,20.39
20.45,20.33,20.69,20.32
20.28,20.19,20.42,20.08
20.24,20.08,20.51,20.08
19.80,19.25,19.88,19.25
19.29,19.17,19.31,19.10
19.21,19.58,19.81,19.20
19.78,19.68,20.24,19.44
19.49,19.15,19.62,19.15
19.06,18.86,19.17,18.85
