SGBK,Stonegate Bank - Common Stock,NASDAQ
11.35,11.35,11.35,11.35
14.00,12.00,14.00,12.00
12.00,12.00,12.00,12.00
11.75,11.70,11.75,11.70
11.15,11.25,11.25,11.15
11.70,11.70,11.70,11.70
11.70,11.70,11.70,11.70
11.60,11.25,11.60,11.25
11.35,11.45,11.50,11.35
11.45,11.45,11.45,11.45
11.40,11.40,11.40,11.40
11.40,11.40,11.40,11.40
11.40,11.40,11.40,11.40
11.40,11.40,11.40,11.40
11.75,11.95,11.95,11.75
11.95,11.95,11.95,11.95
11.50,11.85,11.85,11.50
11.90,12.00,12.00,11.90
11.89,11.75,11.89,11.75
11.95,12.10,12.10,11.95
12.10,12.25,12.25,12.10
12.25,12.25,12.25,12.25
12.05,12.00,12.25,12.00
12.05,12.10,12.10,12.00
12.10,12.10,12.10,12.10
12.10,12.10,12.10,12.10
12.10,12.10,12.10,12.10
12.25,12.45,12.45,12.25
12.40,12.40,12.40,12.40
12.30,12.30,12.30,12.30
12.30,12.30,12.30,12.30
12.30,12.30,12.30,12.30
12.30,12.30,12.30,12.30
12.65,12.30,12.65,12.30
12.30,12.30,12.30,12.30
12.50,12.40,12.50,12.40
12.39,12.50,12.51,12.39
12.50,12.50,12.50,12.50
12.80,12.80,12.80,12.80
12.80,12.70,13.00,12.70
12.60,12.60,12.60,12.60
12.52,12.50,12.55,12.50
12.45,12.45,12.45,12.45
12.45,12.45,12.45,12.45
12.50,12.50,12.50,12.50
12.50,12.50,12.50,12.50
12.40,12.50,12.50,12.40
12.50,12.50,12.50,12.50
12.50,12.50,12.50,12.50
12.50,12.50,12.50,12.50
12.50,12.50,12.51,12.50
12.40,12.40,12.50,12.40
12.40,12.40,12.40,12.35
12.60,12.50,12.60,12.50
12.50,12.90,13.00,12.10
13.00,13.25,13.25,13.00
13.25,13.00,13.25,13.00
13.00,13.00,13.00,13.00
13.00,13.00,13.00,12.55
13.00,13.00,13.00,13.00
13.00,13.00,13.00,13.00
13.24,13.25,13.25,13.24
13.23,13.25,13.25,13.23
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.00,13.00,13.00,13.00
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.05
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.25,14.00,14.00,13.25
14.00,14.25,14.40,14.00
15.00,16.90,16.90,15.00
16.40,16.40,16.90,16.40
16.40,16.40,16.40,16.40
16.50,15.90,16.50,15.90
16.09,16.09,16.09,16.09
15.94,15.94,15.94,15.94
14.76,15.00,15.50,13.50
15.00,15.00,15.00,15.00
14.50,14.50,14.50,14.50
15.45,15.44,15.45,15.00
15.44,15.44,15.44,15.44
14.55,14.55,14.55,14.55
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.44,15.44,15.44,15.44
15.15,15.15,15.15,15.15
14.55,14.55,14.55,14.50
14.55,14.55,14.55,14.55
14.55,14.55,14.55,14.55
13.75,13.75,13.75,13.75
13.35,13.41,14.45,13.35
13.41,13.41,13.41,13.41
13.37,13.37,13.37,13.37
14.45,14.45,14.45,14.45
14.45,14.45,14.45,14.45
14.45,14.45,14.45,14.45
14.45,14.45,14.45,14.45
14.00,13.40,14.00,13.40
13.40,13.40,13.40,13.40
13.40,13.40,13.40,13.40
13.40,13.40,13.40,13.40
13.40,13.40,13.40,13.40
13.40,13.40,13.40,13.40
13.40,13.40,13.40,13.40
13.40,13.40,13.40,13.40
13.40,13.40,13.40,13.40
13.51,13.51,13.51,13.50
13.51,13.51,13.51,13.51
13.51,13.51,13.51,13.51
13.51,13.51,13.51,13.51
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
14.00,14.00,14.00,14.00
13.41,13.41,13.41,13.41
14.10,14.10,14.10,14.10
14.10,14.10,14.10,14.10
14.10,14.10,14.10,14.10
14.10,14.10,14.10,14.10
14.10,14.10,14.10,14.10
14.10,14.10,14.10,14.10
14.13,14.13,14.13,14.13
13.40,13.40,13.40,13.40
13.50,14.00,14.13,13.25
14.00,14.00,14.00,14.00
13.99,14.13,14.13,13.75
14.13,14.13,14.13,14.13
14.13,14.13,14.13,14.13
14.00,14.00,14.00,14.00
