SIG,Signet Jewelers Limited Common Shares,NASDAQ
26.98,27.12,27.22,26.62
26.83,26.79,26.94,26.45
26.38,26.75,26.86,26.08
26.06,26.99,27.07,25.72
26.16,28.19,28.40,25.99
28.14,28.83,28.83,28.14
27.92,28.44,28.48,27.78
28.45,28.89,28.97,28.34
27.99,28.48,28.66,27.99
28.25,28.48,28.55,28.00
28.02,28.55,28.65,28.02
27.74,27.83,28.00,27.31
27.60,27.43,27.65,27.10
27.13,26.74,27.32,26.63
26.92,26.84,27.02,26.68
26.62,27.09,27.24,26.03
27.17,27.56,27.63,27.11
27.56,27.32,27.56,27.18
27.14,27.36,27.55,26.84
26.94,27.91,27.93,26.94
27.91,27.92,28.10,27.78
27.92,27.97,28.14,27.72
27.80,27.36,27.80,27.36
27.06,27.00,27.25,26.42
26.70,26.97,27.24,26.57
26.98,26.99,27.06,26.55
26.87,26.59,26.87,26.41
26.70,27.37,27.44,26.36
27.29,28.22,28.23,27.06
28.24,28.80,28.84,28.12
28.63,28.74,28.86,28.29
28.83,28.97,29.12,28.80
29.02,29.03,29.23,28.77
29.10,28.90,29.50,28.87
28.90,28.68,29.00,28.58
28.42,28.91,29.03,28.29
28.27,28.93,29.01,28.02
28.55,28.81,29.04,28.22
28.92,28.92,29.04,28.40
29.26,28.94,29.26,28.85
29.17,28.89,29.25,28.79
29.40,29.23,29.54,28.87
29.47,30.15,30.20,29.27
30.05,30.08,30.22,29.85
29.17,29.76,30.03,29.17
29.58,29.82,30.06,29.51
29.70,29.54,29.71,29.09
29.77,29.83,29.83,29.13
29.29,29.60,29.71,28.98
29.57,29.49,29.60,29.20
29.49,29.19,29.49,29.08
29.18,29.33,29.49,28.95
28.21,28.21,29.31,28.18
28.03,28.46,28.60,27.98
28.42,28.38,28.54,28.26
28.26,28.08,28.32,27.69
28.50,28.55,28.66,27.88
28.74,30.75,30.96,28.74
31.02,32.07,32.20,31.02
31.95,32.01,32.10,31.52
31.36,32.34,32.35,31.32
32.49,32.09,32.82,31.68
32.41,33.24,33.34,32.24
33.02,33.17,33.27,32.97
33.24,33.65,33.79,33.07
32.89,32.88,33.14,32.79
32.83,33.02,33.08,32.40
32.99,33.08,33.08,32.81
33.15,33.56,33.66,33.03
33.87,34.06,34.38,33.79
34.18,34.10,34.38,34.01
34.06,33.98,34.20,33.56
33.39,33.56,33.80,32.96
33.67,33.85,34.12,33.67
33.79,34.00,34.10,33.59
33.02,34.03,34.11,33.02
33.75,34.06,34.14,33.42
33.88,33.78,34.00,33.65
33.39,32.51,33.54,32.30
32.55,32.15,32.65,32.01
32.42,32.47,32.61,32.19
32.43,32.02,32.45,31.86
32.19,32.64,33.17,31.24
31.92,31.86,32.14,31.74
31.39,31.35,31.66,30.82
31.19,30.30,31.43,28.82
29.54,29.25,30.03,27.77
30.49,30.70,30.81,30.30
29.83,30.69,31.12,29.83
30.53,32.79,32.90,30.43
33.91,32.78,34.29,32.54
32.37,32.46,32.54,31.59
32.70,32.77,32.99,32.03
32.47,31.62,32.79,31.57
30.70,31.34,31.42,30.42
29.93,30.36,30.91,29.71
29.45,30.52,30.83,29.45
29.98,30.51,31.06,29.95
28.90,30.52,30.66,28.66
29.58,30.65,30.78,29.50
30.31,31.58,31.62,30.31
31.31,31.05,31.51,30.86
30.98,31.36,31.67,30.91
31.23,31.47,31.47,30.82
31.32,31.54,31.62,31.13
30.80,30.07,30.92,29.90
29.89,28.73,30.22,28.64
28.77,28.96,28.97,28.31
29.15,29.01,29.68,28.92
30.35,30.80,30.86,30.16
30.86,31.25,31.37,30.66
31.44,31.60,32.13,31.35
32.08,32.29,32.34,31.56
31.46,32.11,32.39,31.46
32.00,31.42,32.00,31.10
31.42,32.11,32.19,31.26
32.02,30.96,32.19,30.75
31.30,29.97,31.63,29.78
30.04,30.43,30.75,29.63
29.90,29.83,30.29,29.65
29.30,28.88,29.33,28.70
28.65,28.83,29.16,28.38
27.86,27.31,27.93,27.14
27.38,27.50,27.93,27.38
27.41,27.57,27.71,26.94
27.48,27.52,27.76,27.15
27.71,27.49,28.33,27.15
27.23,28.13,28.14,27.20
28.11,28.41,28.53,28.11
28.50,28.59,28.70,28.32
28.58,28.49,28.89,28.21
28.78,29.51,29.65,28.64
29.27,29.50,29.50,29.11
29.08,29.48,29.50,28.84
29.11,28.08,29.11,28.05
27.45,28.01,28.17,27.42
27.69,28.72,28.73,27.34
28.72,28.68,29.41,28.54
29.55,29.82,29.99,29.41
29.95,30.43,30.46,29.80
30.46,30.44,30.54,30.27
30.64,30.24,31.04,30.10
29.98,29.86,30.18,29.74
30.01,29.63,30.53,29.38
29.29,29.77,29.89,29.13
30.11,31.52,31.55,30.08
31.47,30.18,31.49,30.11
30.21,30.22,30.44,29.93
29.94,30.31,30.37,29.80
29.56,29.70,30.17,29.30
29.82,30.17,30.45,29.67
29.63,29.50,29.75,29.23
28.27,28.39,28.59,28.23
27.93,28.06,28.18,27.75
27.83,27.50,27.98,27.50
27.55,27.52,27.86,27.36
27.89,27.52,27.89,27.49
27.79,27.98,28.08,27.53
27.98,27.81,28.19,27.64
27.51,27.95,27.96,27.49
27.98,27.60,28.26,27.50
27.12,26.92,27.29,26.74
26.76,27.42,27.46,26.45
27.90,28.72,28.74,27.88
28.78,28.62,29.12,28.28
28.39,27.01,28.40,26.97
26.50,26.44,26.98,26.21
26.82,27.60,27.61,26.74
27.73,28.10,28.36,27.73
28.54,28.56,28.76,28.21
28.29,27.42,28.30,27.36
27.48,27.93,27.99,27.43
28.29,28.22,28.44,27.99
28.49,28.52,28.99,28.41
28.90,28.94,29.07,28.58
28.98,29.19,29.50,28.98
28.94,28.61,29.03,28.43
28.48,28.97,29.13,28.48
28.98,28.97,29.13,28.59
28.98,29.75,29.77,28.76
29.84,29.70,30.05,29.54
29.61,29.61,29.95,29.34
29.23,29.76,30.09,28.95
30.33,31.00,31.15,30.28
31.06,31.06,31.25,30.95
31.03,31.60,31.68,30.51
31.49,32.22,32.36,31.49
32.08,31.74,32.48,31.59
32.19,32.37,32.59,31.94
31.98,32.21,32.52,31.97
32.21,32.62,32.91,32.21
32.36,32.82,32.84,32.33
32.84,32.65,32.99,32.38
32.63,33.26,33.43,32.55
32.82,33.15,33.29,32.73
32.90,33.21,33.46,32.60
33.22,32.96,33.65,32.87
32.97,32.42,32.97,32.14
32.82,32.83,32.93,32.20
32.89,33.15,33.26,32.62
32.54,32.63,32.98,32.36
32.82,33.96,34.00,32.82
33.52,34.21,34.51,33.48
34.25,34.65,35.04,34.21
34.60,34.70,34.89,34.47
34.40,35.17,35.36,34.17
34.22,34.87,34.95,33.97
35.14,35.31,35.55,35.14
35.13,35.18,35.35,34.84
35.00,35.49,35.51,34.97
35.86,35.47,35.87,35.21
35.18,35.62,35.70,35.06
35.98,36.54,36.59,35.90
36.55,37.05,37.21,36.46
37.05,37.15,37.25,36.63
37.24,36.92,37.25,36.66
37.01,36.50,37.11,36.28
35.94,36.25,36.49,35.55
36.43,35.77,36.72,35.69
35.80,35.98,36.31,35.53
35.83,35.27,36.16,34.89
35.32,35.82,35.94,35.32
37.17,36.72,37.25,36.63
37.01,37.30,37.30,36.70
37.14,37.49,37.79,36.96
38.41,39.63,40.38,38.41
40.99,40.16,41.01,39.88
39.53,40.02,40.60,39.49
40.02,39.86,40.17,39.69
39.47,39.83,39.87,39.19
40.77,40.00,40.77,39.64
40.14,40.52,40.69,39.96
40.12,41.39,41.51,39.97
41.39,41.21,41.39,40.84
42.10,41.51,42.10,41.44
41.85,41.49,41.92,41.15
41.45,41.28,41.57,40.89
41.50,41.95,42.01,41.17
42.15,42.69,43.59,42.08
42.54,42.87,43.20,42.40
42.59,42.68,43.35,42.55
42.50,43.22,43.29,42.16
43.82,44.30,44.35,43.23
44.40,43.89,44.48,43.19
43.75,43.61,44.00,43.29
43.72,43.47,43.72,43.17
