SJM,J.M. Smucker Company (The) New Common Stock,NASDAQ
62.20,62.18,62.29,61.42
62.22,61.89,62.34,61.58
61.88,62.11,62.38,61.81
62.44,61.94,62.44,61.52
61.89,62.08,62.14,61.18
62.39,61.94,62.49,61.71
61.91,62.65,62.67,61.81
62.65,62.63,63.00,62.41
62.46,62.11,62.67,62.10
62.01,61.90,62.58,61.59
61.79,62.44,62.50,61.79
62.15,61.62,62.15,61.14
61.54,60.57,62.12,60.28
60.37,59.97,60.52,59.72
60.33,60.37,60.53,59.70
60.26,60.71,60.81,59.64
60.59,61.14,61.22,60.59
61.14,60.99,61.27,60.66
61.11,60.07,61.11,59.94
60.18,61.12,61.17,60.11
61.21,62.35,62.40,61.21
62.34,61.87,62.34,61.44
61.60,60.30,61.66,60.27
60.04,59.51,60.23,59.04
59.55,59.38,59.98,59.18
59.92,60.04,60.76,59.75
59.94,59.71,59.95,59.45
59.59,59.70,59.87,58.94
59.33,59.02,59.72,58.70
59.14,59.85,60.00,59.02
59.79,60.34,60.59,59.69
60.33,60.90,61.05,60.32
60.74,60.55,61.20,60.46
60.75,60.39,60.96,60.27
60.35,60.11,60.56,59.71
60.15,58.67,60.15,57.72
58.12,59.39,59.41,57.75
59.52,59.68,59.92,59.03
59.92,59.51,59.93,59.32
59.55,59.85,59.95,59.44
59.85,59.56,59.95,59.40
59.60,59.70,59.85,59.38
59.87,59.66,59.95,59.42
59.48,59.17,59.56,58.91
59.17,59.20,59.53,59.03
59.28,59.19,59.28,58.87
59.01,58.95,59.18,58.51
58.92,59.18,59.33,58.88
59.16,59.38,59.51,59.13
59.43,59.80,59.93,59.22
59.60,60.23,60.34,59.53
60.17,60.00,60.23,59.85
59.79,59.79,60.41,59.51
59.75,60.51,60.67,59.47
60.52,61.01,61.08,60.34
61.01,61.00,61.25,60.81
61.20,60.60,61.21,60.51
60.66,59.87,60.66,59.13
59.94,60.06,60.09,59.76
60.01,60.35,60.48,59.81
60.34,60.26,60.46,60.01
60.50,60.33,60.76,59.99
60.50,60.39,60.50,60.18
60.14,60.70,60.70,60.11
60.80,60.78,60.89,60.37
60.55,61.04,61.15,60.53
61.06,61.84,61.93,61.06
62.10,62.25,62.35,61.91
62.09,62.48,62.55,61.80
62.49,62.40,62.60,62.01
62.25,62.25,62.45,61.83
61.90,62.04,62.40,61.90
61.81,62.43,62.47,61.77
62.86,63.26,63.40,62.59
63.39,63.05,63.50,62.94
62.63,63.01,63.13,62.58
62.94,63.24,63.30,62.60
63.17,62.62,63.20,62.41
62.41,61.38,62.64,61.27
61.43,61.70,62.07,60.93
61.89,61.71,62.29,61.31
61.58,61.07,61.94,61.04
61.13,61.06,61.42,60.33
60.35,60.59,61.01,60.32
60.19,60.62,60.74,60.07
60.68,58.89,60.73,57.00
58.96,58.43,59.06,57.89
59.79,58.92,60.02,58.31
58.50,58.68,59.40,58.13
58.73,58.07,58.73,57.37
57.91,58.21,58.67,57.86
58.10,57.79,58.36,57.63
57.94,58.24,58.29,57.64
58.64,58.13,58.69,58.05
57.94,57.93,58.20,57.54
57.32,56.31,57.32,56.30
53.27,55.95,55.95,53.27
55.67,55.60,56.03,55.23
54.60,55.12,55.17,54.39
55.69,55.40,55.90,55.12
56.11,56.27,56.27,55.61
56.21,55.22,56.21,55.19
54.81,54.75,55.35,54.72
54.82,55.76,55.76,54.74
56.14,56.23,56.42,56.01
55.51,55.28,55.83,55.19
55.31,55.09,55.89,55.01
55.01,55.28,55.30,54.62
55.37,55.38,56.04,55.20
55.88,56.34,56.62,55.83
56.24,56.07,56.24,55.55
56.38,56.86,57.17,56.32
57.16,57.54,57.63,57.11
57.10,57.75,57.95,56.78
59.39,61.55,61.81,59.26
62.60,62.10,63.33,61.90
62.70,61.87,62.70,61.60
