SLMBP,SLM Corporation - Floating Rate Non-Cumulative Preferred Stock,NASDAQ
46.25,46.50,46.50,46.10
46.30,47.00,47.00,46.30
46.76,48.80,48.80,46.76
49.90,49.00,49.90,49.00
50.00,50.99,50.99,49.19
52.20,54.30,55.11,52.00
53.81,50.20,54.03,50.10
51.44,51.44,51.44,51.44
52.38,51.75,52.38,51.75
52.76,51.76,52.76,51.75
52.00,52.75,52.81,52.00
53.28,53.98,54.24,53.26
54.50,53.81,55.00,53.81
53.78,52.96,54.16,52.95
51.05,51.85,52.30,49.68
52.00,51.00,52.00,50.75
51.99,51.85,51.99,50.61
51.85,51.85,51.85,51.85
51.75,51.50,52.00,51.08
51.80,51.95,51.99,51.50
51.23,50.95,51.80,49.96
51.47,51.69,51.79,50.51
51.79,50.50,51.79,50.00
51.55,51.48,51.55,50.45
51.48,51.48,51.48,51.48
51.15,50.25,51.57,50.25
51.02,50.40,51.02,48.92
50.40,50.72,50.72,50.15
51.20,50.98,51.20,50.00
51.43,51.43,51.43,51.43
51.43,51.43,51.43,51.43
50.34,51.43,51.43,50.25
50.24,51.14,51.14,49.90
50.90,51.34,51.34,50.61
51.34,51.34,51.34,51.34
51.34,51.34,51.34,51.34
50.70,49.67,50.90,48.75
49.99,49.93,49.99,49.50
48.92,49.90,50.00,48.92
49.62,49.80,49.80,48.70
49.50,49.68,49.80,49.10
48.50,49.67,49.68,48.43
49.00,49.99,49.99,49.00
50.00,50.00,51.20,50.00
51.13,51.20,51.20,51.09
50.99,50.89,50.99,50.89
51.00,53.43,53.43,51.00
53.74,53.00,54.00,52.00
53.00,53.00,53.00,53.00
51.05,51.68,52.25,51.00
51.00,51.99,52.26,51.00
50.67,50.74,50.74,50.67
50.27,50.27,51.51,50.27
49.99,50.00,50.59,49.99
51.25,50.01,51.25,50.01
49.03,49.88,50.23,49.03
49.51,50.25,50.25,49.51
50.24,51.40,52.20,50.24
52.20,52.49,52.50,52.20
52.00,51.50,54.00,51.50
52.00,50.47,52.00,49.99
50.46,49.34,50.46,49.18
50.25,50.26,50.42,50.25
50.50,50.50,50.50,50.50
50.50,50.50,50.50,50.50
49.25,52.00,52.00,49.25
51.99,51.99,51.99,51.99
51.00,52.00,52.00,51.00
50.06,52.00,52.00,50.06
50.34,51.80,51.80,50.30
50.31,51.49,51.55,50.13
50.26,51.49,51.49,50.11
50.11,50.15,51.35,50.11
51.34,50.76,51.99,50.18
51.99,50.36,52.01,50.35
51.54,51.80,51.80,51.25
50.22,51.80,52.00,50.22
51.50,50.61,51.99,50.61
51.50,52.20,52.20,51.50
52.00,52.00,53.19,50.81
52.02,52.00,53.04,52.00
52.01,52.00,52.01,52.00
52.02,52.00,52.02,52.00
52.00,52.00,52.00,52.00
52.00,52.00,52.00,52.00
50.13,51.74,51.99,47.49
50.00,49.00,50.01,49.00
49.00,49.00,49.00,49.00
49.00,49.00,49.00,49.00
49.00,49.00,49.00,49.00
50.00,50.00,50.00,50.00
48.17,46.75,48.17,45.05
46.75,46.75,46.75,46.75
46.75,46.75,46.75,46.75
46.60,45.50,46.60,45.50
43.77,43.76,43.77,43.76
44.00,44.01,44.01,44.00
44.01,44.01,44.01,44.01
42.50,45.00,45.00,41.30
45.30,50.00,50.00,44.61
50.93,50.69,50.93,49.90
50.69,50.69,50.69,50.69
50.69,50.69,50.69,50.69
49.98,49.76,50.69,49.58
49.78,49.78,49.78,49.78
49.78,49.78,49.78,49.78
49.78,49.78,49.78,49.78
49.78,49.78,49.78,49.78
47.83,47.85,47.85,47.83
47.85,46.83,47.85,46.83
46.83,46.83,46.83,46.83
46.83,46.83,46.83,46.83
46.83,46.83,46.83,46.83
