SNA,Snap-On Incorporated Common Stock,NASDAQ
42.74,42.86,43.06,42.51
42.63,42.84,43.01,42.44
42.84,43.08,43.17,42.62
42.86,43.80,43.80,42.86
43.58,44.71,44.78,43.49
44.84,44.90,44.96,44.54
44.46,43.96,44.61,43.73
44.00,44.24,44.30,43.78
44.06,44.10,44.41,43.93
43.94,43.40,44.21,43.17
43.34,44.01,44.01,43.34
43.48,43.49,43.78,42.98
43.39,43.39,43.75,42.92
43.42,43.21,43.77,43.06
43.61,43.07,43.69,42.80
43.06,42.67,43.26,42.66
42.44,42.20,42.64,41.36
42.14,41.26,42.20,40.90
41.34,40.88,41.82,40.78
41.11,41.69,41.70,41.07
41.65,42.99,43.11,41.65
42.94,42.93,43.48,42.59
42.73,40.40,43.06,40.21
40.47,40.31,40.59,39.31
40.23,40.12,40.62,39.79
40.47,41.01,41.16,40.34
41.10,41.01,41.62,40.92
41.01,41.43,41.45,40.52
41.04,41.61,41.65,40.88
42.13,42.25,42.34,41.75
42.25,42.47,42.62,41.86
42.31,42.57,42.58,42.23
42.54,42.90,43.03,42.38
43.12,42.87,43.12,42.54
42.57,42.16,42.81,41.78
42.40,42.27,42.56,41.80
41.64,42.12,42.21,41.20
42.12,42.22,42.29,41.82
42.50,42.81,42.98,42.16
43.18,43.02,43.48,42.94
43.33,42.96,43.54,42.82
43.15,43.07,43.29,42.75
43.46,43.45,43.67,43.21
43.59,43.17,43.59,42.94
43.06,43.18,43.39,42.98
43.18,43.65,43.82,43.03
43.59,43.52,43.59,43.19
43.70,43.31,43.70,43.08
43.17,43.17,43.32,42.86
43.24,43.31,43.38,42.93
43.35,43.53,43.69,43.13
43.42,43.74,43.88,43.42
42.88,42.88,44.02,42.78
42.58,43.03,43.12,42.56
43.02,43.38,43.51,42.84
43.23,42.93,43.24,42.70
43.13,42.61,43.26,42.56
42.77,42.80,43.05,42.61
42.99,43.06,43.35,42.76
43.03,43.59,43.74,43.03
43.54,43.34,43.75,43.14
43.66,43.67,43.88,43.30
43.81,44.42,44.54,43.63
44.31,44.47,44.57,44.19
44.36,44.56,44.60,44.18
44.35,44.58,44.64,43.93
44.61,44.90,44.91,44.38
44.95,45.16,45.23,44.81
45.20,45.30,45.38,44.78
45.49,45.57,45.59,45.13
45.38,45.43,45.66,45.11
45.31,44.94,45.81,44.59
44.73,44.80,44.90,44.34
47.87,48.59,49.00,46.51
48.72,48.42,48.93,48.32
48.02,49.36,49.37,47.61
49.42,49.22,49.61,48.49
49.40,48.87,49.98,48.83
48.56,47.94,48.87,47.79
48.25,48.46,48.83,48.05
48.81,49.54,49.59,48.63
49.52,48.18,49.93,48.11
48.34,48.76,48.87,48.20
48.08,47.24,48.08,47.06
46.76,46.31,47.21,46.17
46.17,44.60,46.86,42.20
44.32,43.50,44.81,43.15
45.54,46.51,46.51,45.24
46.04,46.54,47.14,45.73
46.63,47.57,47.69,46.55
47.54,46.71,47.71,46.52
46.41,45.72,46.41,45.39
45.71,45.92,46.13,44.79
46.10,44.93,46.41,44.73
44.34,44.23,44.89,43.71
43.09,42.19,43.29,42.12
41.51,43.02,43.12,40.74
42.88,42.79,43.55,42.54
41.59,43.01,43.06,40.91
43.25,43.27,44.26,43.13
44.00,44.58,44.58,43.90
44.43,44.20,44.70,43.73
43.70,42.82,44.35,42.82
43.04,44.22,44.22,42.87
44.54,44.28,44.90,43.99
43.44,42.36,43.59,42.17
42.52,40.88,42.52,40.83
41.11,41.19,41.31,40.17
41.56,41.31,42.38,41.12
41.98,42.66,42.72,41.98
42.12,43.01,43.05,42.02
43.58,43.21,43.89,43.12
43.51,44.09,44.15,43.13
43.94,43.81,44.11,43.55
44.08,43.75,44.08,43.09
43.88,43.77,44.00,43.52
44.31,43.70,44.78,43.41
43.70,42.50,44.03,42.45
42.62,42.59,43.12,41.72
42.32,41.86,42.45,41.49
41.82,42.14,42.32,41.40
42.22,42.14,42.71,41.71
41.53,41.29,41.58,40.77
41.12,40.91,42.12,40.76
40.94,41.11,41.33,40.24
41.63,40.36,41.63,40.09
41.11,40.57,41.15,40.13
40.79,42.09,42.13,40.75
42.39,42.46,42.77,41.94
42.50,42.86,42.94,42.16
42.58,42.68,43.03,42.30
43.24,44.00,44.24,43.14
43.88,43.81,44.12,43.46
43.86,43.57,43.86,43.02
43.26,41.56,43.31,41.43
41.95,42.16,42.24,41.42
41.67,43.13,43.27,41.59
43.56,43.32,44.16,43.04
43.67,44.53,44.74,43.67
