SNHY,Sun Hydraulics Corporation - Common Stock,NASDAQ
26.56,27.64,27.89,26.56
27.72,27.27,27.72,27.11
27.23,26.87,27.62,26.82
26.76,27.48,27.58,26.40
27.28,27.79,27.88,27.14
27.90,27.72,27.90,27.37
27.39,27.08,27.60,27.01
27.29,27.53,27.63,27.06
27.44,27.55,27.97,27.20
27.68,27.05,27.84,27.02
27.15,27.76,27.89,26.76
27.57,26.94,27.57,26.75
26.95,25.33,27.17,25.33
25.27,25.04,25.88,25.00
25.25,24.42,25.42,24.20
24.25,23.46,24.25,23.22
23.33,23.69,23.74,23.26
23.69,22.88,23.69,22.55
23.25,22.38,23.60,22.38
22.49,22.13,22.53,22.01
22.09,22.43,22.59,22.00
22.25,22.15,22.91,22.00
21.97,21.31,22.22,21.14
21.30,21.22,21.32,20.73
21.14,20.86,21.43,20.82
21.08,20.97,21.23,20.72
20.75,21.39,21.40,20.50
21.24,22.32,22.33,20.92
21.98,22.80,22.90,21.98
23.03,22.95,23.03,22.47
23.11,23.58,23.64,22.90
23.49,25.01,25.08,23.29
25.01,25.00,25.40,24.70
25.09,25.00,25.36,24.71
24.97,24.15,25.02,24.07
24.20,24.55,24.57,24.12
24.08,25.17,25.17,23.69
25.04,24.19,25.13,24.17
24.43,25.21,25.25,24.14
25.18,25.44,25.58,24.80
25.50,25.65,25.72,25.40
25.45,25.73,25.82,25.39
25.84,26.08,26.56,25.75
26.15,25.88,26.20,25.76
27.44,27.39,27.50,26.97
27.32,29.53,29.64,27.32
29.39,27.83,29.39,27.61
28.00,28.16,28.95,27.37
28.16,27.96,28.16,27.46
28.01,27.72,28.01,27.11
26.68,27.60,27.81,26.68
27.30,27.67,27.75,27.00
27.75,27.38,27.75,26.91
27.03,27.34,27.55,26.76
27.43,27.57,27.86,27.21
27.47,26.67,27.53,26.59
26.91,26.28,27.21,26.20
26.48,26.52,27.00,26.29
26.53,26.94,27.01,26.44
26.98,26.77,27.16,26.35
26.57,25.98,26.84,25.92
26.17,26.17,27.19,25.99
26.19,27.46,27.64,26.09
27.29,27.52,27.63,26.60
27.41,27.08,27.41,26.66
26.90,27.30,27.52,26.72
27.16,27.07,27.30,26.77
26.93,27.23,27.71,26.93
26.99,27.60,27.99,26.99
27.73,28.50,28.89,27.16
28.30,28.75,28.86,27.96
28.74,28.54,28.82,28.36
28.32,28.34,28.49,27.61
28.56,29.08,29.28,28.56
29.13,29.12,29.37,28.96
28.66,29.33,29.45,28.66
29.21,29.33,29.36,29.10
29.21,29.26,29.60,29.05
29.04,28.04,29.24,27.97
28.15,28.08,28.25,27.93
28.30,28.81,28.86,27.75
28.73,28.01,29.00,27.94
28.09,28.88,29.00,27.77
28.36,28.36,28.77,27.92
27.95,28.29,28.48,26.71
28.00,27.30,28.42,26.00
27.22,26.08,27.22,25.97
27.36,27.40,27.61,26.79
29.13,31.50,32.00,28.00
31.50,31.60,32.00,31.00
31.50,30.87,31.70,30.50
30.51,30.01,30.55,29.55
30.31,30.09,30.88,29.35
30.26,29.69,30.80,29.56
29.50,28.97,29.96,28.50
28.25,26.71,28.76,26.65
26.25,27.14,27.74,26.08
27.03,26.58,27.25,26.57
26.27,25.42,26.27,25.24
25.58,25.45,26.68,25.15
26.19,26.22,26.36,25.03
26.10,26.04,26.47,25.51
25.85,25.19,26.11,25.11
25.47,26.07,26.11,25.09
25.98,26.56,26.88,25.79
25.68,24.26,26.31,24.18
24.48,24.05,24.97,24.01
24.25,23.82,24.36,23.35
24.17,23.47,24.44,23.22
24.00,24.70,24.73,23.45
24.23,25.52,25.59,24.23
25.90,25.41,26.15,25.27
25.58,26.40,26.43,25.29
26.18,26.76,27.20,26.12
27.04,26.66,27.04,26.13
26.86,26.66,26.99,26.51
26.99,26.00,27.08,25.77
26.14,25.30,26.65,25.20
25.23,25.23,25.43,24.98
24.94,24.97,25.62,24.81
25.18,25.09,25.60,24.94
24.95,24.71,25.51,24.60
24.07,23.31,24.62,23.06
23.35,23.46,24.17,23.01
23.42,23.32,23.81,22.59
23.60,22.90,23.63,22.79
23.35,22.64,23.69,22.47
22.82,23.35,23.39,21.91
23.56,23.68,23.73,22.90
23.57,23.96,24.10,23.31
23.86,23.18,24.05,23.14
23.52,24.51,24.60,23.36
24.31,24.18,24.46,23.90
24.21,23.79,24.21,23.54
23.50,22.69,23.50,22.53
22.85,23.17,23.18,22.30
22.77,23.66,23.70,22.52
23.89,23.94,24.39,23.61
24.45,25.08,25.25,24.21
