SPIL,Siliconware Precision Industries Company,NASDAQ
6.87,7.18,7.19,6.87
7.20,7.21,7.21,7.08
7.24,7.25,7.27,7.14
7.53,7.59,7.64,7.52
7.59,7.57,7.63,7.48
7.56,7.64,7.70,7.50
7.54,7.36,7.55,7.32
7.36,7.40,7.42,7.25
7.55,7.54,7.57,7.40
7.56,7.40,7.58,7.32
7.34,7.39,7.41,7.22
7.33,7.43,7.51,7.29
7.39,7.26,7.55,7.18
7.16,6.80,7.16,6.77
6.87,6.93,7.00,6.82
6.84,6.78,6.91,6.72
6.81,6.87,6.91,6.78
7.04,6.91,7.12,6.78
6.92,6.76,6.98,6.58
6.63,6.67,6.73,6.59
6.51,6.60,6.64,6.49
6.71,6.50,6.78,6.38
6.44,6.11,6.47,6.08
6.02,5.93,6.05,5.80
6.05,6.13,6.25,6.00
6.19,6.22,6.28,6.16
6.33,6.31,6.41,6.24
6.31,6.33,6.37,6.19
6.28,6.42,6.43,6.16
6.43,6.51,6.51,6.42
6.50,6.53,6.60,6.46
6.53,6.54,6.55,6.43
6.54,6.50,6.58,6.46
6.49,6.33,6.49,6.27
6.17,6.11,6.27,6.08
6.13,6.12,6.19,6.07
5.97,5.95,5.97,5.82
5.95,5.84,5.99,5.77
5.91,5.96,5.99,5.91
5.94,6.00,6.00,5.94
5.92,5.91,6.03,5.89
6.00,5.97,6.05,5.91
6.01,6.07,6.11,6.00
6.14,6.11,6.20,6.11
6.11,6.12,6.17,6.09
6.09,6.07,6.15,6.03
6.02,6.10,6.11,6.02
6.09,6.04,6.09,6.00
6.01,5.95,6.01,5.88
5.95,6.06,6.09,5.95
6.19,6.17,6.22,6.08
6.22,6.13,6.22,6.08
6.18,6.05,6.18,6.01
5.98,6.09,6.09,5.98
6.06,6.10,6.15,6.02
6.09,6.06,6.14,6.06
6.10,5.84,6.10,5.82
5.89,5.99,6.04,5.89
6.00,6.10,6.11,5.99
6.08,6.02,6.11,5.95
6.01,6.01,6.07,5.99
6.25,6.24,6.25,6.13
6.24,6.31,6.33,6.24
6.31,6.30,6.40,6.29
6.32,6.30,6.40,6.30
6.29,6.24,6.29,6.19
6.27,6.30,6.32,6.24
6.36,6.40,6.41,6.32
6.36,6.34,6.38,6.31
6.49,6.60,6.62,6.47
6.60,6.69,6.71,6.60
6.64,6.57,6.67,6.48
6.51,6.48,6.51,6.40
6.51,6.54,6.62,6.50
6.58,6.58,6.66,6.51
6.53,6.73,6.80,6.45
6.69,6.68,6.74,6.61
6.70,6.78,6.84,6.61
6.57,6.44,6.67,6.38
6.54,6.27,6.54,6.13
6.40,6.35,6.40,6.24
6.26,6.15,6.27,6.07
6.15,6.14,6.24,6.09
6.07,5.91,6.07,5.88
5.75,5.73,5.83,5.61
5.73,5.63,5.86,5.35
5.79,5.90,6.00,5.60
6.21,6.20,6.23,6.03
6.10,5.99,6.12,5.92
5.99,5.95,6.04,5.92
6.09,5.94,6.22,5.91
5.91,5.90,6.07,5.76
5.87,5.89,6.02,5.76
5.82,5.68,5.89,5.62
5.68,5.73,5.80,5.57
5.46,5.47,5.61,5.42
5.40,5.69,5.78,5.39
5.65,5.53,5.71,5.51
5.32,5.44,5.46,5.23
5.39,5.37,5.47,5.32
5.39,5.58,5.60,5.39
5.46,5.44,5.54,5.40
5.35,5.45,5.55,5.35
5.46,5.54,5.56,5.38
5.61,5.61,5.65,5.51
5.54,5.41,5.60,5.39
5.52,5.27,5.52,5.27
5.32,5.38,5.40,5.24
5.38,5.33,5.39,5.30
5.46,5.50,5.50,5.36
5.42,5.61,5.61,5.42
5.68,5.63,5.76,5.60
5.64,5.81,5.81,5.62
5.77,5.84,5.88,5.71
5.89,5.83,5.90,5.79
5.84,5.75,5.88,5.74
5.89,5.97,6.14,5.88
6.03,5.86,6.12,5.80
5.86,5.75,5.86,5.70
5.71,5.71,5.77,5.59
5.65,5.67,5.71,5.53
5.67,5.67,5.74,5.59
5.57,5.46,5.59,5.42
5.49,5.35,5.52,5.35
5.39,5.53,5.57,5.29
5.63,5.54,5.66,5.47
5.70,5.58,5.70,5.53
5.61,5.72,5.74,5.55
5.83,5.70,5.84,5.66
5.88,5.86,5.89,5.78
5.45,5.40,5.59,5.38
5.41,5.32,5.44,5.32
5.35,5.26,5.40,5.26
5.25,5.25,5.26,5.17
5.23,5.12,5.26,5.09
5.14,5.31,5.36,5.14
5.22,5.33,5.36,5.13
5.35,5.15,5.35,5.06
5.22,5.28,5.28,5.16
5.28,5.22,5.28,5.19
5.20,5.25,5.26,5.17
5.33,5.22,5.34,5.21
5.15,4.99,5.20,4.98
5.01,4.86,5.06,4.86
4.80,4.88,4.88,4.79
5.02,5.12,5.15,4.96
5.13,5.12,5.17,5.04
5.17,5.13,5.17,5.10
5.10,5.05,5.12,5.03
5.08,5.06,5.16,5.02
5.14,5.12,5.14,5.08
5.04,5.00,5.05,4.96
4.94,4.86,4.95,4.85
4.86,4.87,4.90,4.82
4.86,4.86,4.89,4.80
4.87,4.82,4.88,4.81
4.89,4.88,4.94,4.83
4.90,4.87,4.93,4.85
4.87,4.84,4.92,4.80
4.87,4.95,4.96,4.83
4.98,4.97,5.01,4.91
4.89,4.84,4.91,4.80
4.75,4.69,4.76,4.62
4.66,4.63,4.69,4.61
4.69,4.74,4.75,4.62
4.71,4.64,4.71,4.62
4.52,4.46,4.56,4.45
4.50,4.62,4.65,4.50
4.60,4.61,4.63,4.55
4.84,4.83,4.85,4.75
4.83,4.76,4.85,4.75
4.75,4.72,4.75,4.68
4.75,4.72,4.77,4.69
4.75,4.75,4.77,4.73
4.82,4.88,4.88,4.81
4.88,4.87,4.92,4.83
4.92,4.98,5.00,4.92
4.92,4.94,4.95,4.88
4.95,4.90,5.00,4.90
4.95,4.97,4.98,4.92
4.98,4.90,4.98,4.90
4.93,4.94,4.95,4.91
4.87,4.89,4.91,4.82
4.90,4.88,4.90,4.81
4.85,4.89,4.92,4.85
4.86,4.93,4.96,4.77
5.15,5.30,5.35,5.13
5.31,5.42,5.46,5.31
5.46,5.39,5.46,5.35
5.34,5.29,5.34,5.22
5.36,5.42,5.44,5.32
5.42,5.36,5.42,5.32
5.37,5.36,5.39,5.34
5.35,5.41,5.43,5.34
5.40,5.32,5.40,5.30
5.28,5.28,5.28,5.20
5.34,5.41,5.47,5.31
5.46,5.45,5.46,5.41
5.50,5.48,5.50,5.41
5.48,5.40,5.48,5.38
5.31,5.26,5.33,5.23
5.29,5.27,5.31,5.26
5.30,5.20,5.31,5.17
5.28,5.19,5.28,5.15
5.31,5.39,5.47,5.28
5.51,5.48,5.55,5.46
5.41,5.07,5.41,5.03
5.47,5.44,5.50,5.32
5.52,5.58,5.61,5.46
5.65,5.59,5.68,5.56
5.60,5.60,5.62,5.53
5.66,5.50,5.66,5.39
5.65,5.60,5.65,5.54
5.60,5.54,5.60,5.52
5.53,5.45,5.54,5.40
5.58,5.35,5.58,5.35
5.40,5.34,5.42,5.31
5.36,5.26,5.36,5.21
5.22,5.15,5.25,5.07
5.20,5.12,5.20,5.11
5.18,5.10,5.21,5.05
5.17,5.04,5.17,5.04
5.18,5.10,5.18,5.07
5.11,5.13,5.14,5.08
5.17,5.22,5.23,5.14
5.18,5.10,5.19,5.06
5.17,5.18,5.18,5.12
5.18,5.15,5.18,5.13
5.15,5.13,5.17,5.11
5.12,5.14,5.19,5.12
5.29,5.30,5.31,5.24
5.36,5.39,5.42,5.35
