SPNS,Sapiens International Corporation N.V. - Common Shares,NASDAQ
1.48,1.48,1.49,1.48
1.46,1.48,1.48,1.46
1.50,1.48,1.50,1.48
1.56,1.41,1.56,1.41
1.41,1.36,1.41,1.33
1.36,1.36,1.37,1.36
1.37,1.48,1.52,1.37
1.40,1.40,1.40,1.40
1.47,1.46,1.47,1.43
1.46,1.46,1.46,1.46
1.46,1.47,1.47,1.46
1.45,1.45,1.45,1.45
1.45,1.48,1.49,1.44
1.46,1.38,1.46,1.38
1.46,1.46,1.46,1.46
1.42,1.43,1.43,1.42
1.44,1.44,1.44,1.44
1.44,1.44,1.44,1.44
1.44,1.44,1.44,1.44
1.44,1.44,1.44,1.44
1.40,1.40,1.40,1.40
1.40,1.40,1.40,1.40
1.38,1.38,1.38,1.38
1.37,1.38,1.38,1.37
1.45,1.43,1.46,1.38
1.45,1.39,1.45,1.36
1.39,1.46,1.47,1.39
1.46,1.41,1.46,1.40
1.41,1.41,1.41,1.41
1.42,1.50,1.50,1.41
1.45,1.49,1.50,1.41
1.42,1.50,1.53,1.40
1.46,1.50,1.50,1.46
1.57,1.57,1.57,1.57
1.52,1.48,1.52,1.48
1.42,1.52,1.52,1.42
1.44,1.52,1.52,1.44
1.44,1.51,1.51,1.44
1.50,1.50,1.50,1.50
1.48,1.48,1.48,1.48
1.57,1.53,1.57,1.53
1.51,1.57,1.57,1.51
1.52,1.64,1.64,1.52
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.61,1.82,1.84,1.61
1.80,1.83,1.83,1.80
1.88,2.10,2.10,1.88
2.11,2.09,2.20,2.05
2.00,1.97,2.00,1.92
2.12,2.07,2.12,2.01
2.07,2.15,2.19,2.07
2.15,2.06,2.19,2.02
2.00,2.15,2.18,2.00
2.02,2.15,2.19,2.02
2.07,2.15,2.15,2.05
2.10,2.15,2.15,2.03
2.15,2.15,2.15,2.15
2.04,2.04,2.13,2.04
2.03,2.04,2.10,2.03
2.13,2.13,2.13,2.13
2.03,2.04,2.04,2.03
2.10,2.10,2.10,2.10
2.04,2.13,2.14,2.00
2.03,2.10,2.11,2.03
2.09,2.05,2.10,2.02
2.10,2.10,2.10,2.10
2.01,2.10,2.10,1.94
2.04,2.14,2.14,2.04
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.14,2.14,2.14
2.14,2.06,2.14,2.06
2.14,2.14,2.14,2.14
2.11,2.15,2.15,2.11
2.18,2.19,2.19,2.18
2.19,2.19,2.19,2.19
2.15,2.15,2.15,2.15
2.15,2.16,2.18,2.15
2.11,2.11,2.11,2.11
2.20,2.19,2.20,2.19
2.21,2.19,2.21,2.19
2.21,2.18,2.21,2.18
2.17,2.20,2.20,2.16
2.16,2.13,2.16,2.10
2.12,1.94,2.15,1.91
2.07,2.05,2.08,2.05
2.05,2.08,2.11,2.01
2.08,2.08,2.08,2.08
2.20,2.24,2.27,2.11
2.45,2.40,2.45,2.39
2.41,2.42,2.42,2.35
2.44,2.49,2.50,2.44
2.49,2.38,2.49,2.38
2.40,2.41,2.41,2.40
2.35,2.22,2.35,2.22
2.22,2.25,2.25,2.22
2.39,2.45,2.49,2.35
2.49,2.49,2.49,2.49
2.50,2.40,2.50,2.35
2.50,2.51,2.51,2.50
2.51,2.51,2.51,2.51
2.58,2.59,2.59,2.58
2.55,2.59,2.59,2.50
2.69,2.62,2.69,2.62
2.65,2.65,2.65,2.50
2.69,2.65,2.69,2.65
2.65,2.75,2.80,2.56
2.63,2.75,2.75,2.62
2.69,2.72,2.72,2.69
2.68,2.80,2.80,2.65
2.80,2.99,3.20,2.80
3.05,3.05,3.15,2.97
3.10,3.06,3.15,2.95
3.02,2.98,3.05,2.98
2.95,2.97,3.05,2.85
3.00,3.00,3.05,2.97
3.00,3.00,3.00,3.00
3.00,2.98,3.00,2.97
2.98,3.00,3.05,2.87
3.00,3.00,3.01,2.95
3.00,2.93,3.00,2.75
2.79,2.93,2.93,2.79
2.83,2.53,2.83,2.47
2.49,2.07,2.49,2.07
2.07,2.16,2.33,2.07
2.25,2.21,2.25,2.21
2.16,2.16,2.16,2.11
2.18,2.18,2.18,2.13
2.17,2.17,2.17,2.17
2.20,2.18,2.20,2.18
2.23,2.45,2.52,2.22
2.60,2.75,2.90,2.60
2.79,2.91,3.00,2.79
2.95,2.94,2.98,2.92
2.94,2.95,3.01,2.92
3.01,2.97,3.14,2.97
3.07,2.98,3.09,2.95
3.05,2.97,3.05,2.39
2.97,3.00,3.00,2.87
3.00,3.02,3.02,2.98
3.02,3.02,3.07,3.02
3.12,2.95,3.12,2.93
3.04,2.98,3.04,2.96
2.95,2.99,2.99,2.95
2.99,2.93,2.99,2.87
3.00,2.95,3.00,2.94
2.98,2.98,2.98,2.94
3.00,2.89,3.00,2.86
2.98,2.97,2.98,2.86
3.00,2.94,3.00,2.82
2.90,2.75,2.90,2.65
2.65,2.60,2.80,2.60
2.61,2.66,2.77,2.61
2.72,2.65,2.77,2.60
2.69,2.47,2.69,2.45
2.46,2.45,2.76,2.45
2.45,2.55,2.70,2.45
2.50,2.54,2.54,2.45
2.65,2.55,2.65,2.55
2.51,2.45,2.60,2.45
2.45,2.51,2.51,2.45
2.55,2.42,2.55,2.35
2.40,2.35,2.42,2.35
2.35,2.22,2.35,2.16
2.17,2.09,2.17,2.07
2.10,1.95,2.15,1.68
1.95,2.03,2.07,1.95
2.05,2.09,2.09,2.02
2.12,2.20,2.20,2.05
2.22,2.22,2.40,2.20
2.25,2.25,2.25,2.25
2.25,2.25,2.25,2.25
2.10,2.05,2.10,1.93
2.00,2.10,2.14,2.00
2.14,2.20,2.20,2.14
2.25,2.15,2.25,2.10
2.22,2.25,2.25,2.20
2.65,2.23,2.65,2.23
2.27,2.34,2.39,2.27
2.41,2.44,2.44,2.40
2.45,2.72,2.72,2.44
2.72,2.56,2.75,2.48
2.56,2.55,2.75,2.55
2.51,2.71,2.90,2.51
2.77,2.85,2.85,2.75
2.89,2.80,2.89,2.75
2.80,2.80,2.81,2.80
2.72,2.70,2.72,2.66
2.71,2.80,2.80,2.71
2.80,2.82,2.90,2.79
2.63,2.58,2.65,2.37
2.50,2.50,2.50,2.50
2.40,2.48,2.48,2.40
2.48,2.35,2.48,2.21
2.29,2.26,2.29,2.23
2.26,2.37,2.37,2.25
2.29,2.30,2.37,2.29
2.39,2.39,2.39,2.39
