SPY,SPDR S&P 500,NASDAQ
112.37,113.33,113.39,111.51
113.26,113.63,113.68,112.85
113.52,113.71,113.99,113.43
113.50,114.19,114.33,113.18
113.89,114.57,114.62,113.66
115.08,114.73,115.13,114.24
113.97,113.66,114.21,113.22
113.95,114.62,114.94,113.37
114.49,114.93,115.14,114.42
114.73,113.64,114.84,113.20
113.62,115.06,115.13,113.59
114.28,113.89,114.45,112.98
113.92,111.70,114.27,111.56
111.20,109.21,111.74,109.09
110.21,109.77,110.41,109.41
109.34,109.31,110.47,109.04
109.17,109.83,110.08,108.33
110.19,108.57,110.25,107.91
109.04,107.39,109.80,107.22
108.15,109.06,109.07,107.50
109.26,110.38,110.59,108.88
109.88,109.83,110.48,109.51
108.98,106.44,109.03,106.42
106.56,106.66,106.88,104.58
106.74,105.89,107.33,105.81
107.13,107.22,108.15,106.27
107.05,107.01,107.60,106.11
106.87,108.13,108.25,106.25
106.99,108.04,108.10,106.51
108.86,109.74,109.85,107.82
110.27,110.26,110.41,109.74
110.08,110.91,111.14,110.04
110.62,111.14,111.57,110.36
111.55,111.16,111.58,110.83
110.86,109.81,111.20,109.52
110.14,110.82,111.00,109.86
109.24,110.67,110.75,108.94
110.77,110.74,111.12,110.11
111.20,111.89,112.00,111.17
112.37,112.20,112.74,112.00
112.49,112.30,112.97,112.02
112.45,112.64,112.80,112.03
113.37,114.25,114.34,113.10
114.26,114.27,114.52,114.07
113.93,114.46,114.99,113.87
114.51,114.97,115.28,114.41
114.70,115.45,115.48,114.35
115.95,115.46,115.97,115.14
115.26,115.49,115.57,114.60
115.81,116.41,116.52,115.49
116.76,117.10,117.48,116.42
117.11,117.04,117.27,116.57
115.97,115.97,117.29,115.52
115.31,116.59,116.80,115.24
116.76,117.41,117.51,116.38
116.97,116.84,117.43,115.58
117.63,116.65,118.17,116.51
116.87,116.58,117.42,116.12
117.17,117.32,117.53,116.69
117.46,117.40,117.83,116.91
116.95,117.00,117.52,116.61
117.80,117.80,118.25,117.10
118.25,118.76,118.84,117.92
118.42,119.04,119.25,118.29
118.80,118.36,119.36,117.81
117.95,118.77,118.97,117.60
119.02,119.55,119.60,118.80
119.70,119.74,120.05,119.56
119.62,119.83,120.04,119.00
120.27,121.19,121.19,120.08
120.99,121.29,121.57,120.95
120.86,119.36,121.29,118.75
119.01,119.81,119.93,118.47
120.56,120.88,120.98,119.87
120.95,120.66,121.23,119.99
119.81,121.02,121.17,119.12
120.94,121.81,121.86,120.63
121.85,121.35,122.12,121.23
120.65,118.48,121.34,118.25
119.05,119.38,119.68,118.27
120.10,120.86,121.11,120.07
120.88,118.81,121.01,118.78
119.38,120.35,120.68,119.20
119.01,117.52,119.03,116.92
116.56,116.82,117.80,115.97
116.26,112.94,117.00,105.00
112.64,111.26,113.77,109.41
115.81,116.16,116.65,114.91
115.07,115.83,117.36,114.91
116.29,117.45,117.62,116.09
117.13,115.99,117.68,115.89
115.12,113.89,115.33,112.87
114.20,113.95,114.52,111.77
114.88,112.40,115.22,112.03
111.77,111.76,112.77,110.36
109.38,107.54,109.89,107.47
105.91,109.11,109.38,105.36
108.52,107.71,109.39,107.61
105.11,107.82,107.87,104.38
108.48,107.17,109.47,106.85
109.19,110.76,110.80,108.78
110.64,109.37,110.72,108.85
108.35,107.53,109.95,107.37
108.08,110.33,110.34,107.51
110.65,110.71,111.06,109.58
108.61,106.82,109.33,106.46
107.20,105.49,107.61,105.41
105.57,106.62,106.83,104.65
107.24,106.05,108.28,105.60
107.86,109.15,109.28,106.04
108.19,109.68,109.75,108.12
110.52,109.51,111.12,109.40
110.28,112.00,112.10,110.09
111.42,111.96,112.42,111.20
112.28,112.14,112.33,111.05
111.83,111.73,112.13,111.37
113.12,111.41,113.20,110.79
111.41,109.57,111.90,109.41
109.64,109.23,110.03,108.48
108.69,107.42,108.83,107.14
107.74,107.87,108.42,106.77
108.03,107.53,108.32,107.14
106.02,104.21,107.51,103.55
103.92,103.22,104.88,102.88
103.15,102.76,103.49,101.13
103.11,102.20,103.42,101.62
103.64,102.87,104.37,101.88
103.13,106.11,106.24,103.02
107.00,107.16,107.28,105.91
107.13,107.96,107.97,106.93
107.60,108.03,108.24,107.15
109.15,109.66,110.09,108.93
109.31,109.65,110.08,108.86
109.61,109.68,110.06,108.17
109.09,106.66,109.21,106.45
107.05,107.29,107.63,106.22
105.87,108.48,108.56,105.82
109.04,107.07,109.07,106.63
108.34,109.46,109.94,108.33
109.24,110.41,110.57,108.93
