SXI,Standex International Corporation Common Stock,NASDAQ
20.44,20.94,21.00,20.19
20.84,20.43,20.84,20.10
20.46,19.75,20.46,19.49
19.67,20.15,20.18,19.67
20.08,20.34,20.38,19.98
20.42,20.81,20.99,20.05
20.54,20.98,21.04,20.54
21.07,21.53,21.62,20.84
21.44,21.61,21.88,21.19
21.67,21.19,21.68,20.90
21.30,22.75,22.91,21.02
22.73,22.19,23.26,21.79
22.16,21.63,22.48,21.01
21.67,21.11,21.81,21.01
21.26,21.83,22.12,21.15
21.68,21.75,22.19,21.61
21.57,22.36,22.44,21.55
22.65,21.61,23.31,21.27
21.73,22.81,23.14,21.73
23.44,24.91,24.98,23.42
25.00,23.59,25.03,23.41
23.54,23.77,24.53,23.08
23.62,23.30,24.22,22.98
22.60,23.44,23.46,22.12
23.54,21.99,23.98,21.96
22.32,22.82,23.21,20.72
22.64,22.67,23.08,22.23
22.65,23.52,23.54,22.25
23.31,23.61,23.68,22.82
23.54,23.82,23.92,23.19
23.98,23.76,24.10,23.41
23.81,23.79,24.21,23.30
23.78,24.38,24.38,23.38
24.38,24.48,24.68,23.78
24.51,25.01,25.40,24.26
25.03,25.35,25.50,24.65
25.06,25.06,25.18,24.43
25.14,24.90,25.16,24.48
25.15,25.31,25.60,24.72
25.28,25.21,25.49,24.16
25.33,25.55,25.76,24.96
25.69,25.65,25.75,25.13
25.73,26.35,26.41,25.42
26.40,26.92,26.99,26.11
26.79,27.70,27.89,26.79
27.51,26.82,27.78,26.64
26.74,27.07,27.14,26.32
27.27,26.58,27.27,26.34
26.66,26.51,26.70,26.11
26.51,26.59,26.65,25.89
26.52,26.81,27.08,26.52
26.66,27.24,27.73,26.61
27.25,27.25,27.51,26.94
27.06,27.87,27.94,26.99
27.97,28.45,28.55,27.20
28.38,27.91,28.58,27.80
28.00,27.36,28.39,27.28
27.35,26.28,27.40,25.96
26.36,26.33,26.98,26.15
26.45,26.73,27.22,26.20
26.53,25.77,26.81,25.71
25.90,26.05,26.73,25.51
26.10,26.96,26.97,25.66
26.59,27.52,27.94,26.50
27.41,27.66,27.74,27.03
27.44,27.01,27.44,26.70
27.14,26.13,27.14,25.90
26.22,26.49,26.67,26.06
26.49,26.53,26.71,25.95
26.65,28.00,28.15,26.65
28.12,28.91,28.98,28.01
28.93,27.71,29.46,27.55
27.63,28.76,28.78,27.63
28.76,29.14,29.15,28.17
29.10,29.74,29.74,28.61
29.67,30.19,30.25,29.16
30.07,30.33,30.53,30.01
30.37,30.49,30.85,30.00
30.46,30.41,30.93,30.26
30.59,30.09,30.59,29.90
29.54,28.28,30.32,26.74
28.22,23.87,28.34,23.46
24.23,25.94,25.94,23.76
25.36,25.17,25.89,24.30
25.36,25.21,25.51,24.68
24.95,24.11,25.58,21.21
24.11,22.32,24.34,22.05
23.65,24.73,24.82,23.65
24.37,25.52,26.21,23.72
25.89,27.05,27.33,25.60
26.84,27.84,28.03,26.67
27.62,27.59,27.80,26.57
27.79,28.08,28.28,26.80
28.06,26.87,28.91,26.61
26.81,26.36,27.30,25.51
25.45,25.09,26.30,24.88
24.64,25.79,25.86,24.50
25.68,24.72,25.94,24.69
23.78,25.11,25.27,23.69
25.32,24.80,26.14,24.73
25.53,26.60,26.69,25.51
26.52,26.01,26.83,26.01
25.74,25.07,26.35,25.00
25.57,26.53,26.75,25.24
26.71,27.19,27.46,26.42
26.40,25.79,26.75,25.67
25.89,24.62,26.15,24.51
24.79,23.71,25.46,23.58
23.98,24.19,24.99,23.74
24.84,26.28,26.51,24.11
25.87,27.50,27.54,25.84
27.99,29.18,29.52,27.63
29.30,29.47,29.73,28.91
29.14,28.79,29.66,28.74
28.91,28.78,29.33,28.34
29.00,28.85,29.28,28.31
29.38,28.78,29.98,28.57
29.08,28.37,29.52,28.25
28.24,27.75,28.37,27.68
27.50,27.09,28.02,26.99
27.21,26.66,27.89,26.13
26.71,26.71,27.64,26.41
26.11,25.91,26.21,25.10
25.99,25.35,26.27,25.19
25.33,26.71,26.89,24.99
27.06,25.96,27.32,25.76
26.70,25.33,27.15,25.05
25.55,26.49,26.56,25.09
26.82,27.53,27.57,26.80
27.47,27.82,28.09,27.19
27.71,27.21,28.00,26.82
27.77,29.02,29.37,27.34
28.76,28.81,29.31,28.40
28.87,28.11,28.98,27.52
27.71,25.99,27.72,25.76
25.89,25.86,26.05,25.35
25.30,26.93,27.00,25.18
27.21,26.20,27.47,26.13
26.79,27.21,27.49,26.63
27.00,28.79,28.89,26.85
28.81,29.01,29.07,28.24
29.24,28.32,29.24,28.22
28.20,28.66,29.00,28.16
28.89,29.85,29.99,28.86
29.30,30.02,30.31,29.03
30.17,29.95,30.49,29.45
29.78,29.40,30.27,29.06
29.56,29.56,30.35,29.22
29.14,29.12,29.94,28.98
28.19,28.64,29.11,27.94
29.08,29.49,29.57,28.61
29.10,27.78,29.10,27.51
26.80,26.07,27.22,25.94
25.44,26.42,27.01,25.44
26.22,25.32,26.31,25.23
25.11,26.00,26.49,25.11
26.09,26.04,26.77,26.00
25.97,25.91,26.49,25.67
25.82,24.69,25.91,24.67
24.61,24.54,24.70,23.64
24.76,23.59,25.04,23.58
23.29,24.16,24.33,23.25
23.96,24.41,24.75,23.61
25.47,25.39,26.50,24.87
25.74,25.91,26.04,24.48
25.58,23.49,25.73,23.47
23.51,23.53,23.91,22.99
23.97,25.59,25.59,23.62
25.47,24.85,25.47,24.66
25.24,25.23,25.61,24.58
25.20,23.06,25.20,22.92
23.25,23.58,23.64,23.15
24.12,23.77,24.12,23.20
23.84,23.54,24.21,23.52
23.93,24.28,24.71,23.82
24.24,23.21,24.30,23.06
23.13,23.19,23.60,22.95
23.12,22.81,23.66,22.75
23.10,22.93,23.16,22.27
23.06,23.59,23.71,22.67
23.62,24.71,24.91,23.50
24.59,23.87,24.84,23.68
23.60,22.98,23.88,22.92
23.37,24.10,24.10,23.27
24.01,24.08,24.41,23.37
24.24,24.37,24.44,23.40
24.29,24.48,24.62,23.61
24.72,24.19,24.84,23.75
24.46,24.13,24.50,23.61
23.92,23.83,24.06,23.39
24.18,25.41,25.64,23.91
25.41,25.20,25.70,24.60
25.44,24.75,25.44,24.32
24.69,25.08,25.34,24.54
25.08,24.86,25.49,24.72
24.87,25.04,25.22,24.52
25.30,25.74,26.05,25.04
25.77,25.66,25.79,25.12
26.04,26.04,26.34,25.32
26.18,26.22,26.33,25.81
25.99,25.75,26.49,25.45
26.01,26.28,26.48,25.73
26.40,26.44,26.95,25.97
26.50,26.67,26.68,26.08
26.72,27.02,27.37,26.56
26.78,27.01,27.43,26.78
26.89,27.02,27.20,26.39
27.21,27.13,28.11,26.63
27.07,26.93,27.76,26.85
27.06,27.67,28.13,27.05
28.00,28.25,28.48,27.82
28.26,28.59,28.96,28.19
29.23,29.16,29.23,28.69
29.30,29.76,29.95,29.27
29.69,29.61,29.79,29.44
29.71,29.21,29.71,29.05
29.34,29.81,29.87,29.08
29.30,28.75,29.58,28.52
28.50,28.51,28.63,28.01
28.80,28.60,28.93,28.50
28.50,28.10,28.50,27.72
28.12,28.04,28.34,27.84
