SYK,Stryker Corporation Common Stock,NASDAQ
51.28,52.16,52.27,50.83
52.33,52.65,52.69,51.93
52.66,53.46,53.53,52.50
53.35,55.25,55.36,53.35
55.68,55.42,56.12,55.21
55.76,55.25,55.85,54.98
54.70,55.21,55.38,54.38
55.15,55.47,55.64,55.02
55.53,56.02,56.12,55.41
55.98,56.03,56.04,55.43
56.23,56.96,57.39,56.23
56.82,55.93,57.37,55.59
55.84,54.73,55.97,54.50
54.45,54.04,55.19,53.98
54.27,54.44,54.88,53.81
54.30,54.56,55.04,53.90
53.61,52.91,53.97,51.73
52.96,52.19,53.20,51.77
52.43,51.92,52.57,51.60
52.22,52.20,52.22,51.60
52.34,53.15,53.29,52.06
53.02,52.54,53.02,52.42
52.15,51.09,52.19,51.07
50.99,51.06,51.23,49.85
51.14,51.43,51.98,50.93
51.96,51.91,52.45,51.53
51.93,51.62,52.10,51.29
51.42,52.17,52.39,51.15
51.66,52.06,52.26,51.37
52.25,52.80,52.81,52.06
53.00,53.07,53.22,52.80
53.00,53.24,53.34,52.80
52.97,53.16,53.43,52.81
53.36,53.09,53.45,52.96
52.91,52.62,53.07,52.45
52.93,52.89,52.95,52.47
52.07,52.84,52.85,51.84
52.98,53.10,53.43,52.75
53.32,53.82,54.08,53.29
53.94,54.46,54.77,53.92
54.56,54.11,54.78,54.06
54.01,54.05,54.19,53.79
54.23,55.04,55.04,54.21
55.10,55.05,55.24,54.95
54.93,55.00,55.07,54.78
54.94,55.29,55.40,54.69
55.20,55.73,55.79,54.78
55.75,55.23,55.75,54.47
55.36,55.42,55.47,54.98
55.55,55.43,55.55,55.06
55.44,56.27,56.27,55.33
56.07,56.66,56.67,56.02
56.64,56.64,57.09,56.21
56.21,56.85,57.25,56.21
56.87,57.00,57.01,56.21
57.89,57.96,58.24,57.38
58.31,57.68,58.49,57.68
57.67,56.71,57.68,56.66
56.83,57.18,57.27,56.76
57.33,57.51,57.62,57.05
57.24,57.22,57.60,56.82
57.59,57.65,57.74,57.31
57.74,57.85,58.20,57.51
57.79,57.78,57.90,57.50
57.81,57.17,57.93,56.90
57.19,57.10,57.20,56.63
57.01,57.64,57.64,57.01
57.64,57.64,57.95,57.32
57.13,57.18,57.56,56.87
57.21,57.71,57.83,56.87
58.00,58.09,58.37,57.51
58.05,57.24,58.25,56.84
57.03,57.47,57.51,57.03
57.71,58.45,58.72,57.55
57.92,57.93,58.44,57.35
57.37,57.72,57.82,56.76
57.76,58.89,59.01,57.15
59.13,58.81,59.72,58.71
58.73,57.54,58.93,57.45
57.52,58.08,58.35,57.31
58.36,58.60,58.98,58.33
58.85,57.44,58.93,57.40
57.60,58.12,58.37,57.22
58.68,57.45,58.78,56.92
56.75,57.22,57.41,56.75
56.91,56.25,57.28,53.85
56.12,54.12,56.12,53.74
56.42,56.86,56.87,55.56
56.30,56.75,57.18,56.09
56.96,57.22,57.22,56.45
57.01,57.47,57.99,57.01
57.71,56.46,57.71,55.65
56.39,56.56,56.89,55.74
57.20,55.91,57.27,55.87
55.66,55.72,56.38,55.04
55.00,53.88,55.00,53.31
53.23,52.70,53.90,52.18
52.58,53.18,53.73,52.30
52.02,52.59,52.62,51.22
53.04,52.19,53.37,52.15
52.79,53.47,53.53,52.53
53.34,53.03,53.73,52.94
52.60,52.42,53.34,52.34
52.54,53.71,53.71,52.19
53.91,54.03,54.35,53.62
53.39,51.97,53.39,51.80
51.98,50.62,52.17,50.58
50.71,50.56,50.94,49.91
50.85,49.48,51.00,49.24
50.14,49.36,50.25,48.76
49.01,50.59,50.60,49.00
50.75,50.45,51.27,50.44
50.83,51.72,51.72,50.68
51.31,52.23,52.38,51.27
52.22,52.04,52.23,51.56
51.85,51.82,52.10,51.59
52.24,51.58,52.47,51.25
51.73,50.94,52.10,50.93
51.23,51.14,51.43,50.17
51.07,50.20,51.16,50.03
50.26,50.10,50.51,49.75
49.80,51.04,51.44,49.62
50.51,50.16,50.77,49.73
49.99,50.06,50.74,49.74
49.80,49.76,49.89,48.61
49.84,49.88,50.23,49.42
50.20,50.42,50.87,49.91
50.54,52.25,52.27,50.50
52.62,52.48,52.67,51.72
52.42,52.38,52.60,52.09
52.27,52.14,52.41,51.79
52.43,53.12,53.25,52.38
53.01,53.05,53.29,52.71
53.00,52.56,53.10,52.08
52.38,51.20,52.56,51.03
51.28,51.53,51.75,50.80
50.58,51.29,51.38,49.23
49.18,46.75,49.75,46.58
47.15,47.13,47.41,46.37
47.09,47.83,48.00,46.91
48.02,47.16,48.02,46.98
47.36,47.49,47.67,47.24
47.34,46.85,47.53,46.71
47.06,46.15,47.40,45.85
45.80,46.57,46.72,45.52
47.06,47.59,47.90,46.91
47.04,47.76,48.24,47.04
47.83,47.92,48.26,47.65
47.77,48.06,48.06,47.37
47.46,47.97,47.97,47.12
48.04,48.07,48.25,47.63
47.74,47.63,47.85,47.34
47.10,46.62,47.10,46.40
45.96,46.67,46.84,45.96
46.75,46.57,46.85,46.38
46.33,46.49,46.63,46.04
46.86,46.69,47.75,46.27
46.57,46.86,47.33,45.90
46.58,45.86,46.64,45.64
45.55,45.81,45.94,45.16
46.01,46.14,46.70,46.01
45.56,43.20,45.56,43.13
42.85,43.12,43.49,42.74
43.16,42.88,43.27,42.86
42.93,44.00,44.16,42.86
44.05,43.55,44.05,43.53
43.20,43.19,43.39,42.87
43.51,44.64,44.77,43.51
44.94,45.72,46.60,44.79
46.08,46.09,46.28,45.32
45.81,45.98,46.41,45.67
46.05,45.48,46.05,45.29
45.89,46.12,46.17,45.55
46.23,46.67,46.80,45.78
46.99,47.30,47.59,46.73
47.31,48.40,48.82,46.62
48.18,48.69,48.73,47.68
49.04,48.74,49.04,48.38
48.87,48.03,49.18,48.02
48.24,48.74,48.81,48.20
48.80,48.51,48.97,48.39
48.47,48.02,48.75,47.84
47.74,47.93,48.45,47.54
48.31,49.70,49.71,48.25
49.83,49.15,49.83,49.05
49.03,50.11,50.22,48.59
49.76,50.24,50.54,49.45
50.30,50.05,50.88,49.91
50.26,50.01,50.40,49.36
49.85,49.37,50.29,49.11
49.87,50.57,50.98,49.80
50.56,50.45,50.80,50.28
50.64,49.78,50.64,49.17
49.76,49.68,50.10,49.47
49.64,49.79,50.00,49.38
49.51,49.05,49.67,48.13
49.19,49.29,49.45,48.76
49.31,48.83,49.63,48.55
49.12,49.04,49.41,48.35
49.30,50.51,50.65,49.30
48.69,50.07,50.41,48.61
52.83,50.57,53.00,50.03
50.82,51.32,51.42,50.69
51.31,50.59,51.42,50.50
50.84,51.27,51.49,50.80
50.96,51.23,51.35,50.47
50.84,50.90,50.95,50.05
