SYY,Sysco Corporation Common Stock,NASDAQ
28.20,28.10,28.40,28.00
28.01,27.98,28.13,27.82
27.89,28.06,28.15,27.76
28.01,28.09,28.10,27.75
28.08,27.91,28.08,27.78
28.07,27.85,28.07,27.76
27.78,27.70,27.87,27.58
27.70,28.00,28.03,27.70
28.04,28.18,28.22,27.83
28.22,28.13,28.32,27.95
28.14,28.39,28.50,28.07
28.21,28.43,28.48,28.07
28.50,27.80,28.79,27.75
27.80,27.47,27.95,27.45
27.74,27.76,27.95,27.55
27.59,27.60,27.77,27.54
27.52,27.61,27.64,27.36
27.63,27.54,27.74,27.31
27.62,27.99,28.24,27.41
29.13,28.37,29.58,28.12
28.37,28.16,28.41,27.96
28.08,27.80,28.08,27.72
27.60,27.29,27.69,27.29
27.20,27.21,27.40,26.99
27.21,27.00,27.36,27.00
27.26,27.33,27.56,27.20
27.28,27.42,27.58,27.10
27.43,27.59,27.63,27.16
27.40,27.54,27.62,27.21
27.74,28.18,28.18,27.57
28.44,28.47,28.72,28.12
28.35,28.51,28.51,28.29
28.41,29.14,29.19,28.35
29.24,29.00,29.24,28.78
29.00,28.92,29.14,28.57
28.94,28.97,29.02,28.72
28.79,29.21,29.21,28.36
29.24,28.90,29.24,28.82
28.92,28.97,29.07,28.77
28.99,29.07,29.09,28.90
29.06,28.75,29.19,28.62
28.87,28.98,29.02,28.82
29.09,29.04,29.14,28.90
29.08,28.95,29.14,28.86
28.86,28.70,29.08,28.66
28.74,28.41,28.80,28.34
28.30,28.65,28.65,28.30
28.64,28.64,28.81,28.53
28.59,28.68,28.75,28.52
28.70,28.63,28.88,28.56
28.73,29.06,29.23,28.64
29.06,28.91,29.16,28.83
28.77,28.77,29.10,28.56
28.70,28.95,29.02,28.60
28.94,29.43,29.47,28.91
29.41,29.09,29.46,29.06
29.26,29.01,29.30,28.99
29.16,29.17,29.20,28.95
29.26,29.68,29.68,29.18
29.52,29.72,29.87,29.40
29.63,29.50,29.68,29.45
29.56,29.60,29.79,29.45
29.70,29.73,29.93,29.60
29.61,29.98,30.00,29.60
29.97,29.81,29.97,29.71
29.67,29.57,29.77,29.46
29.65,29.88,29.88,29.50
29.90,29.87,29.93,29.72
29.85,30.28,30.32,29.72
30.28,30.16,30.33,29.98
30.20,29.92,30.20,29.66
30.00,29.71,30.15,29.43
29.68,29.92,29.94,29.65
30.01,30.46,30.47,30.00
30.49,30.50,30.66,30.38
30.38,30.87,30.90,30.27
30.86,31.19,31.25,30.65
31.69,31.41,31.94,31.31
31.28,30.62,31.32,30.61
30.76,30.82,30.95,30.50
30.98,31.23,31.45,30.98
31.36,31.54,31.73,31.33
31.61,31.03,31.99,30.71
30.93,30.88,30.97,30.53
30.59,31.04,31.08,30.51
31.03,29.88,31.03,28.60
29.74,29.43,29.84,29.19
30.18,30.26,30.47,30.00
29.99,30.38,30.81,29.98
30.50,30.69,30.72,30.33
30.70,30.75,31.03,30.62
30.74,30.17,30.74,30.10
30.15,30.37,30.47,29.98
30.28,30.57,30.95,30.15
30.45,30.44,30.55,30.03
30.01,29.38,30.02,29.36
29.03,29.54,29.54,28.63
29.37,29.13,29.46,29.09
28.81,28.90,28.90,28.43
29.11,29.07,29.53,28.85
