TASR,TASER International,NASDAQ
4.46,4.65,4.66,4.41
4.62,4.70,4.72,4.62
5.05,5.84,5.95,5.03
5.74,5.66,6.05,5.46
5.64,5.56,5.80,5.43
5.62,6.19,6.36,5.52
6.13,5.93,6.43,5.91
6.08,6.27,6.40,6.00
6.28,6.39,6.69,6.26
6.42,6.29,6.43,5.99
6.32,6.32,6.69,6.29
6.29,6.25,6.36,6.11
6.25,5.88,6.28,5.86
5.88,5.74,6.09,5.58
5.77,5.80,5.93,5.64
5.76,5.82,5.87,5.65
5.80,5.92,5.95,5.78
5.96,5.90,5.96,5.80
5.91,5.64,6.00,5.56
5.71,5.89,5.91,5.66
5.91,5.97,5.98,5.83
5.93,5.85,6.00,5.81
5.78,5.63,5.80,5.63
5.62,5.47,5.65,5.33
5.49,5.51,5.67,5.47
5.57,5.66,5.71,5.55
5.73,5.67,5.77,5.58
5.65,5.77,5.84,5.56
5.62,5.72,5.72,5.57
5.76,5.95,5.99,5.73
6.00,6.41,6.50,5.99
6.47,6.58,6.61,6.32
6.86,7.15,7.34,6.82
7.16,7.63,7.88,7.15
7.50,6.97,7.70,6.94
7.01,7.23,7.26,7.00
7.03,7.25,7.29,6.95
7.28,7.56,7.75,7.27
7.25,6.98,7.27,6.88
7.05,7.02,7.10,6.79
7.04,6.93,7.09,6.80
6.92,6.78,7.02,6.68
6.84,6.97,6.99,6.79
7.06,6.99,7.10,6.87
6.95,7.15,7.35,6.95
7.20,7.07,7.29,7.02
7.06,7.03,7.16,7.00
7.10,6.94,7.10,6.91
6.96,6.89,7.09,6.86
6.88,6.78,6.96,6.77
6.85,6.70,6.88,6.68
6.75,6.39,6.78,6.39
6.43,6.32,6.49,6.32
6.27,6.44,6.48,6.15
6.42,6.60,6.60,6.40
6.58,6.63,6.72,6.52
6.70,6.31,6.74,6.29
6.32,6.00,6.37,5.87
6.01,6.06,6.07,5.90
6.07,6.03,6.11,5.97
6.01,5.87,6.03,5.86
5.93,5.78,5.97,5.76
5.61,5.59,5.64,5.35
5.60,5.62,5.80,5.54
5.60,5.54,5.72,5.50
5.54,5.48,5.57,5.43
5.50,5.52,5.60,5.37
5.49,5.47,5.57,5.40
5.47,5.33,5.47,5.27
5.39,5.43,5.43,5.33
5.44,5.37,5.46,5.27
5.37,5.21,5.40,5.21
5.27,5.30,5.40,5.20
5.35,5.39,5.43,5.31
5.39,5.38,5.43,5.31
5.34,5.61,5.63,5.32
5.33,4.90,5.39,4.87
4.93,4.77,4.96,4.74
4.92,4.95,5.07,4.80
4.99,4.83,4.99,4.80
4.86,4.87,4.90,4.81
4.86,4.75,4.91,4.73
4.76,4.84,4.85,4.61
4.79,4.76,4.81,4.69
4.74,4.75,4.78,4.65
4.72,4.61,4.78,4.48
4.55,4.41,4.65,4.40
4.63,4.65,4.67,4.52
4.60,4.68,4.76,4.56
4.68,4.89,4.90,4.65
4.90,5.10,5.17,4.85
5.05,5.04,5.12,4.89
5.07,5.06,5.10,4.95
5.11,4.96,5.17,4.93
4.95,4.86,4.98,4.83
4.75,4.52,4.82,4.52
4.45,4.52,4.64,4.45
4.53,4.34,4.62,4.34
4.21,4.33,4.37,4.11
4.35,4.34,4.53,4.30
4.44,4.53,4.53,4.35
4.52,4.47,4.55,4.25
4.41,4.13,4.47,4.13
4.18,4.32,4.33,4.14
4.32,4.32,4.40,4.15
4.21,4.28,4.32,4.18
4.29,4.13,4.35,4.12
4.15,4.10,4.19,4.07
4.15,4.12,4.20,4.10
4.17,4.18,4.22,4.08
4.16,4.13,4.23,4.10
4.18,4.20,4.27,4.18
4.23,4.20,4.25,3.98
4.15,4.16,4.18,4.06
4.15,4.18,4.18,4.11
4.21,4.15,4.22,4.13
4.21,4.01,4.24,4.00
4.02,3.85,4.08,3.81
3.86,3.94,3.96,3.83
3.93,3.96,4.05,3.92
3.96,4.07,4.07,3.88
4.02,3.98,4.07,3.96
3.90,3.80,3.95,3.79
3.81,3.90,4.13,3.81
3.58,3.70,3.79,3.55
3.71,3.71,3.75,3.59
3.77,3.74,3.96,3.68
3.76,3.79,3.84,3.70
3.82,3.77,3.85,3.68
3.75,3.87,3.87,3.66
3.85,3.86,3.94,3.75
3.90,4.00,4.00,3.86
4.00,3.84,4.02,3.82
3.83,3.76,3.89,3.73
3.75,3.73,3.78,3.62
3.72,3.78,3.81,3.72
3.73,3.85,3.86,3.72
3.87,4.33,4.39,3.84
4.40,4.40,4.42,4.26
4.39,4.20,4.39,4.16
4.24,4.37,4.38,4.17
4.29,4.25,4.62,4.22
4.26,4.11,4.28,4.05
4.13,3.91,4.14,3.90
3.87,4.10,4.14,3.87
4.18,4.10,4.18,4.01
4.07,4.04,4.11,4.01
4.07,4.04,4.13,4.00
4.00,4.01,4.07,4.00
3.96,4.06,4.09,3.92
4.10,4.08,4.10,4.02
4.02,4.06,4.15,4.00
4.00,3.94,4.03,3.92
3.89,3.99,4.03,3.85
3.96,3.87,4.04,3.87
3.85,3.95,3.97,3.85
4.00,4.06,4.06,3.96
4.04,4.00,4.04,3.95
4.00,3.82,4.02,3.82
3.82,3.86,3.90,3.80
