TBNK,Territorial Bancorp Inc. - Common Stock,NASDAQ
18.23,18.65,18.80,18.12
18.61,18.11,18.61,18.11
18.14,17.80,18.28,17.80
17.85,17.87,18.09,17.70
17.78,17.85,17.90,17.75
18.00,17.95,18.66,17.75
17.80,17.95,18.10,17.80
18.05,17.97,18.14,17.84
17.90,17.96,18.22,17.85
18.11,18.00,18.25,17.76
18.12,18.49,18.50,18.12
18.31,18.54,18.57,18.11
18.61,18.14,18.69,18.08
18.18,17.75,18.51,17.75
17.82,18.12,18.14,17.70
18.02,18.35,18.39,17.84
18.19,18.79,18.80,18.19
18.75,18.75,18.81,18.50
18.84,18.70,18.85,18.57
18.73,18.40,18.73,18.28
18.36,18.00,18.36,17.75
18.00,17.76,18.28,17.75
17.74,17.72,17.79,17.70
17.89,18.03,18.04,17.72
18.10,18.28,18.35,18.05
18.47,18.73,18.74,18.22
18.60,18.93,18.99,18.46
18.81,19.35,19.35,18.57
19.25,19.37,19.70,19.19
19.49,19.25,19.49,19.16
19.25,19.41,19.41,19.06
19.31,19.73,19.78,19.31
19.77,19.71,19.81,19.64
19.69,19.60,19.69,19.47
19.71,19.58,19.76,19.58
19.59,19.72,19.80,19.59
19.52,19.87,19.87,19.52
19.94,19.78,20.00,19.74
19.92,20.07,20.09,19.18
20.20,20.25,20.51,20.20
20.35,20.17,20.35,20.11
20.27,20.54,20.54,20.25
20.65,20.98,20.98,20.43
21.00,21.17,21.23,20.71
20.90,20.75,21.03,20.64
20.69,20.97,20.98,20.69
20.79,20.59,20.79,20.12
20.71,20.36,20.88,20.32
20.29,20.55,20.76,19.98
20.25,20.10,20.27,19.95
20.06,20.09,20.31,19.96
20.08,20.04,20.19,20.00
19.69,19.69,20.33,19.66
19.59,19.80,19.84,19.49
19.79,20.27,20.34,19.66
19.92,19.39,20.06,19.39
19.50,19.30,20.07,19.26
19.43,19.38,19.72,19.29
19.70,19.66,19.85,19.47
19.70,19.47,19.70,19.46
19.34,19.03,19.56,18.93
19.09,18.31,19.18,18.21
18.43,18.32,18.94,18.25
18.20,18.80,19.02,18.20
18.71,18.59,19.25,18.49
18.48,18.35,18.94,18.35
18.37,18.22,18.52,18.20
18.37,18.73,18.81,18.26
18.78,19.82,19.96,18.78
19.90,20.26,20.30,19.82
20.29,20.22,20.29,19.65
20.25,19.99,20.25,19.29
19.52,19.30,19.52,18.89
19.33,20.10,20.10,19.29
19.95,20.24,20.24,19.89
19.99,20.22,20.25,19.97
19.80,20.33,20.35,19.80
20.27,19.90,20.45,19.83
19.75,19.33,19.89,19.31
19.80,19.78,19.92,19.44
19.89,19.86,20.02,19.69
19.80,18.91,19.86,18.91
19.01,19.39,19.65,18.64
19.17,18.90,19.17,18.55
18.93,18.81,19.37,18.54
18.75,18.90,19.90,18.50
18.79,18.56,19.15,18.25
18.90,18.83,18.91,18.27
18.59,18.59,18.84,18.34
18.34,18.90,19.05,18.33
18.79,19.01,19.13,18.79
18.92,19.22,19.37,18.66
19.39,19.85,19.86,19.04
19.97,19.94,20.36,19.86
19.90,19.90,20.39,19.47
19.49,19.08,19.99,19.04
18.95,19.52,20.03,18.76
19.41,19.46,19.75,19.21
19.20,19.61,19.65,19.04
19.29,20.59,20.60,19.29
20.80,20.40,20.80,19.98
20.51,19.74,20.51,19.57
19.54,19.29,19.98,19.26
19.36,20.09,20.15,19.20
20.02,19.74,20.36,19.63
19.46,18.99,20.00,18.99
19.00,18.62,19.17,18.61
18.73,18.33,18.86,18.29
18.50,18.86,19.21,18.49
19.11,19.13,19.36,18.80
18.90,19.11,19.13,18.71
19.27,18.44,19.38,18.37
18.61,19.19,19.24,18.36
19.08,18.99,19.35,18.73
19.15,18.98,19.18,18.94
19.13,19.17,19.20,18.85
19.30,19.02,19.30,18.85
19.12,18.67,19.13,18.67
18.62,18.84,18.98,18.54
18.77,18.68,19.16,18.43
18.80,20.66,20.66,18.68
20.02,19.60,20.10,19.13
19.34,19.37,19.77,19.31
19.35,18.95,19.82,18.95
19.06,18.64,19.13,18.45
18.79,18.36,18.79,18.29
18.56,18.20,18.80,18.16
18.31,18.54,18.58,18.10
18.74,19.04,19.04,18.50
18.96,18.88,19.13,18.75
18.90,18.27,18.90,18.25
18.50,18.42,18.54,18.31
18.32,18.29,18.50,18.20
18.24,18.26,18.34,17.91
18.08,17.72,18.33,17.62
17.71,17.80,17.93,17.41
17.68,17.80,17.89,17.23
17.89,17.52,18.02,17.51
17.65,17.78,17.82,17.50
17.66,18.49,18.57,17.65
18.67,18.85,18.97,18.19
18.90,18.42,18.90,18.31
18.33,18.24,18.61,18.20
18.27,18.17,18.38,18.05
18.06,18.21,18.39,18.06
18.47,18.07,18.47,17.97
17.95,17.96,18.47,17.95
17.98,18.07,18.18,17.83
17.93,17.79,17.99,17.72
17.85,17.96,18.18,17.75
18.11,17.99,18.11,17.92
17.91,17.90,18.09,17.85
17.70,17.58,17.94,17.55
17.49,17.70,17.74,17.41
17.60,17.29,17.61,17.28
17.29,17.79,17.87,17.29
17.91,17.89,18.06,17.85
17.82,17.88,18.06,17.81
17.80,17.36,17.89,17.26
17.25,17.37,17.41,17.15
17.40,17.20,17.40,17.20
17.05,17.20,17.31,17.05
17.13,17.17,17.27,17.00
17.17,17.09,17.32,17.00
17.15,17.25,17.25,17.00
17.17,16.88,17.17,16.87
16.85,16.91,16.99,16.75
17.16,17.00,17.16,16.91
17.08,16.99,17.08,16.82
17.10,17.04,17.10,16.76
16.97,16.65,16.97,16.61
16.61,16.80,16.80,16.61
16.94,16.77,16.94,16.69
16.61,16.71,16.76,16.60
16.82,16.98,16.99,16.75
16.98,16.97,17.11,16.74
16.95,16.79,17.17,16.70
16.72,16.64,16.72,16.55
16.81,16.73,16.86,16.55
16.71,16.85,16.91,16.63
16.67,16.74,16.79,16.60
16.65,16.57,16.65,16.46
16.54,16.60,16.86,16.54
16.79,17.28,17.28,16.63
17.33,17.07,17.33,17.00
17.15,17.04,17.24,16.89
17.03,16.89,17.03,16.81
17.00,16.83,17.00,16.77
16.97,16.98,17.00,16.85
16.88,16.85,16.97,16.65
17.00,16.95,17.00,16.90
16.97,16.87,16.97,16.81
17.00,16.78,17.00,16.75
16.69,17.07,17.11,16.65
16.98,16.92,17.11,16.88
16.84,17.05,17.12,16.84
17.06,17.16,17.50,17.02
17.13,17.11,17.30,17.03
17.35,17.11,17.75,17.09
17.19,17.23,17.32,17.16
17.09,17.13,17.30,17.02
17.25,16.99,17.25,16.97
17.10,16.92,17.20,16.75
17.05,16.90,17.05,16.86
17.11,16.97,17.23,16.92
16.85,16.93,17.03,16.85
16.91,16.88,16.94,16.75
16.96,16.85,17.01,16.76
16.91,16.97,17.15,16.91
16.83,16.74,16.91,16.61
16.91,17.03,17.15,16.88
17.03,17.19,17.40,17.03
17.39,17.33,17.54,17.14
17.50,17.80,18.03,17.50
17.72,18.06,18.18,17.72
18.17,18.05,18.17,17.96
17.99,18.41,18.50,17.99
18.22,18.12,18.48,18.11
18.00,18.07,18.21,17.91
18.13,18.22,18.40,18.13
18.08,17.73,18.08,17.55
17.80,18.04,18.10,17.78
18.21,18.01,18.26,17.98
18.07,18.10,18.11,17.91
18.06,18.10,18.15,18.06
18.00,18.04,18.08,17.90
18.19,18.45,18.45,18.19
18.38,18.44,18.50,18.37
18.31,18.44,18.50,18.20
18.34,18.42,18.50,18.15
18.50,18.57,18.64,18.35
18.63,18.57,18.63,18.45
18.50,18.94,19.10,18.50
18.87,19.03,19.15,18.87
19.09,19.21,19.39,19.08
19.31,19.27,19.44,19.16
19.38,19.34,19.38,19.21
19.32,19.63,19.66,19.31
19.67,19.64,19.75,19.63
19.76,19.84,19.89,19.68
19.87,19.75,19.92,19.71
19.77,19.91,19.98,19.73
19.90,19.78,19.98,19.61
19.78,19.94,19.98,19.58
19.98,19.99,20.00,19.81
19.99,20.18,20.27,19.97
20.14,20.19,20.32,20.14
20.16,20.19,20.21,20.06
20.00,19.92,20.09,19.86
20.19,19.91,20.19,19.89
19.87,19.76,19.87,19.49
19.49,19.91,19.92,19.49
20.00,19.79,20.07,19.73
19.89,19.58,19.89,19.58
19.58,19.72,19.77,19.58
19.68,19.66,19.94,19.59
19.74,20.16,20.17,19.61
20.02,19.92,20.10,19.86
19.99,20.12,20.17,19.92
20.29,20.20,20.29,20.00
20.20,20.02,20.30,20.02
20.05,20.12,20.17,19.86
20.00,19.93,20.23,19.92
19.93,19.49,20.00,19.48
19.39,19.47,19.67,19.31
19.55,19.44,19.65,19.43
19.44,19.39,19.66,19.32
19.30,19.76,19.80,19.30
19.76,20.03,20.03,19.66
20.07,20.25,20.30,20.07
20.27,19.51,20.27,19.51
19.65,19.29,19.65,19.21
19.31,19.59,19.85,19.31
19.52,19.63,19.75,19.52
19.57,19.35,19.63,19.31
19.28,19.48,19.48,19.21
19.43,19.98,19.99,19.43
19.90,20.03,20.04,19.69
19.90,20.01,20.15,19.90
20.01,19.84,20.10,19.76
19.80,19.70,19.88,19.66
19.66,19.74,19.94,19.66
19.51,19.74,19.79,19.51
19.74,19.77,19.88,19.72
19.79,19.63,19.79,19.42
19.77,19.91,19.93,19.50
19.71,19.37,19.80,19.33
19.64,19.42,19.67,19.30
19.40,19.49,19.50,19.40
19.44,19.63,19.67,19.39
19.75,19.79,19.79,19.60
19.77,19.48,19.77,19.43
19.55,19.41,19.79,19.35
19.54,19.56,19.56,19.49
19.46,19.58,19.65,19.45
19.58,19.52,19.69,19.46
19.58,19.84,19.94,19.58
19.86,19.86,19.90,19.77
19.80,19.58,19.80,19.50
19.44,19.56,19.62,19.44
19.40,19.12,19.43,18.99
18.93,18.91,19.03,18.83
19.01,18.93,19.13,18.70
19.18,18.99,19.25,18.93
19.05,19.38,19.38,18.88
19.45,19.74,19.74,19.41
19.75,19.68,19.83,19.55
19.63,19.83,19.87,19.61
19.76,19.79,19.80,19.59
19.86,19.45,19.90,19.39
19.54,19.50,19.54,19.45
19.47,19.65,19.69,19.43
19.65,19.75,19.76,19.62
19.84,19.92,19.92,19.82
19.94,19.95,19.99,19.87
19.99,20.05,20.09,19.96
20.00,20.11,20.24,20.00
20.14,20.18,20.25,20.11
20.22,20.15,20.35,20.04
20.27,20.04,20.35,20.02
20.03,20.06,20.43,20.03
20.04,19.54,20.04,19.42
19.59,19.55,19.68,19.55
19.50,19.42,19.70,19.38
19.36,19.92,19.93,19.25
19.72,19.64,19.73,19.60
19.70,19.61,19.70,19.58
19.61,19.67,19.77,19.47
19.76,19.62,19.76,19.50
19.58,19.57,19.60,19.45
19.57,19.81,19.89,19.57
19.36,19.81,19.88,19.36
19.81,19.88,19.88,19.72
19.90,20.07,20.13,19.85
19.99,19.90,20.02,19.90
19.90,19.95,20.05,19.90
19.91,19.93,19.99,19.86
19.90,19.90,20.14,19.80
20.10,20.03,20.13,19.98
19.98,20.29,20.30,19.98
20.30,20.49,20.49,20.20
20.42,20.34,20.42,20.20
20.30,20.56,20.56,20.23
20.57,20.02,20.57,19.88
20.01,19.58,20.11,19.58
19.57,19.35,19.57,19.01
19.28,19.56,19.56,19.21
19.65,19.54,19.86,19.54
19.46,19.50,19.54,19.34
19.27,19.40,19.65,19.27
19.51,19.27,19.70,19.27
19.27,19.44,19.50,19.22
19.38,19.67,19.70,19.34
19.67,19.79,19.95,19.61
19.96,20.20,20.32,19.89
20.17,19.65,20.19,19.38
19.65,19.52,19.77,19.40
19.32,19.57,19.87,19.32
19.57,19.71,19.79,19.45
19.87,19.73,19.87,19.71
19.66,19.71,19.89,19.58
19.74,19.55,19.88,19.52
19.53,19.57,19.88,19.46
19.65,19.58,19.84,19.52
19.71,19.88,19.90,19.58
19.73,19.69,20.00,19.50
19.79,20.14,20.24,19.72
20.19,20.17,20.19,20.01
20.13,20.40,20.53,20.11
20.47,20.44,20.47,20.06
20.35,20.08,20.35,20.08
19.98,20.17,20.19,19.98
20.17,20.33,20.43,20.13
19.76,20.49,20.50,19.76
20.50,20.49,20.50,20.27
20.50,20.61,20.65,20.33
20.61,20.72,20.79,20.54
20.71,20.77,20.92,20.71
20.78,20.19,20.78,20.02
20.12,20.30,20.49,20.10
20.36,20.59,20.81,20.16
20.50,20.49,20.63,20.36
20.37,20.50,20.54,20.37
20.47,20.60,20.74,20.47
20.73,21.01,21.01,20.73
20.97,20.90,21.08,20.85
20.88,21.00,21.04,20.87
20.92,20.77,20.92,20.60
20.83,21.05,21.10,20.67
21.11,20.86,21.11,20.74
20.86,21.29,21.29,20.86
21.28,20.81,21.28,20.78
20.71,20.75,20.92,20.71
20.76,20.77,20.96,20.76
20.77,20.75,20.82,20.62
20.75,20.90,20.90,20.75
20.78,20.88,20.97,20.52
20.97,20.81,20.99,20.72
20.71,20.70,20.95,20.70
20.75,20.96,21.03,20.75
20.90,20.60,21.04,20.60
20.60,20.83,21.14,20.60
20.49,19.05,21.10,18.99
19.48,20.36,20.50,19.17
19.92,19.35,19.98,19.35
19.53,20.03,20.47,19.49
20.11,19.50,20.11,19.34
19.44,19.92,19.92,19.44
19.67,19.58,19.76,19.45
19.58,19.58,19.77,19.45
19.27,19.30,19.48,19.07
19.19,19.32,19.80,19.19
19.74,19.25,19.83,19.18
19.21,20.19,20.19,19.18
20.24,20.45,20.72,20.15
20.63,19.81,20.83,19.55
19.79,19.79,19.98,19.60
20.06,20.52,20.60,19.76
20.37,20.35,20.46,19.90
20.31,20.28,20.32,19.71
20.19,19.47,20.40,19.37
19.23,19.06,19.90,19.05
19.00,19.22,19.55,18.99
19.25,19.81,19.84,19.25
19.60,19.26,19.68,19.22
19.20,19.10,19.35,18.90
18.93,18.99,19.12,18.91
19.05,19.18,19.24,18.96
19.25,19.40,19.64,19.10
19.53,19.41,19.53,19.10
19.46,19.50,19.50,19.20
19.26,19.20,19.30,19.14
19.34,19.09,19.41,19.02
19.10,18.96,19.23,18.90
18.62,19.00,19.14,18.62
19.00,19.08,19.10,18.88
19.51,19.31,19.51,18.98
19.56,19.77,20.15,19.37
19.60,19.05,19.63,19.05
19.17,19.25,19.33,19.05
19.07,19.15,19.25,19.07
18.96,18.98,19.20,18.90
18.91,19.73,19.77,18.89
19.65,19.50,19.65,19.35
19.41,19.50,19.50,19.21
19.44,18.92,19.44,18.85
19.16,19.55,19.58,19.06
19.48,19.60,19.60,19.33
19.77,19.90,20.00,19.56
19.98,19.70,19.98,19.56
19.81,19.70,19.89,19.50
19.51,19.40,19.69,19.35
19.36,19.68,19.81,19.36
19.65,19.33,19.65,19.18
19.40,19.41,19.52,19.03
19.68,19.50,19.68,19.13
19.50,19.50,19.65,19.31
19.48,19.04,19.48,18.97
19.25,19.42,19.46,18.99
19.84,20.31,20.31,19.69
20.21,19.79,20.29,19.78
19.58,19.65,19.99,19.53
19.15,19.04,19.55,19.00
19.32,19.44,19.49,19.04
19.20,19.81,19.86,19.19
19.55,19.27,19.57,19.24
19.31,19.54,19.58,19.01
19.64,19.99,20.00,19.60
19.60,19.13,20.00,19.11
19.39,19.46,19.47,19.03
19.45,19.89,19.94,19.45
19.66,19.48,19.94,19.20
19.47,19.94,19.94,19.43
19.73,19.62,19.95,19.57
19.78,19.65,19.83,19.61
19.65,19.87,19.91,19.64
19.65,19.48,19.76,19.47
19.50,19.52,19.73,19.36
19.42,19.12,19.50,19.11
19.11,18.87,19.36,18.87
19.31,19.59,19.61,19.11
19.51,19.45,19.61,19.44
19.95,19.70,19.95,19.57
19.66,19.15,19.71,18.98
19.38,19.52,19.52,19.05
19.68,19.74,19.85,19.50
19.71,19.64,19.75,19.48
19.32,19.63,19.74,19.21
19.30,19.18,19.33,19.08
19.26,19.59,19.65,19.26
19.42,19.63,19.68,19.37
19.71,19.50,19.85,19.50
19.40,19.84,19.95,19.40
19.94,19.74,19.94,19.65
19.75,19.75,19.80,19.68
19.75,19.51,19.85,19.50
19.70,19.78,19.90,19.68
19.70,19.76,19.81,19.57
19.75,19.73,19.80,19.69
19.74,19.70,19.74,19.64
19.70,19.73,19.85,19.70
19.63,19.53,19.65,19.47
19.53,19.65,19.85,19.53
19.69,19.75,19.85,19.66
20.05,19.98,20.05,19.74
19.84,20.07,20.10,19.84
19.99,20.06,20.10,19.87
19.99,19.95,20.09,19.92
19.99,19.91,19.99,19.86
20.00,20.13,20.13,19.95
20.00,20.01,20.10,19.93
19.98,20.09,20.10,19.87
19.92,20.03,20.07,19.92
20.10,19.98,20.10,19.91
20.07,20.09,20.10,19.87
20.10,20.07,20.10,19.92
20.06,20.18,20.19,19.93
20.18,20.22,20.23,19.96
20.00,20.35,20.45,20.00
20.46,20.48,20.67,20.32
20.46,20.57,20.60,20.36
20.50,20.72,20.77,20.50
20.53,20.88,20.99,20.53
20.95,20.68,21.00,20.63
20.81,21.00,21.01,20.74
21.12,21.25,21.29,21.01
