TER,Teradyne,NASDAQ
10.86,10.96,11.07,10.86
10.91,11.00,11.22,10.82
10.91,10.90,11.14,10.85
10.80,10.96,10.98,10.76
10.87,11.08,11.08,10.87
11.41,11.52,11.54,11.27
11.54,11.06,11.57,10.99
11.20,10.91,11.28,10.73
10.82,10.80,10.97,10.62
10.80,10.33,10.87,10.23
10.40,10.56,10.58,10.27
10.41,10.40,10.48,10.27
10.39,10.43,10.67,10.20
10.35,9.76,10.35,9.72
9.85,9.91,10.11,9.78
9.88,10.12,10.25,9.79
10.11,10.26,10.30,9.91
10.78,9.49,10.78,9.26
9.74,9.34,9.94,9.23
9.36,9.64,9.69,9.34
9.67,9.80,10.00,9.59
9.80,9.62,9.94,9.56
9.56,9.07,9.56,8.98
9.07,9.30,9.35,8.95
9.29,9.25,9.55,9.20
9.50,9.32,9.53,9.20
9.30,9.36,9.44,9.18
9.32,9.72,9.76,9.27
9.59,9.81,9.95,9.45
9.86,10.12,10.15,9.84
10.13,10.00,10.20,9.95
9.91,9.97,10.01,9.85
9.91,10.07,10.11,9.84
10.12,10.04,10.16,9.97
10.04,9.64,10.04,9.54
9.68,9.98,10.07,9.61
9.75,10.03,10.04,9.63
10.09,9.99,10.09,9.78
10.05,10.39,10.41,10.05
10.34,10.59,10.67,10.34
10.67,10.52,10.74,10.47
10.62,10.56,10.64,10.33
10.64,10.70,10.84,10.51
10.70,10.63,10.75,10.58
10.53,10.81,10.85,10.50
10.75,10.89,11.00,10.75
10.85,10.66,10.85,10.60
10.65,10.49,10.74,10.38
10.43,10.19,10.48,10.05
10.22,10.62,10.65,10.21
10.65,10.92,10.99,10.63
10.87,10.81,10.95,10.71
10.66,10.66,10.86,10.34
10.58,11.11,11.12,10.50
11.11,11.48,11.50,11.08
11.39,11.09,11.39,11.06
11.30,11.19,11.38,11.16
11.23,11.12,11.35,10.93
11.18,11.12,11.25,11.05
11.16,11.24,11.29,11.06
11.20,11.17,11.38,11.11
11.31,11.24,11.50,11.09
11.27,11.47,11.49,11.21
11.36,11.46,11.52,11.26
11.43,11.62,11.63,11.32
11.52,11.16,11.57,11.16
11.20,11.08,11.25,10.85
11.13,11.39,11.53,11.02
11.45,11.43,11.55,11.30
11.76,12.30,12.32,11.71
12.33,12.19,12.41,12.10
12.12,12.05,12.23,11.84
11.94,11.93,12.10,11.54
12.02,12.14,12.20,11.87
12.20,12.18,12.46,11.80
12.41,13.06,13.37,11.80
13.03,12.92,13.04,12.67
12.94,13.10,13.34,12.94
13.04,12.60,13.29,12.58
12.71,12.56,12.80,12.36
12.66,12.70,12.74,12.35
12.74,12.23,12.74,12.18
12.46,12.98,13.07,12.45
12.88,12.11,12.88,11.97
11.95,11.88,12.15,11.65
11.76,11.30,11.95,10.29
11.29,11.01,11.47,10.63
11.71,11.87,11.89,11.52
11.61,11.66,11.96,11.40
11.75,12.19,12.21,11.75
12.03,11.73,12.28,11.68
11.56,11.19,11.56,10.88
11.16,11.32,11.38,10.81
11.48,10.84,11.57,10.80
10.76,10.90,11.19,10.60
10.52,10.54,10.92,10.23
10.24,10.86,11.09,10.13
10.65,10.71,10.98,10.54
10.21,10.72,10.74,10.17
10.84,10.72,11.13,10.65
11.03,11.32,11.32,10.95
11.32,10.98,11.39,10.82
10.88,10.53,11.09,10.53
10.68,10.90,10.91,10.53
