TGC,Tengasco,NASDAQ
0.44,0.46,0.51,0.44
0.47,0.48,0.50,0.47
0.47,0.49,0.50,0.47
0.49,0.52,0.52,0.49
0.51,0.50,0.53,0.49
0.50,0.50,0.52,0.50
0.53,0.50,0.53,0.50
0.50,0.46,0.51,0.46
0.46,0.47,0.47,0.44
0.45,0.48,0.48,0.45
0.49,0.49,0.50,0.48
0.50,0.47,0.50,0.47
0.49,0.44,0.49,0.43
0.46,0.46,0.46,0.44
0.45,0.44,0.46,0.44
0.45,0.44,0.45,0.43
0.45,0.45,0.46,0.43
0.45,0.45,0.45,0.44
0.44,0.43,0.45,0.43
0.44,0.45,0.45,0.43
0.44,0.44,0.45,0.43
0.44,0.43,0.45,0.43
0.43,0.43,0.44,0.43
0.43,0.43,0.43,0.42
0.43,0.43,0.43,0.42
0.43,0.42,0.44,0.42
0.42,0.43,0.43,0.42
0.43,0.43,0.43,0.42
0.43,0.43,0.43,0.42
0.42,0.43,0.43,0.42
0.43,0.43,0.43,0.42
0.42,0.46,0.46,0.42
0.45,0.43,0.46,0.43
0.46,0.45,0.46,0.43
0.45,0.44,0.48,0.43
0.47,0.46,0.47,0.45
0.46,0.46,0.47,0.45
0.46,0.45,0.47,0.45
0.45,0.49,0.49,0.44
0.49,0.49,0.50,0.47
0.49,0.49,0.51,0.48
0.49,0.47,0.49,0.47
0.48,0.51,0.52,0.45
0.53,0.52,0.53,0.50
0.45,0.48,0.51,0.45
0.48,0.49,0.50,0.48
0.48,0.49,0.49,0.47
0.48,0.49,0.50,0.47
0.49,0.48,0.49,0.47
0.48,0.47,0.50,0.47
0.50,0.50,0.51,0.48
0.52,0.51,0.52,0.49
0.51,0.51,0.52,0.49
0.51,0.50,0.51,0.49
0.48,0.50,0.51,0.48
0.45,0.49,0.51,0.45
0.48,0.49,0.51,0.48
0.50,0.51,0.54,0.49
0.50,0.51,0.53,0.50
0.55,0.51,0.55,0.49
0.51,0.47,0.53,0.47
0.46,0.48,0.48,0.46
0.47,0.51,0.52,0.47
0.51,0.54,0.56,0.51
0.55,0.52,0.55,0.51
0.52,0.52,0.52,0.49
0.51,0.53,0.58,0.51
0.55,0.54,0.58,0.54
0.54,0.54,0.55,0.53
0.54,0.56,0.57,0.54
0.56,0.54,0.56,0.53
0.55,0.53,0.55,0.51
0.52,0.53,0.53,0.51
0.54,0.53,0.54,0.53
0.52,0.53,0.53,0.52
0.53,0.51,0.53,0.51
0.52,0.53,0.56,0.52
0.52,0.51,0.53,0.51
0.51,0.52,0.53,0.51
0.53,0.52,0.53,0.51
0.51,0.55,0.55,0.51
0.55,0.54,0.55,0.54
0.53,0.55,0.56,0.52
0.54,0.51,0.54,0.51
0.51,0.52,0.52,0.51
0.51,0.48,0.51,0.48
0.49,0.45,0.50,0.45
0.49,0.49,0.50,0.48
0.49,0.47,0.49,0.47
0.48,0.48,0.49,0.47
0.48,0.49,0.50,0.48
0.48,0.47,0.49,0.46
0.47,0.48,0.48,0.40
0.48,0.48,0.49,0.46
0.47,0.47,0.48,0.46
0.46,0.45,0.46,0.45
0.45,0.44,0.45,0.43
0.44,0.43,0.46,0.43
0.43,0.43,0.44,0.42
0.43,0.41,0.45,0.41
0.42,0.43,0.44,0.42
0.44,0.44,0.45,0.43
0.44,0.43,0.44,0.43
0.43,0.45,0.45,0.43
0.46,0.47,0.49,0.45
0.47,0.46,0.49,0.46
0.47,0.45,0.47,0.45
0.45,0.44,0.46,0.42
0.44,0.43,0.44,0.43
0.44,0.43,0.44,0.43
0.42,0.43,0.43,0.42
0.43,0.44,0.44,0.41
0.44,0.46,0.46,0.44
0.46,0.46,0.46,0.44
0.45,0.47,0.47,0.44
0.46,0.45,0.46,0.45
0.45,0.49,0.50,0.45
0.50,0.51,0.52,0.48
0.55,0.50,0.55,0.48
0.49,0.48,0.50,0.47
0.51,0.47,0.51,0.47
0.47,0.46,0.48,0.46
0.46,0.44,0.46,0.44
0.45,0.45,0.47,0.44
0.45,0.44,0.46,0.44
0.45,0.44,0.46,0.43
