THC,Tenet Healthcare Corporation Common Stock,NASDAQ
5.44,5.45,5.56,5.39
5.92,6.00,6.16,5.91
6.03,5.90,6.05,5.84
6.07,6.01,6.15,5.98
6.01,6.25,6.28,6.01
6.36,6.14,6.38,6.11
6.03,5.91,6.08,5.86
5.99,6.25,6.28,5.96
6.29,6.29,6.44,6.15
6.26,6.07,6.34,6.06
6.10,5.86,6.18,5.69
5.74,5.65,5.80,5.60
5.68,5.45,5.73,5.44
5.43,5.19,5.53,5.17
5.26,5.29,5.35,5.17
5.20,5.53,5.65,5.20
5.52,5.39,5.56,5.31
5.48,5.16,5.50,5.13
5.24,5.54,5.59,5.17
5.51,5.49,5.58,5.30
5.53,5.59,5.62,5.42
5.58,5.52,5.69,5.47
5.43,5.20,5.46,5.18
5.19,5.10,5.20,4.95
5.07,4.96,5.15,4.93
5.07,5.15,5.18,5.00
5.11,5.08,5.17,5.06
5.07,5.24,5.27,5.04
5.18,5.21,5.26,5.12
5.31,5.32,5.32,5.17
5.35,5.55,5.59,5.35
5.52,5.64,5.75,5.51
5.60,5.59,5.67,5.55
5.64,5.58,5.67,5.52
5.33,5.04,5.34,4.92
5.06,5.07,5.17,5.02
5.01,5.03,5.07,4.94
5.03,5.27,5.30,4.97
5.28,5.27,5.34,5.22
5.27,5.38,5.38,5.15
5.40,5.38,5.47,5.30
5.38,5.45,5.47,5.32
5.45,5.51,5.55,5.40
5.55,5.50,5.59,5.46
5.46,5.38,5.47,5.34
5.33,5.37,5.41,5.18
5.35,5.37,5.38,5.25
5.37,5.39,5.44,5.30
5.34,5.73,5.77,5.30
5.71,5.72,5.78,5.61
5.58,5.66,5.81,5.58
5.65,5.66,5.89,5.61
5.75,5.75,5.80,5.64
6.11,6.27,6.38,6.01
6.41,6.30,6.46,6.16
6.26,5.97,6.26,5.92
6.08,5.82,6.08,5.80
5.91,5.81,5.96,5.75
5.87,5.88,5.95,5.83
5.93,5.73,5.95,5.71
5.70,5.72,5.78,5.58
5.80,5.96,5.96,5.80
5.93,5.93,6.05,5.88
5.84,5.83,5.94,5.80
5.86,5.94,5.95,5.80
5.87,5.95,6.02,5.82
5.94,5.99,6.06,5.94
5.98,6.06,6.14,5.98
6.01,6.01,6.05,5.92
5.99,5.96,6.04,5.95
5.96,5.90,6.00,5.85
5.88,5.80,5.94,5.73
5.78,5.89,5.94,5.75
5.98,6.28,6.31,5.93
6.29,6.21,6.38,6.16
6.20,6.39,6.41,6.06
6.41,6.34,6.43,6.31
6.31,6.15,6.38,6.15
6.13,6.12,6.37,6.10
6.14,6.20,6.31,6.13
6.21,6.38,6.42,6.19
6.40,6.25,6.44,6.15
6.23,6.34,6.36,6.20
6.13,5.87,6.17,5.83
5.82,5.73,5.90,5.66
5.72,5.58,5.86,5.24
5.55,5.32,5.62,5.29
5.61,5.61,5.71,5.54
5.56,5.68,5.75,5.55
5.69,5.77,5.77,5.51
5.75,5.70,5.91,5.67
5.65,5.60,5.70,5.52
5.60,5.63,5.74,5.40
5.64,5.52,5.70,5.39
5.45,5.37,5.54,5.32
5.34,5.18,5.44,5.18
5.12,5.37,5.49,5.01
5.57,5.54,5.68,5.39
5.36,5.43,5.50,5.26
5.49,5.51,5.65,5.45
5.63,5.80,5.80,5.60
5.79,5.72,5.79,5.63
5.54,4.72,5.60,4.69
4.90,5.09,5.17,4.85
5.04,5.03,5.09,4.78
4.94,4.92,5.13,4.89
5.00,5.11,5.34,4.76
5.07,4.80,5.17,4.67
4.83,4.78,4.97,4.76
4.94,5.04,5.04,4.84
4.98,5.07,5.07,4.94
5.15,5.06,5.23,4.97
5.24,5.20,5.28,5.03
5.14,5.16,5.22,5.09
5.13,5.02,5.18,4.93
5.02,4.90,5.04,4.85
4.97,4.74,4.99,4.71
4.74,4.70,4.83,4.68
4.71,4.77,4.84,4.60
4.76,4.62,4.80,4.60
4.64,4.71,4.72,4.58
4.72,4.66,4.82,4.65
4.59,4.43,4.59,4.39
4.41,4.34,4.54,4.34
4.47,4.31,4.47,4.05
4.31,4.15,4.38,4.06
4.27,4.32,4.45,4.24
4.31,4.33,4.37,4.21
4.37,4.48,4.50,4.31
4.48,4.57,4.60,4.41
4.58,4.58,4.62,4.46
4.61,4.56,4.66,4.51
4.54,4.58,4.65,4.46
4.57,4.75,4.78,4.52
4.71,4.49,4.72,4.47
4.51,4.55,4.59,4.47
4.49,4.60,4.61,4.43
4.63,4.30,4.63,4.28
4.38,4.28,4.42,4.26
4.29,4.41,4.46,4.28
4.44,4.56,4.60,4.39
4.63,4.47,4.65,4.43
4.46,4.38,4.50,4.34
4.37,4.41,4.60,4.37
4.36,4.60,4.65,4.34
4.64,4.59,4.78,4.57
4.60,4.39,4.60,4.25
4.40,4.62,4.67,4.40
4.59,4.44,4.64,4.44
4.42,4.42,4.47,4.36
4.44,4.52,4.54,4.37
4.45,4.50,4.58,4.42
4.41,4.30,4.46,4.28
4.26,4.20,4.34,4.18
4.21,4.17,4.26,4.17
4.14,4.13,4.23,4.10
4.15,4.24,4.31,4.15
4.23,4.27,4.31,4.18
4.23,4.17,4.28,4.15
4.15,4.23,4.26,4.12
4.20,4.11,4.27,4.10
4.05,4.01,4.07,4.00
4.00,4.08,4.12,3.95
4.10,3.99,4.14,3.98
4.01,4.11,4.11,3.95
4.09,4.00,4.12,4.00
4.00,3.92,4.06,3.92
3.95,4.26,4.26,3.93
4.26,4.33,4.41,4.26
4.45,4.37,4.50,4.30
4.33,4.24,4.35,4.18
4.23,4.19,4.29,4.12
4.21,4.42,4.42,4.21
4.43,4.46,4.48,4.35
4.49,4.35,4.50,4.28
4.32,4.33,4.38,4.26
4.33,4.43,4.49,4.26
4.43,4.35,4.43,4.32
4.37,4.22,4.46,4.18
4.23,4.34,4.45,4.21
4.34,4.21,4.36,4.21
4.23,4.27,4.28,4.15
4.25,4.18,4.30,4.15
4.22,4.23,4.27,4.19
4.22,4.36,4.38,4.16
4.32,4.42,4.42,4.25
4.37,4.59,4.70,4.36
4.61,4.72,4.77,4.59
4.72,4.53,4.74,4.51
4.52,4.53,4.57,4.51
4.51,4.51,4.59,4.41
4.46,4.48,4.50,4.43
4.50,4.42,4.51,4.39
4.40,4.62,4.65,4.37
4.62,4.49,4.65,4.42
4.45,4.56,4.58,4.40
4.59,4.56,4.66,4.53
4.57,4.43,4.61,4.40
4.50,4.42,4.54,4.40
4.43,4.47,4.50,4.40
4.42,4.40,4.47,4.37
4.39,4.34,4.44,4.32
4.35,4.31,4.37,4.26
4.33,4.33,4.39,4.30
4.35,4.26,4.37,4.23
4.24,4.18,4.25,4.18
4.14,4.22,4.27,4.12
4.25,4.31,4.38,4.21
4.29,4.36,4.36,4.26
4.38,4.30,4.39,4.23
4.14,4.30,4.31,3.96
4.30,4.30,4.32,4.23
4.36,4.47,4.48,4.34
4.46,4.53,4.58,4.46
4.49,4.64,4.65,4.49
4.66,4.60,4.69,4.57
4.62,4.59,4.62,4.52
4.53,4.68,4.71,4.49
4.65,4.65,4.75,4.62
4.69,4.63,4.69,4.56
4.59,4.50,4.61,4.45
4.51,4.43,4.54,4.41
4.47,4.38,4.52,4.33
4.38,4.37,4.40,4.33
4.36,4.30,4.37,4.30
4.28,4.25,4.28,4.22
4.27,4.22,4.33,4.18
4.22,4.21,4.27,4.20
4.18,4.14,4.24,4.06
4.07,4.08,4.12,4.01
