TK,Teekay Corporation Common Stock,NASDAQ
23.71,24.02,24.38,23.68
24.11,24.04,24.53,23.71
24.11,24.00,24.55,23.85
23.90,23.31,24.55,23.03
23.42,24.94,25.02,23.34
25.39,26.87,27.14,25.39
26.61,26.39,26.61,25.88
26.38,26.30,26.92,25.81
26.17,26.24,26.26,25.65
26.23,25.58,26.23,25.14
25.64,26.16,26.28,25.64
25.69,25.10,25.69,24.97
25.02,23.61,25.33,23.61
23.93,23.58,24.52,23.54
24.11,24.89,25.37,24.02
24.65,24.86,25.31,24.42
24.83,25.46,25.47,24.41
25.68,24.84,26.40,24.71
25.18,24.96,25.52,24.76
25.20,25.00,25.49,24.76
25.01,24.25,25.01,24.15
24.05,23.57,24.25,23.44
23.42,22.35,23.42,22.32
22.39,21.40,22.39,20.42
21.27,21.89,22.45,20.83
22.20,22.60,22.81,22.20
22.44,22.34,22.59,22.00
22.34,22.65,22.78,22.04
22.22,22.81,22.82,21.80
22.97,24.22,24.23,22.91
24.38,24.07,24.42,23.94
24.05,24.66,24.66,23.82
24.60,24.46,24.78,24.37
24.63,24.09,24.91,23.94
24.05,23.71,24.05,23.20
23.82,24.60,24.74,23.82
24.22,24.96,25.10,23.99
24.82,25.14,25.18,24.61
25.09,24.85,25.13,24.80
24.85,24.94,25.10,24.64
24.94,25.09,25.19,24.84
24.76,24.03,25.01,23.73
24.33,24.06,24.54,23.93
24.11,24.42,24.56,23.79
24.32,24.14,24.44,24.00
24.19,24.59,24.73,24.12
24.48,24.37,24.57,23.95
24.60,24.83,24.97,24.40
24.75,24.37,24.82,23.96
24.63,24.35,24.64,24.24
24.74,24.35,24.74,24.23
24.25,24.08,24.31,23.65
23.89,23.89,24.21,23.44
23.72,24.04,24.09,23.31
24.09,24.07,24.29,23.87
23.98,24.00,24.19,23.84
24.20,23.45,24.20,23.43
23.46,23.30,23.81,23.20
23.57,23.47,23.57,23.29
23.39,22.99,23.42,22.98
23.02,22.74,23.28,22.72
22.99,23.68,23.73,22.94
23.78,24.48,24.50,23.73
24.48,25.02,25.07,24.32
25.00,24.50,25.31,24.42
24.51,24.55,24.65,24.12
24.73,25.50,25.58,24.73
25.50,25.51,25.83,25.48
25.57,25.15,25.64,24.94
24.89,25.26,25.29,24.87
24.03,25.93,26.58,24.03
25.71,25.94,26.10,25.44
25.89,25.77,26.07,25.61
