TOL,Toll Brothers Inc. Common Stock,NASDAQ
18.85,19.05,19.05,18.59
19.03,19.05,19.11,18.32
18.93,18.94,19.18,18.68
19.39,20.26,20.44,19.39
20.12,20.03,20.41,19.74
20.18,19.95,20.28,19.63
19.82,19.77,19.82,19.34
19.81,20.18,20.29,19.59
19.63,19.74,20.02,19.60
19.36,19.34,19.49,19.12
19.32,19.56,19.66,19.12
19.43,19.10,19.47,18.90
19.12,18.66,19.20,18.57
18.64,18.28,19.14,18.20
18.50,18.15,18.54,17.64
18.09,18.22,18.45,18.00
18.17,18.40,18.52,17.90
18.41,18.49,18.65,18.11
18.50,18.47,18.89,18.38
18.56,18.62,18.63,18.07
18.96,19.66,19.75,18.96
19.63,19.50,19.70,19.20
19.29,18.82,19.39,18.77
18.79,18.65,18.89,18.15
18.65,19.01,19.31,18.46
19.21,19.07,19.23,18.75
18.96,19.14,19.27,18.61
19.10,19.83,19.87,18.89
19.68,19.87,20.00,19.44
19.98,20.05,20.13,19.72
20.10,19.71,20.24,19.53
19.67,19.10,19.67,19.02
19.05,19.16,19.29,18.85
19.26,19.39,19.53,19.24
19.30,18.90,19.54,18.81
19.36,18.78,19.37,18.37
18.54,18.73,18.73,18.31
18.61,18.83,18.87,18.37
18.81,19.01,19.07,18.81
19.10,18.95,19.26,18.85
19.06,19.34,19.50,18.93
19.33,19.16,19.54,19.00
19.22,19.53,19.59,19.22
19.56,19.76,19.83,19.56
19.65,20.14,20.37,19.62
20.07,20.21,20.53,20.02
20.14,20.10,20.20,19.88
20.21,19.90,20.25,19.82
19.88,19.82,19.94,19.53
19.81,20.44,20.53,19.79
20.50,20.28,20.69,20.25
20.23,20.32,20.46,20.23
20.27,20.27,20.57,20.22
20.07,20.32,20.50,20.02
20.34,20.43,20.49,20.21
20.57,20.61,20.93,20.56
20.78,20.71,21.25,20.71
20.71,21.26,21.39,20.71
21.38,21.07,21.39,20.88
21.04,21.01,21.36,20.87
20.89,20.80,21.11,20.73
20.97,20.47,21.05,20.36
20.61,20.80,21.00,20.50
20.64,20.42,20.66,20.30
20.40,20.14,20.54,19.97
20.10,20.27,20.30,19.94
20.37,20.33,20.47,20.18
20.35,20.33,20.45,20.08
20.34,20.06,20.62,20.04
20.20,20.69,20.82,20.05
20.58,20.56,20.67,20.30
20.52,20.43,20.52,20.09
20.31,20.44,20.59,20.19
20.51,20.88,20.94,20.37
20.88,21.65,21.76,20.84
21.42,22.40,22.63,21.39
22.56,23.00,23.67,22.51
23.02,22.79,23.50,22.67
22.65,22.16,22.97,22.08
22.34,22.24,22.80,22.21
22.40,22.89,23.14,22.24
23.07,22.57,23.44,22.57
22.73,23.15,23.31,22.61
22.85,22.42,22.85,21.77
22.09,22.02,22.59,21.58
21.84,21.50,22.39,20.00
21.32,20.70,21.79,20.49
21.62,22.38,22.55,21.45
22.07,22.39,23.05,22.01
22.50,22.44,22.95,22.32
22.01,21.30,22.14,21.23
21.10,20.91,21.21,20.50
20.93,20.88,21.16,20.19
21.19,21.15,21.72,21.03
21.11,20.80,21.65,20.40
20.29,20.31,20.74,20.05
20.08,20.69,20.97,19.88
20.65,20.52,21.05,20.48
19.94,20.61,20.76,19.87
21.00,20.78,21.93,20.65
21.23,21.12,21.38,20.55
21.12,21.07,21.34,20.82
20.85,20.13,21.03,20.12
20.31,20.73,20.76,20.14
20.83,20.23,20.89,20.10
19.91,19.50,20.06,19.38
19.50,18.61,19.66,18.45
18.64,18.59,18.94,18.07
18.67,18.30,18.94,18.14
18.66,18.83,19.09,18.41
18.68,18.84,18.97,18.50
19.04,18.64,19.15,18.57
18.74,18.93,18.95,18.39
18.67,18.78,19.01,18.46
18.49,18.03,18.70,17.78
18.05,17.95,18.05,17.55
18.18,17.63,18.23,17.55
17.62,17.06,17.90,17.00
17.09,17.49,17.76,16.90
17.60,17.43,17.76,17.12
17.44,17.20,17.44,16.88
17.17,17.05,17.34,16.93
16.86,16.61,17.14,16.45
16.56,16.36,16.77,16.34
16.34,16.40,16.54,16.00
16.47,16.11,16.47,15.94
16.36,16.02,16.45,15.85
16.09,16.48,16.53,15.96
16.65,16.49,16.78,16.18
16.48,16.92,16.96,16.37
16.81,16.74,16.88,16.49
17.06,17.56,17.65,16.87
17.45,17.16,17.45,16.95
17.13,17.48,17.54,16.88
17.32,16.43,17.34,16.41
16.49,16.23,16.56,16.11
16.05,16.95,17.00,15.95
17.11,16.51,17.15,16.36
16.78,17.14,17.29,16.69
17.12,17.47,17.50,16.90
17.43,17.89,18.04,17.34
18.07,17.27,18.09,17.21
17.20,16.86,17.32,16.72
17.04,17.08,17.29,16.67
16.86,17.36,17.43,16.71
17.57,18.02,18.05,17.33
17.98,17.49,17.98,17.43
17.61,17.27,17.90,17.25
17.10,17.00,17.30,16.95
16.82,17.24,17.25,16.74
17.37,17.71,17.85,17.37
17.50,17.43,17.60,17.24
17.04,16.71,17.11,16.65
16.44,16.38,16.59,16.31
16.37,16.43,16.63,16.30
16.28,16.24,16.65,16.20
16.40,16.74,16.95,16.32
16.72,17.10,17.25,16.57
17.03,16.60,17.09,16.58
16.54,16.57,16.66,16.31
16.63,16.20,16.68,16.18
16.04,16.19,16.44,15.57
16.50,17.13,17.25,16.20
17.24,17.00,17.28,16.86
17.14,17.35,17.40,16.89
17.23,17.06,17.44,17.05
17.04,17.29,17.53,16.96
17.58,17.65,17.79,17.44
17.74,17.93,18.07,17.54
18.14,18.20,18.34,17.90
18.13,17.96,18.25,17.92
18.05,18.09,18.40,18.01
18.38,18.25,18.50,18.15
18.45,18.52,18.66,18.29
18.70,18.68,18.79,18.54
18.69,18.67,18.92,18.46
18.57,18.49,18.73,18.41
18.41,18.17,18.49,17.89
18.24,18.04,18.35,17.98
18.29,18.63,18.77,18.01
18.90,18.66,19.00,18.58
18.59,18.55,18.93,18.48
18.35,18.25,18.52,18.14
18.45,18.84,18.91,18.45
18.82,18.78,18.89,18.49
18.87,19.09,19.22,18.58
19.07,19.00,19.07,18.87
19.18,19.02,19.31,18.94
19.13,18.84,19.33,18.79
