TOO,Teekay Offshore Partners L.P. Common Units representing Limited Partner Interests,NASDAQ
20.15,20.78,20.94,20.13
20.87,20.79,21.06,20.77
21.05,20.90,21.12,20.64
21.00,20.95,21.00,20.73
21.08,20.20,21.08,19.79
20.61,20.22,20.84,19.82
20.27,20.35,20.50,20.00
20.20,20.11,20.57,19.83
20.10,20.20,20.30,19.94
20.20,20.53,20.62,20.01
20.66,20.84,21.10,20.56
20.85,20.67,20.88,20.35
20.61,20.26,20.75,20.00
20.06,19.47,20.20,19.43
19.68,19.61,19.68,18.74
19.59,19.63,20.02,19.43
19.80,19.57,19.94,19.21
19.73,18.98,19.73,18.93
19.34,19.16,19.44,18.95
19.25,20.12,20.18,19.18
20.37,20.77,20.87,20.19
20.27,20.13,20.44,20.10
19.96,19.35,19.96,19.17
19.35,19.11,19.35,18.30
19.12,18.87,19.33,18.83
19.24,19.30,19.43,18.90
19.36,18.68,19.36,18.68
18.68,19.24,19.24,18.57
19.37,19.58,19.63,19.01
19.48,20.14,20.17,19.48
20.44,19.25,20.44,19.18
19.00,18.60,19.22,17.93
18.43,18.57,18.65,18.17
18.64,18.79,18.90,18.52
18.95,18.37,18.95,18.35
18.39,18.23,18.66,18.11
18.17,18.53,18.53,17.91
18.58,18.79,18.81,18.45
19.00,18.67,19.12,18.54
18.86,18.63,18.86,18.50
18.70,18.79,18.90,18.51
18.94,18.70,18.97,18.60
18.75,19.25,19.25,18.72
19.44,19.77,20.00,19.37
19.91,19.80,19.98,19.70
20.23,19.92,20.23,19.76
19.74,19.78,19.87,19.34
19.88,19.99,20.00,19.76
19.99,20.17,20.26,19.71
20.00,20.50,20.52,19.97
19.37,19.60,19.65,19.37
19.58,19.66,19.68,19.52
20.54,20.54,20.54,19.42
20.14,20.05,20.20,19.48
20.01,19.80,20.02,19.56
19.80,19.49,19.93,19.49
19.50,19.40,19.59,19.10
19.40,19.75,19.82,19.40
20.24,19.78,20.24,19.71
19.77,19.86,19.90,19.74
19.73,19.92,19.96,19.70
20.00,19.83,20.00,19.79
20.00,20.08,20.10,19.90
20.10,20.20,20.25,19.99
20.10,20.04,20.19,19.99
20.03,20.17,20.18,19.85
20.20,20.04,20.20,19.97
20.01,20.02,20.20,20.00
20.00,20.10,20.13,19.90
20.12,20.25,20.25,20.01
20.03,20.39,20.40,20.03
20.42,20.45,20.50,19.80
20.40,20.57,20.95,20.30
20.89,21.23,21.23,20.84
21.25,20.97,21.25,20.91
20.81,21.03,21.55,20.00
21.00,21.35,21.36,20.94
21.35,21.27,21.44,21.23
21.24,20.61,21.42,19.96
20.64,20.89,20.92,20.50
21.08,21.09,21.09,20.31
21.01,20.97,21.20,20.63
21.00,21.41,21.75,20.95
21.34,20.45,21.34,19.70
19.88,19.31,20.16,18.95
19.35,17.83,19.35,16.89
17.81,18.78,19.00,17.42
19.69,19.10,19.69,18.90
19.31,19.01,19.39,18.93
19.00,19.79,19.87,18.95
19.01,19.65,19.88,19.01
19.92,19.79,19.95,19.25
20.06,19.70,20.06,19.30
20.22,19.60,20.26,19.55
19.70,19.33,19.78,18.93
18.80,17.79,19.06,17.50
17.55,18.55,19.00,17.11
18.72,18.43,18.77,18.40
18.00,18.51,18.62,17.53
19.00,19.04,19.37,18.93
19.48,19.71,19.75,19.25
19.91,19.57,19.91,19.11
19.26,19.18,19.48,19.00
19.38,20.08,20.25,19.25
20.05,20.45,20.47,20.03
20.19,20.10,20.49,20.05
20.09,19.55,20.24,19.50
19.65,19.87,19.95,19.28
19.90,19.88,20.47,19.65
20.10,20.24,20.49,20.03
20.00,21.00,21.00,20.00
21.01,21.07,21.38,21.01
21.07,21.75,21.75,21.03
21.50,21.09,21.66,20.96
21.48,21.20,21.56,20.85
21.39,21.33,21.55,21.00
21.90,21.55,21.91,21.20
21.63,21.28,21.63,21.09
21.15,21.41,21.55,20.80
21.20,21.51,21.59,21.04
21.58,21.91,22.00,21.44
21.70,22.33,22.50,21.70
21.80,21.86,22.16,21.53
21.75,21.95,22.29,21.72
21.82,21.59,22.05,21.15
21.78,21.64,21.88,21.38
22.10,21.92,22.47,21.75
22.00,22.92,22.99,22.00
23.10,22.95,23.10,22.77
22.98,23.45,23.58,22.85
23.26,23.26,23.84,22.86
23.42,23.38,23.60,23.19
23.32,23.43,23.80,23.27
23.59,23.47,23.74,23.23
23.49,23.18,23.49,22.85
23.20,23.30,23.46,22.97
23.10,23.40,23.62,23.02
23.40,23.41,23.50,23.03
23.50,23.29,23.76,23.13
23.13,23.23,23.39,22.70
23.11,23.42,23.48,22.99
23.49,22.77,23.50,22.75
22.61,22.84,23.12,22.61
22.88,23.01,23.10,22.62
23.01,23.02,23.38,22.80
23.16,23.37,23.53,23.08
23.26,23.60,23.78,23.23
23.35,23.34,23.42,23.01
23.25,23.36,24.08,23.14
23.20,23.34,23.50,23.00
23.51,23.08,23.51,22.89
22.76,23.12,23.35,22.55
22.98,22.59,23.02,22.17
22.59,22.15,22.63,22.13
22.14,22.71,23.03,21.92
22.50,23.19,23.33,22.50
22.08,22.06,22.10,21.84
22.04,22.21,22.21,21.85
22.18,21.95,22.19,21.91
21.90,21.92,21.99,21.45
21.99,21.46,22.10,21.26
21.18,20.81,21.18,19.54
20.76,20.85,21.00,20.05
20.85,20.97,21.11,20.69
21.13,21.37,21.45,20.56
21.24,21.11,21.43,21.10
21.32,21.25,21.39,21.00
22.39,22.18,22.39,21.89
22.20,22.26,22.29,22.00
22.35,22.59,22.61,22.25
22.60,22.31,22.60,22.05
22.32,22.26,22.48,22.20
22.58,22.56,22.70,22.21
22.50,22.60,22.73,22.33
22.74,22.90,22.94,22.44
22.78,22.79,23.15,22.66
22.82,22.82,23.00,22.41
22.63,22.51,23.01,22.50
22.71,22.54,22.71,22.35
22.59,22.44,22.67,22.36
22.38,22.55,22.70,22.31
22.50,22.81,22.91,22.33
22.57,22.76,23.09,22.57
22.89,22.66,22.95,22.65
22.69,22.76,22.82,22.66
22.75,22.67,22.85,22.55
22.80,22.68,23.00,22.62
22.75,23.14,23.15,22.50
23.15,23.59,23.75,23.02
23.67,23.50,23.68,23.10
23.69,23.63,23.75,23.46
23.71,24.04,24.25,23.63
24.23,24.45,24.46,23.90
24.31,25.17,25.23,24.30
25.25,25.06,25.25,24.85
24.94,25.06,25.15,24.40
25.21,24.98,25.50,24.98
24.97,24.85,24.98,24.13
24.83,24.77,24.88,24.13
24.64,24.75,24.75,24.18
24.61,24.89,24.94,24.36
24.97,24.74,24.98,24.70
24.70,24.50,24.82,24.29
24.50,24.84,25.00,24.48
24.99,24.89,25.30,24.80
24.85,25.16,25.30,24.85
25.25,25.46,25.50,24.96
25.66,25.85,25.89,25.47
25.98,26.52,26.59,25.65
26.63,26.92,27.53,26.63
26.99,26.81,27.09,26.40
26.33,26.67,26.92,25.78
26.96,26.85,27.25,26.43
27.00,27.76,27.76,26.97
27.60,28.22,28.34,27.50
28.08,28.30,28.99,28.01
28.18,29.08,29.30,27.94
28.59,28.72,29.02,28.30
28.30,28.82,28.95,28.30
28.93,29.00,29.21,28.65
29.00,28.13,29.00,26.53
28.13,28.84,29.60,28.00
28.84,29.53,29.65,28.80
29.51,29.79,29.92,28.81
29.51,29.75,29.87,29.30
29.72,29.76,29.76,29.04
29.94,29.71,29.94,29.55
29.55,29.72,29.74,29.55
29.72,29.33,29.72,29.11
29.10,28.82,29.10,28.60
28.66,29.01,29.29,28.55
29.10,29.11,29.19,28.85
27.60,27.80,27.87,27.10
27.70,27.84,27.87,27.59
27.76,27.80,27.91,27.32
27.80,27.42,27.80,27.04
27.22,26.98,27.42,26.82
27.10,27.54,27.63,26.90
27.43,27.05,27.80,26.99
27.11,27.00,27.32,26.85
26.92,26.88,27.41,26.81
26.79,26.86,27.17,26.14
26.90,27.45,27.45,26.51
27.47,27.20,27.59,27.11
27.21,27.40,27.47,27.05
