TORM,TOR Minerals International Inc - Common Stock,NASDAQ
0.55,0.51,0.55,0.51
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.51,0.52,0.54,0.51
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.52,0.52,0.52,0.52
0.54,0.57,0.57,0.54
0.56,0.60,0.60,0.56
0.61,0.58,0.61,0.58
0.58,0.58,0.58,0.58
0.60,0.60,0.61,0.60
0.61,0.60,0.61,0.60
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.60,0.60,0.60,0.60
0.59,0.60,0.60,0.54
0.60,0.60,0.60,0.60
0.56,0.56,0.56,0.54
0.56,0.56,0.56,0.56
0.56,0.56,0.56,0.56
0.50,0.54,0.54,0.50
0.58,0.59,0.59,0.58
0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59
0.58,0.57,0.58,0.55
0.55,0.55,0.55,0.55
0.55,0.54,0.61,0.52
0.54,0.54,0.54,0.54
0.54,0.54,0.54,0.54
3.04,2.56,3.04,2.56
2.56,2.56,2.56,2.56
2.55,2.60,2.60,2.50
4.60,5.10,6.00,4.30
4.99,4.78,5.15,4.73
4.70,4.60,4.80,4.20
4.69,4.48,4.69,4.48
4.43,4.40,4.50,4.30
4.37,4.60,4.60,4.37
4.40,4.58,4.58,4.40
4.51,4.65,4.68,4.51
4.54,4.62,4.62,4.54
4.60,4.64,4.64,4.58
4.62,4.75,4.75,4.58
4.70,4.70,4.70,4.70
4.58,4.62,4.62,4.55
4.55,4.70,4.70,4.55
4.55,4.55,4.57,4.55
4.52,4.52,4.52,4.52
4.76,4.71,4.76,4.71
4.55,4.91,4.91,4.55
4.91,4.91,4.91,4.91
4.91,4.91,4.91,4.91
4.91,4.91,4.91,4.91
4.54,4.65,4.75,4.54
4.59,4.59,4.59,4.59
4.45,4.55,4.55,4.45
4.41,4.52,4.74,4.41
4.54,4.54,4.54,4.54
4.41,4.50,4.50,4.41
4.51,4.52,4.52,4.51
4.52,4.62,4.63,4.52
4.52,4.52,4.52,4.52
4.61,4.60,4.61,4.52
4.53,4.53,4.53,4.53
4.60,4.69,4.69,4.60
4.68,4.69,4.69,4.68
4.69,4.62,4.69,4.62
4.62,4.62,4.62,4.62
4.62,4.65,4.65,4.62
4.65,4.56,4.65,4.56
4.56,4.80,4.80,4.56
4.79,5.20,5.42,4.76
4.93,5.66,6.81,4.93
5.73,5.37,5.84,5.25
5.50,5.32,5.65,5.22
5.31,5.50,5.74,5.30
5.49,5.55,5.55,5.49
6.06,5.56,6.06,5.56
5.60,5.60,5.60,5.58
5.86,5.80,5.99,5.61
5.80,5.85,5.85,5.61
7.50,8.44,9.15,7.20
8.74,7.68,8.74,7.56
7.88,7.56,7.88,7.41
7.46,7.60,7.76,7.26
7.49,8.15,8.15,7.49
8.01,8.19,8.20,7.74
8.15,8.10,8.30,8.10
8.10,8.10,8.10,8.10
7.94,7.56,7.96,7.35
7.56,7.65,7.65,7.50
7.80,7.53,7.80,7.50
7.55,7.09,7.55,6.88
7.10,7.10,7.20,7.10
7.30,7.28,7.35,7.28
7.08,7.03,7.08,6.80
7.00,6.95,7.00,6.91
6.84,7.08,7.29,6.84
7.25,7.20,7.25,7.20
7.35,7.25,7.35,7.25
7.30,7.30,7.30,7.30
7.47,7.80,7.85,7.47
7.50,7.37,7.50,7.34
6.92,7.00,7.20,6.85
7.00,7.00,7.00,6.85
7.00,7.00,7.00,7.00
7.11,7.34,7.34,7.11
7.34,7.34,7.34,7.34
7.34,7.39,7.55,7.17
7.33,7.43,7.43,7.33
7.48,7.46,7.48,7.46
7.48,7.33,7.50,7.17
7.25,7.50,7.50,7.17
7.51,7.63,7.63,7.30
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.76,7.31,7.80,7.31
7.31,7.60,7.78,7.23
7.76,7.39,7.76,7.17
7.15,6.90,7.19,6.84
6.82,6.82,6.82,6.82
7.09,6.99,7.09,6.99
6.96,7.27,7.30,6.95
7.30,7.49,7.49,7.19
7.45,7.29,7.45,7.10
7.31,7.43,7.58,7.07
7.43,7.46,7.56,7.19
7.43,7.46,7.50,7.14
7.36,7.46,7.59,7.23
7.48,7.32,7.69,7.14
7.47,7.46,7.57,7.34
7.44,7.37,7.44,7.04
7.44,7.11,7.45,7.09
7.11,7.36,7.47,7.11
