TXN,Texas Instruments Incorporated - Common Stock,NASDAQ
26.20,26.01,26.61,25.89
25.95,25.86,26.30,25.70
25.90,25.67,26.03,25.56
25.60,25.75,25.84,25.36
25.60,26.34,26.34,25.52
26.34,26.00,26.49,25.72
26.02,24.91,26.03,24.67
25.01,25.02,25.16,24.67
24.89,24.71,25.00,24.48
24.68,24.50,24.77,24.20
24.45,24.72,24.78,24.35
24.52,24.55,24.61,24.20
24.55,24.18,24.88,24.01
24.10,23.11,24.17,23.00
23.41,23.69,23.82,23.20
23.39,23.35,23.90,23.29
23.37,23.53,23.66,23.08
23.46,23.05,23.51,22.69
23.11,22.50,23.37,22.28
22.56,23.05,23.08,22.56
22.97,23.31,23.37,22.94
23.26,23.20,23.32,22.93
23.01,22.59,23.01,22.40
22.55,22.97,23.13,22.50
23.00,23.10,23.37,22.70
23.33,23.38,23.66,23.27
23.39,23.44,23.58,23.14
23.43,23.77,24.00,23.30
23.54,24.03,24.27,23.40
24.13,24.79,24.88,24.13
24.86,24.71,24.97,24.30
24.65,24.83,24.86,24.39
24.80,25.01,25.06,24.59
25.02,24.73,25.15,24.62
24.67,24.30,24.72,24.06
24.53,24.75,25.00,24.48
24.21,24.52,24.55,24.01
24.45,24.38,24.61,24.23
24.53,24.63,24.93,24.47
24.54,24.48,24.92,24.25
24.57,24.40,24.79,24.35
24.46,24.67,24.75,24.16
24.80,24.97,25.09,24.61
25.09,24.69,25.09,24.55
24.29,24.19,24.49,23.87
24.19,24.59,24.68,24.17
24.38,24.07,24.40,23.80
24.10,24.00,24.24,23.90
23.91,23.94,23.99,23.70
24.01,24.68,24.75,23.96
24.56,24.91,25.00,24.56
24.89,24.72,25.00,24.55
24.36,24.36,24.73,24.13
24.22,24.73,24.75,24.17
24.80,25.45,25.48,24.73
25.31,24.79,25.33,24.72
25.16,24.79,25.22,24.78
24.91,24.75,25.03,24.51
24.86,24.73,25.07,24.62
24.73,24.61,24.89,24.50
24.58,24.47,24.77,24.38
24.64,24.63,25.00,24.44
24.73,25.39,25.50,24.66
25.24,25.05,25.30,24.93
25.11,25.32,25.40,24.89
25.12,24.72,25.32,24.72
24.87,24.94,24.97,24.62
25.26,25.69,25.98,25.24
25.63,25.87,26.00,25.58
26.41,26.90,26.91,26.38
26.87,26.99,27.00,26.60
26.73,26.58,26.81,26.35
26.47,26.43,26.68,25.91
26.60,26.65,26.84,26.40
26.74,26.42,26.90,26.06
25.95,26.50,26.60,25.40
26.47,26.67,26.75,26.03
26.86,27.16,27.35,26.79
26.80,26.54,27.44,26.41
26.75,26.40,26.76,26.09
26.64,27.01,27.05,26.36
26.91,26.01,26.95,26.01
26.23,26.45,26.72,26.10
26.18,25.74,26.22,25.44
25.53,25.87,26.18,25.19
25.78,25.07,26.12,23.49
24.91,24.74,25.27,23.96
25.68,25.82,26.00,25.45
25.50,25.65,26.15,25.25
25.81,26.10,26.15,25.67
25.98,25.49,26.09,25.41
25.27,24.88,25.36,24.50
24.95,25.42,25.50,24.66
25.60,24.54,25.66,24.39
24.43,24.65,24.87,24.10
24.14,24.26,24.70,23.90
23.89,24.57,24.84,23.60
24.45,24.24,24.60,24.15
23.62,24.40,24.44,23.45
24.54,24.14,24.82,24.04
24.51,24.85,24.87,24.46
24.77,24.42,24.90,24.20
24.28,24.35,24.86,24.27
24.52,24.76,24.78,24.24
24.81,25.04,25.18,24.65
24.66,24.18,24.95,24.07
24.32,23.67,24.56,23.61
23.99,23.88,24.00,23.09
24.30,23.74,24.54,23.64
24.20,24.53,24.57,24.04
24.27,24.45,24.59,24.15
24.74,24.57,24.89,24.51
24.75,25.70,25.76,24.53
25.33,25.42,25.60,25.10
25.69,25.53,25.69,25.21
25.51,25.45,25.69,25.27
25.76,25.25,25.85,25.11
25.34,24.75,25.58,24.69
24.88,24.78,25.10,24.47
24.60,24.28,24.75,24.17
24.22,24.04,24.43,23.86
24.16,24.36,24.50,24.02
24.05,23.89,24.09,23.68
24.01,23.28,24.07,23.16
23.21,23.17,23.47,22.65
23.30,23.11,23.39,22.71
23.37,23.12,23.54,22.94
23.20,24.25,24.27,23.15
24.42,24.22,24.47,23.86
24.38,24.48,24.51,24.17
24.36,24.75,24.80,24.36
25.08,25.39,25.54,24.95
25.58,25.09,25.80,24.96
25.07,25.40,25.45,24.75
25.20,24.77,25.43,24.73
24.87,25.55,25.58,24.87
24.16,24.77,24.89,24.01
24.77,24.50,24.92,24.40
24.67,25.29,25.42,24.65
25.25,25.38,25.46,25.00
25.28,25.66,25.66,25.09
25.79,25.58,25.92,25.47
25.42,25.22,25.62,25.10
25.35,24.88,25.40,24.64
24.59,24.69,24.88,24.25
24.65,25.11,25.23,24.41
25.07,24.81,25.10,24.70
24.82,25.18,25.25,24.62
25.07,25.40,25.53,24.90
25.20,25.46,25.60,25.06
25.55,25.70,25.85,25.35
25.38,25.35,25.54,24.97
25.01,24.97,25.14,24.86
24.30,24.41,24.97,24.22
24.36,24.28,24.69,24.24
24.18,24.53,24.59,24.03
24.79,24.70,24.87,24.65
24.75,24.91,25.14,24.54
24.85,24.53,25.05,24.45
24.44,24.70,24.87,24.44
24.76,24.37,24.86,24.36
24.12,24.27,24.58,24.03
24.07,24.31,24.41,23.86
24.31,23.83,24.34,23.75
23.94,24.15,24.22,23.34
23.77,23.25,23.90,23.25
23.21,23.02,23.59,22.95
23.36,23.75,23.86,23.16
23.76,24.04,24.12,23.71
24.27,24.33,24.49,23.94
24.07,23.62,24.12,23.55
23.61,23.68,23.77,23.35
23.93,23.84,24.16,23.71
23.57,23.70,23.89,23.26
24.01,24.46,24.49,23.98
24.37,24.69,24.93,24.11
24.50,24.67,24.71,24.26
24.70,24.98,24.99,24.45
25.59,25.72,25.85,25.24
25.70,25.86,25.93,25.22
25.88,25.80,26.08,25.61
25.61,25.44,25.97,25.32
25.36,25.77,26.25,25.12
26.08,26.93,26.94,26.08
26.85,26.68,27.00,26.66
26.64,27.06,27.17,26.44
26.91,26.84,27.08,26.72
26.89,27.14,27.40,26.74
27.31,27.25,27.61,26.92
27.20,27.21,27.58,27.01
27.44,28.33,28.50,27.41
28.23,28.31,28.56,27.86
28.38,28.14,28.40,27.86
28.12,28.73,28.86,27.80
28.76,28.77,28.98,28.60
28.62,28.68,28.85,28.33
28.35,28.12,28.45,28.03
28.17,28.31,28.54,27.93
28.49,28.72,28.81,28.23
28.64,28.36,28.71,28.04
27.95,28.03,28.52,27.53
28.23,28.09,28.24,27.77
28.25,28.22,28.31,27.92
28.21,28.66,28.71,28.17
28.90,28.98,29.19,28.82
28.71,28.88,28.91,28.30
28.64,29.44,29.48,28.52
29.26,29.24,29.43,28.99
29.17,29.57,29.75,29.05
29.77,29.44,29.84,29.16
29.74,29.60,29.90,29.56
29.68,30.00,30.00,29.52
30.07,30.75,30.79,29.95
30.78,31.47,31.47,30.70
31.26,31.38,31.47,31.16
31.50,31.34,31.59,31.19
31.33,31.34,31.43,30.76
30.15,30.80,30.93,29.90
30.77,30.95,31.38,30.57
30.97,30.85,31.21,30.83
30.45,30.57,30.85,30.37
30.40,30.91,31.05,30.34
31.19,31.48,31.51,31.09
31.51,31.94,31.95,31.46
31.85,32.24,32.26,31.72
31.91,31.98,32.22,31.85
32.10,32.55,32.56,32.04
32.26,32.20,32.51,32.20
31.83,32.20,32.33,31.83
31.92,31.80,32.01,31.64
32.42,32.58,32.94,32.35
32.58,32.85,32.86,32.54
32.70,32.82,32.98,32.51
32.93,32.95,33.01,32.62
33.24,33.41,33.64,33.14
33.05,33.75,33.75,33.01
33.88,33.74,33.93,33.57
33.65,32.80,33.74,32.71
32.91,32.60,33.00,32.59
32.72,32.80,32.86,32.55
32.79,32.64,32.94,32.51
32.67,32.62,32.77,32.15
32.56,32.53,32.99,32.48
32.65,32.33,32.69,32.21
32.52,32.44,32.68,32.38
32.31,32.47,32.54,32.13
32.45,32.36,32.50,32.13
32.22,32.38,32.44,32.00
32.51,32.24,32.51,32.07
32.36,32.51,32.60,32.14
32.46,32.50,32.61,32.25
32.50,32.50,32.63,32.33
32.69,32.73,32.99,32.32
32.66,32.67,32.83,32.25
32.57,32.80,32.86,32.25
32.82,33.25,33.34,32.73
33.32,33.22,33.47,32.87
32.99,33.38,33.50,32.94
33.45,33.50,33.68,33.30
33.70,33.66,33.79,33.35
33.36,33.48,33.52,33.05
33.57,34.04,34.05,33.43
33.96,34.85,34.86,33.96
34.28,34.16,34.70,34.07
34.03,33.91,34.19,33.55
34.40,33.91,34.49,33.91
34.08,34.65,34.65,33.87
34.30,33.98,34.80,33.69
34.09,34.32,34.41,33.67
34.10,34.63,34.84,34.05
34.58,34.27,34.87,34.02
34.02,33.91,34.27,33.79
34.19,35.00,35.00,34.13
34.80,35.12,35.29,34.80
35.08,34.99,35.21,34.70
35.15,35.44,35.54,35.10
35.51,35.26,35.84,35.13
35.33,35.28,35.43,35.05
35.08,35.10,35.27,34.96
34.90,35.19,35.24,34.75
35.17,35.62,35.80,35.04
35.57,35.83,35.96,35.47
35.71,35.97,36.07,35.43
36.05,36.05,36.30,35.85
35.99,36.48,36.48,35.90
36.41,36.23,36.55,36.15
35.79,35.75,36.23,35.50
35.81,35.40,35.81,34.89
35.49,35.43,35.81,34.93
35.57,35.62,35.80,35.40
35.80,35.61,35.92,35.08
35.81,35.00,35.88,34.94
35.36,36.14,36.55,35.31
36.27,36.56,36.71,36.12
36.53,36.27,36.54,36.02
36.40,35.48,36.59,35.16
35.65,35.86,35.99,35.25
35.30,34.74,35.44,34.43
34.35,34.25,34.69,34.03
34.07,34.39,34.94,34.02
34.40,34.56,34.74,34.28
33.40,33.90,34.12,32.75
33.79,32.79,33.80,32.33
33.13,33.07,33.49,32.86
33.44,33.36,33.59,33.10
33.52,33.68,34.12,33.41
33.78,33.64,33.94,33.45
