TZOO,Travelzoo Inc. - Common Stock,NASDAQ
12.33,12.51,12.87,12.00
12.52,12.48,12.70,12.41
12.39,12.39,12.70,12.35
12.44,12.40,12.61,12.17
12.35,12.37,12.64,12.24
12.06,12.48,12.91,12.06
12.48,12.25,12.48,12.09
12.22,12.35,12.47,12.06
12.39,12.45,12.48,12.30
12.49,11.87,12.56,11.66
11.87,12.11,12.21,11.87
12.02,11.59,12.10,11.57
11.63,11.17,11.91,11.14
11.11,10.65,11.20,10.59
10.74,10.51,10.80,10.30
10.44,10.43,10.65,10.29
10.52,10.81,10.92,10.52
10.80,10.72,10.84,10.70
10.75,10.73,10.80,10.68
10.78,10.84,11.06,10.78
10.90,11.05,11.15,10.84
11.84,11.93,12.07,11.59
11.84,10.98,11.84,10.97
10.98,11.59,11.67,10.96
11.52,11.48,11.70,11.02
11.65,11.14,11.80,11.06
11.15,11.54,11.79,11.05
11.49,11.26,11.57,10.98
11.14,11.18,11.35,10.99
11.18,11.46,11.60,11.15
11.47,11.39,11.58,11.27
11.21,11.27,11.47,11.11
11.27,11.27,12.23,11.23
11.25,11.45,11.75,11.25
11.57,11.39,11.84,11.23
11.44,11.39,11.65,11.33
11.30,11.23,11.46,11.18
11.29,11.40,11.48,11.28
11.40,11.48,11.59,11.28
11.51,11.89,12.26,11.50
12.73,11.90,12.74,11.64
12.38,12.12,12.45,12.03
12.12,12.41,12.50,11.87
12.36,15.03,15.29,12.31
14.87,13.75,16.15,13.57
13.75,13.68,14.01,13.56
13.59,14.43,14.44,13.50
14.57,14.63,14.87,14.41
14.66,14.54,14.88,14.21
14.75,14.59,14.92,14.31
14.60,14.20,14.81,14.13
14.20,13.84,14.43,13.48
13.92,13.34,13.92,13.13
13.34,13.50,13.73,13.34
13.53,13.62,13.65,13.34
13.62,13.62,14.01,13.35
13.63,13.48,14.03,13.41
13.51,13.61,13.76,13.38
13.58,14.19,14.38,13.58
14.23,14.58,14.83,14.23
14.51,15.01,15.43,14.25
15.26,15.12,15.39,14.97
15.11,16.00,16.10,15.11
15.87,16.43,16.44,15.82
16.40,15.99,16.44,15.60
15.89,15.64,15.89,15.51
