UAG,E-TRACS USB Bloomberg Commodity Index Exchange Traded Notes E-TRACS UBS Bloomberg CMCI Agriculture ETN,NASDAQ
22.94,22.87,22.95,21.86
22.85,22.84,23.85,22.69
22.74,22.22,22.82,22.22
22.61,22.52,22.64,22.50
22.42,22.34,22.46,22.20
22.35,22.35,22.35,22.35
21.77,21.36,21.77,21.36
21.36,21.77,21.77,21.36
21.41,21.37,21.44,21.37
21.43,21.29,21.52,21.29
21.20,21.27,21.28,21.20
21.16,21.02,21.16,20.97
20.97,21.24,21.24,20.97
21.12,21.10,21.12,21.10
21.19,21.09,21.20,21.09
20.97,20.84,21.00,20.77
20.52,20.49,20.52,20.48
20.57,20.78,20.85,20.57
20.78,20.72,20.81,20.46
20.70,20.56,20.70,20.51
20.56,20.56,20.56,20.56
21.59,20.96,21.59,20.96
20.55,20.35,20.84,20.11
20.45,20.05,20.45,20.00
20.05,20.05,20.05,20.05
20.96,20.88,21.24,20.74
20.88,20.88,20.88,20.88
21.00,21.13,21.13,21.00
20.93,20.93,20.93,20.93
20.93,20.93,20.93,20.93
21.12,20.99,21.12,20.25
20.09,21.00,21.03,20.09
21.00,21.00,21.00,21.00
21.00,21.00,21.00,21.00
21.02,20.80,21.02,20.80
21.11,21.03,21.11,21.03
20.75,20.54,20.75,20.45
21.29,20.84,21.29,20.83
20.50,20.41,20.50,20.41
20.41,20.41,20.41,20.41
20.41,20.41,20.41,20.41
20.11,20.11,20.11,20.11
20.11,20.11,20.11,20.11
20.05,20.05,20.05,20.05
20.00,19.76,20.00,19.76
19.76,19.76,19.76,19.76
19.03,19.79,19.79,19.03
19.79,19.79,19.79,19.79
19.31,19.39,19.45,19.31
19.39,19.39,19.39,19.39
19.70,19.88,20.15,19.51
19.88,19.88,19.88,19.88
19.90,19.90,20.35,19.85
21.39,19.54,21.39,19.54
19.54,19.54,19.54,19.54
19.53,19.66,20.02,19.35
20.21,19.24,20.21,19.06
19.39,19.60,20.35,19.36
19.76,19.76,19.76,19.76
19.31,19.26,19.31,19.26
18.66,18.66,18.66,18.66
19.13,19.13,19.56,19.12
18.14,18.98,18.98,18.14
18.98,18.98,18.98,18.98
18.98,18.98,18.98,18.98
19.29,19.18,19.34,19.18
19.18,19.18,19.18,19.18
19.18,19.18,19.18,19.18
19.38,19.38,19.38,19.38
19.67,19.76,19.76,18.66
19.77,19.77,19.77,19.77
19.69,18.97,19.69,18.97
19.54,19.45,19.58,19.43
19.65,19.63,19.65,19.63
19.78,19.78,19.78,19.78
19.67,19.65,19.70,19.65
19.70,19.70,19.70,19.70
19.70,19.70,19.70,19.70
19.30,19.17,19.30,19.10
19.15,19.15,19.15,19.15
19.35,19.40,19.45,19.35
19.44,19.51,19.51,19.39
19.47,19.39,19.47,19.39
19.15,19.18,19.18,19.15
