UBSI,United Bankshares,NASDAQ
20.43,21.03,21.03,20.28
21.21,20.45,21.48,20.25
20.36,20.63,20.98,20.15
20.55,21.25,21.31,20.33
21.23,21.64,21.77,21.01
21.72,21.17,21.84,21.13
21.05,21.36,21.78,21.04
21.26,21.41,21.48,20.64
21.47,21.92,21.97,21.39
22.23,22.44,22.50,21.65
22.46,22.47,22.79,22.20
22.31,21.85,22.70,21.06
22.00,23.04,23.32,21.75
22.90,22.60,23.39,22.58
22.89,22.31,23.26,22.00
22.28,21.84,22.29,21.56
21.84,23.93,24.30,21.84
23.92,24.22,24.39,23.25
24.39,24.90,25.00,23.92
24.93,24.25,24.99,23.80
24.16,23.77,24.75,23.67
23.75,23.51,23.99,22.84
23.36,23.15,23.36,22.41
23.14,23.67,23.94,22.74
23.58,23.23,23.68,23.02
23.66,23.45,23.69,22.88
23.35,23.40,23.48,23.00
23.28,23.55,23.56,23.12
23.39,23.76,23.76,23.33
23.89,24.68,24.70,23.52
24.74,24.76,24.76,24.05
24.75,25.12,25.17,24.31
25.12,24.92,25.20,24.59
25.04,25.00,25.04,24.61
25.05,24.77,25.15,24.46
24.93,25.14,25.61,24.82
24.85,25.02,25.08,24.69
25.12,24.62,25.12,24.28
24.75,24.97,25.00,24.63
24.95,25.05,25.16,24.80
25.10,24.99,25.37,24.84
25.10,25.27,25.28,24.88
25.36,26.73,26.80,25.32
26.64,26.35,26.81,26.30
26.31,26.30,26.52,26.10
26.10,26.42,26.49,26.09
26.26,26.55,26.74,26.14
26.60,27.05,27.05,26.60
27.05,26.83,27.05,26.50
26.85,27.40,27.41,26.29
27.46,27.33,27.65,26.99
27.26,27.50,27.60,27.21
27.50,27.56,27.56,27.00
27.32,28.00,28.00,27.16
28.00,27.83,28.00,27.38
27.65,27.02,27.83,26.96
27.28,27.12,27.84,27.04
27.11,26.78,27.36,26.72
26.81,26.34,26.93,26.14
26.30,26.37,26.59,26.04
26.19,26.22,26.97,26.00
26.57,26.80,26.80,26.22
26.98,27.18,27.18,26.78
27.01,27.95,28.67,26.92
27.83,27.99,28.64,27.80
27.86,28.26,28.48,27.86
28.29,28.87,28.93,28.23
28.80,29.00,29.00,28.77
28.85,29.26,29.26,28.75
29.31,30.00,30.00,29.23
29.87,30.03,30.65,29.70
30.18,29.50,30.18,29.01
29.27,29.87,29.98,29.03
29.92,30.00,30.15,29.67
29.90,30.55,30.73,29.75
30.19,31.54,31.79,30.09
31.47,31.54,31.99,31.32
31.40,30.07,31.40,29.42
29.91,29.20,30.22,29.20
29.30,29.36,30.29,29.25
29.57,30.96,30.96,29.32
30.96,29.04,31.00,29.00
29.31,29.55,29.76,28.76
29.32,28.67,29.42,28.34
28.16,28.52,28.89,27.94
28.22,27.53,29.00,26.09
27.50,27.18,28.00,26.76
28.30,28.51,29.09,27.95
28.01,29.06,29.94,28.01
29.06,29.91,30.15,28.92
29.93,30.26,30.29,29.79
29.90,29.71,29.99,29.07
29.88,29.82,30.24,29.12
30.14,29.38,30.30,29.30
29.22,29.04,29.60,28.53
28.53,27.45,28.87,27.42
27.31,27.81,28.25,26.84
27.76,26.89,27.92,26.80
26.52,26.85,27.00,26.14
27.00,26.91,27.51,26.85
27.44,27.68,27.78,26.93
27.51,26.92,27.51,26.68
26.60,26.16,27.25,26.16
26.35,26.90,27.13,26.00
26.82,27.24,27.43,26.63
26.59,25.18,26.59,25.08
25.39,25.80,26.11,25.14
25.84,25.92,26.19,25.30
25.62,25.17,25.67,24.93
25.53,25.80,26.07,25.09
25.43,25.63,26.01,25.16
25.81,25.65,26.03,25.38
25.78,26.17,26.24,25.76
25.93,26.42,26.64,25.93
26.37,26.54,26.57,26.20
26.68,26.55,26.78,26.10
26.85,26.44,26.89,26.35
26.46,25.85,26.98,25.80
25.85,25.33,26.02,25.32
25.17,24.88,25.67,24.86
24.95,25.37,25.62,24.92
25.48,25.24,25.55,25.09
24.79,24.30,24.90,24.16
24.02,23.94,24.60,23.82
24.12,24.06,24.39,23.39
24.29,23.50,24.29,23.05
23.90,23.36,24.20,23.21
23.38,23.99,24.09,23.37
24.28,24.60,24.65,23.75
24.49,25.30,25.35,24.45
25.14,24.81,25.26,24.66
25.08,26.16,26.22,24.91
26.03,26.36,26.38,25.69
26.31,25.96,26.42,25.60
25.82,24.53,26.22,24.33
24.57,24.46,24.86,23.85
24.06,24.54,24.58,23.36
