UFCS,United Fire Group,NASDAQ
18.41,18.48,18.84,18.16
18.50,17.67,18.50,17.48
17.62,17.49,17.82,17.31
17.45,17.62,17.69,17.41
17.60,17.64,17.78,17.51
17.65,17.43,17.73,17.36
17.34,17.31,17.52,17.10
17.40,17.44,17.58,17.38
17.39,17.44,17.66,17.39
17.53,17.36,17.59,17.07
17.37,17.88,17.88,17.37
17.75,17.43,17.79,17.02
17.51,17.22,17.51,16.83
17.16,16.92,17.33,16.87
17.03,17.05,17.23,16.82
17.04,16.88,17.16,16.86
16.77,17.00,17.09,16.77
17.08,16.82,17.22,16.59
16.87,16.82,17.14,16.80
16.85,16.92,17.09,16.70
16.90,16.96,17.06,16.90
16.93,16.90,17.13,16.60
16.81,16.29,16.92,16.21
16.29,16.58,16.64,16.11
16.43,16.47,16.58,16.40
16.63,16.70,16.70,16.50
16.58,16.49,16.70,16.33
16.40,16.81,16.88,16.30
16.69,16.89,16.92,16.53
17.06,16.84,17.06,16.61
16.81,16.48,16.81,15.99
16.48,16.68,16.68,16.00
16.68,16.89,16.97,16.56
16.94,17.30,17.32,16.75
17.31,17.31,17.52,17.17
17.40,17.71,17.91,17.25
17.48,17.56,17.60,17.34
17.63,17.00,17.86,17.00
17.12,17.08,17.18,16.89
17.16,17.59,17.59,16.93
17.57,17.55,17.62,17.44
17.60,17.61,17.63,17.40
17.65,17.97,18.02,17.53
18.02,18.35,18.40,18.02
18.15,18.13,18.27,18.01
18.08,18.10,18.41,18.01
18.00,18.16,18.22,17.80
18.18,17.99,18.28,17.82
18.02,17.78,18.02,17.53
17.79,17.81,17.81,17.67
17.88,18.18,18.29,17.83
18.17,18.14,18.27,18.05
18.25,18.28,18.28,17.75
18.15,18.28,18.29,18.02
18.24,18.51,18.52,18.13
18.44,18.60,18.75,18.19
18.67,18.30,18.92,18.21
18.43,18.30,18.68,18.14
18.30,18.13,18.37,17.97
18.21,18.25,18.38,18.08
18.15,17.99,18.51,17.99
18.04,17.72,18.04,17.55
17.84,17.99,18.01,17.55
17.84,18.38,18.45,17.84
18.26,18.48,18.50,18.13
18.36,18.44,18.48,18.28
18.39,18.08,18.39,17.98
18.06,17.98,18.17,17.86
17.90,18.07,18.15,17.61
18.11,18.47,18.51,17.91
18.50,18.74,18.81,18.37
18.75,18.83,18.93,18.54
18.70,18.87,18.94,18.56
18.90,19.40,19.43,18.77
19.36,19.37,19.37,19.20
19.15,19.35,19.36,19.06
19.30,19.50,19.50,19.19
19.77,23.26,23.33,19.77
23.28,22.86,24.57,22.44
23.05,23.45,23.70,23.00
23.56,23.50,23.56,22.96
23.43,22.87,23.50,22.82
23.05,23.35,23.66,22.99
23.05,22.50,23.27,22.20
22.22,22.17,22.80,22.01
22.10,21.32,22.37,21.01
21.24,20.54,21.24,20.25
21.43,21.99,22.28,21.02
21.77,22.30,22.62,21.77
22.42,22.62,22.79,22.40
22.62,22.52,22.80,22.33
22.39,22.45,22.56,22.01
22.50,23.41,23.42,22.43
23.62,22.76,23.62,22.71
22.50,22.42,22.80,22.11
22.23,21.20,22.23,21.11
21.00,21.37,21.54,20.78
21.29,20.76,21.35,20.71
20.36,21.34,21.48,20.36
21.42,20.82,21.72,20.76
21.17,22.03,22.09,19.87
22.02,21.35,22.02,21.11
21.12,20.93,21.78,20.72
21.09,21.37,21.46,20.78
21.51,21.54,21.74,21.22
20.98,19.98,21.08,19.94
20.02,20.07,20.56,19.79
20.13,19.92,20.42,19.61
20.11,19.98,20.25,19.68
20.34,20.53,20.56,19.70
20.30,20.88,21.02,20.30
21.00,20.99,21.35,20.88
21.14,22.04,22.13,20.98
21.86,21.59,21.86,21.46
21.77,21.58,21.77,21.37
21.60,21.61,21.66,21.18
21.94,20.84,21.97,20.67
20.94,20.87,21.34,20.86
20.86,20.83,21.08,20.52
20.76,20.60,20.99,20.43
20.75,21.09,21.18,20.43
21.15,21.27,21.45,20.92
20.87,20.24,20.95,20.06
20.30,19.82,20.73,19.71
19.93,19.79,20.26,19.39
19.91,19.73,19.91,19.42
19.98,19.06,20.09,19.01
19.19,19.57,19.60,19.10
19.71,19.73,19.73,19.36
19.68,20.25,20.29,19.68
20.22,19.73,20.25,19.71
20.05,20.51,20.61,19.82
20.33,20.23,20.44,20.11
20.28,20.06,20.38,19.82
19.86,19.17,19.97,19.09
19.17,19.19,19.29,18.86
18.92,19.55,19.58,18.92
19.74,19.14,19.91,19.12
19.46,19.86,19.89,19.14
19.71,20.37,20.40,19.71
20.49,20.90,21.06,20.39
21.11,21.29,21.65,21.01
21.18,21.18,21.48,21.14
21.42,21.35,21.75,21.11
21.00,21.44,21.80,21.00
21.83,21.71,21.97,21.46
21.61,21.34,21.82,21.33
21.39,21.49,21.66,21.32
21.27,21.17,21.46,21.14
20.83,20.65,20.97,20.26
20.85,20.74,20.90,20.53
20.56,20.40,20.56,19.91
19.95,19.89,20.19,19.80
19.51,20.15,20.23,19.45
20.11,19.88,20.11,19.71
19.72,20.23,20.25,19.41
20.43,20.43,20.59,20.31
20.47,20.47,20.57,20.21
20.37,19.66,20.47,19.62
19.50,19.90,19.94,19.40
20.09,19.63,20.26,19.61
19.30,19.82,20.17,19.30
19.62,20.63,20.69,19.62
20.73,20.19,20.73,20.11
20.48,20.78,20.88,20.06
20.62,19.95,20.62,19.92
19.85,20.23,20.31,19.79
20.49,21.21,21.23,20.29
21.09,21.32,21.37,21.07
21.62,21.83,21.93,21.43
21.81,21.28,21.81,21.20
21.40,21.52,21.76,21.40
21.86,21.65,21.98,21.50
21.69,21.60,21.96,21.52
21.77,22.39,22.50,21.74
22.37,22.04,22.44,22.01
22.00,22.08,22.20,21.72
21.98,21.75,22.04,21.57
22.04,21.67,22.08,21.35
21.69,22.57,22.60,21.56
22.50,22.18,22.67,22.16
22.15,21.58,22.35,21.50
21.37,20.83,21.47,20.82
21.16,21.29,21.37,20.82
21.23,20.72,21.44,20.67
20.83,21.14,21.32,20.55
21.02,21.37,21.51,21.02
21.58,21.21,21.58,21.09
21.47,21.05,21.52,20.93
20.93,20.59,21.11,20.55
20.87,21.22,21.30,20.47
21.20,21.30,21.47,21.17
21.43,21.15,21.60,21.10
20.87,20.98,21.22,20.61
20.91,20.78,20.99,20.78
20.78,20.57,20.78,20.46
20.61,20.98,21.11,20.59
21.00,21.26,21.28,20.95
21.55,21.07,21.55,20.92
21.06,21.20,21.31,21.03
20.84,20.83,21.20,20.45
21.01,21.04,21.13,20.81
21.21,20.55,21.21,20.19
20.69,20.81,20.86,20.58
20.90,20.99,21.12,20.87
20.77,20.31,20.93,20.22
20.28,20.03,20.28,19.94
20.28,19.99,20.59,19.85
19.85,20.03,20.65,19.82
20.06,20.04,20.36,19.82
20.23,20.46,20.47,20.07
20.43,20.75,20.80,20.35
21.02,21.28,21.35,20.61
21.38,21.10,21.71,20.98
20.97,20.95,21.19,20.87
21.07,20.65,21.07,20.58
20.67,21.19,21.20,20.52
20.89,20.94,21.07,20.70
20.70,20.51,20.76,20.40
20.61,20.50,20.66,20.23
20.28,20.12,20.30,19.98
20.15,20.13,20.24,19.87
20.42,20.38,20.75,20.20
20.29,20.30,20.37,19.94
20.13,20.19,20.28,19.86
