ULTI,The Ultimate Software Group,NASDAQ
29.62,30.00,30.16,29.62
30.00,29.84,30.13,29.80
29.86,29.52,30.19,29.46
29.58,29.40,29.72,29.12
29.40,29.72,29.73,29.00
29.89,29.77,29.89,29.33
29.47,29.45,29.56,28.82
29.41,29.66,29.83,29.39
29.68,30.52,30.83,29.68
30.67,30.55,30.94,30.14
30.50,31.65,31.78,30.00
31.52,31.00,31.76,30.63
30.94,30.70,31.40,30.38
30.69,30.10,30.93,30.05
30.57,29.92,30.57,29.81
29.81,29.96,30.10,29.43
29.76,30.43,30.57,29.76
30.39,30.08,30.45,29.45
30.28,29.90,30.51,29.87
30.00,30.08,30.21,29.73
30.01,30.00,30.39,29.72
29.83,29.69,30.33,29.68
29.56,28.45,29.56,28.41
28.60,28.68,28.70,27.76
28.33,28.54,29.08,28.08
28.96,28.84,29.08,28.25
26.85,28.18,28.42,26.81
27.95,27.69,28.15,27.40
27.50,28.67,28.67,27.19
28.74,29.02,29.19,28.74
29.20,29.84,30.00,28.99
29.85,30.00,30.08,29.72
30.01,30.29,30.39,29.90
30.47,30.25,30.93,30.20
30.26,30.30,30.33,29.78
30.74,31.07,31.15,30.40
30.59,31.24,31.31,30.42
31.17,30.92,31.42,30.91
30.99,31.39,31.81,30.99
31.40,31.59,31.64,31.38
31.74,31.37,31.98,31.37
31.53,31.56,31.64,31.28
31.64,32.43,32.62,31.64
32.34,32.25,32.47,32.10
32.09,32.66,32.76,31.60
32.56,32.81,33.07,32.46
32.57,32.28,32.57,32.00
33.24,33.93,34.66,32.72
33.81,34.11,34.22,33.76
34.32,34.22,34.32,34.00
34.18,34.55,34.94,34.18
34.61,34.03,34.61,33.97
34.24,34.31,34.32,33.50
34.02,34.35,34.48,33.94
34.11,34.68,34.81,34.11
34.63,33.92,34.63,33.85
34.24,33.45,34.43,33.41
33.47,32.75,33.71,32.49
32.92,33.15,33.20,32.68
33.10,33.33,33.62,32.85
33.11,32.95,33.55,32.77
33.04,32.59,33.39,32.18
32.52,33.77,33.77,32.43
33.68,33.90,34.02,33.44
33.76,33.66,33.76,33.37
33.47,33.59,33.78,33.10
33.68,33.56,33.70,32.96
33.59,33.67,33.67,33.25
33.49,33.81,33.84,33.25
34.00,34.67,34.77,33.97
34.63,34.75,34.83,34.23
34.75,34.39,34.75,34.00
34.15,33.64,34.29,33.27
33.69,34.54,34.56,33.64
34.48,35.13,35.25,34.30
34.88,36.01,36.23,34.51
36.03,36.37,36.48,35.87
36.30,36.58,37.06,36.13
36.54,36.34,37.25,36.09
36.47,34.69,36.92,34.23
34.63,34.81,34.87,33.81
34.68,33.45,34.87,33.37
33.66,34.42,34.44,33.03
33.81,34.35,34.45,33.44
33.85,33.53,34.34,33.43
33.43,32.41,33.80,30.90
32.21,31.84,32.89,31.48
32.12,33.39,33.47,32.12
33.12,33.85,34.29,32.85
34.04,35.08,35.11,33.93
34.87,35.59,35.99,34.75
35.35,34.76,35.40,34.49
34.90,34.75,35.49,33.84
34.97,34.94,35.45,34.50
34.94,34.64,35.39,34.27
34.22,32.46,34.24,32.44
32.10,32.36,32.77,31.76
32.24,32.22,32.87,32.09
31.71,32.69,32.83,31.18
32.98,32.97,34.45,32.86
33.75,34.51,34.51,33.27
34.34,34.21,34.63,33.81
34.09,34.05,34.93,33.88
34.07,34.50,34.50,33.67
34.56,35.12,35.30,34.23
34.18,33.45,34.75,33.37
33.55,32.48,33.55,32.42
32.57,32.33,32.78,31.93
32.73,33.00,33.06,32.29
33.48,33.73,33.92,32.99
33.35,35.22,35.22,33.35
35.65,35.64,36.01,35.03
36.01,36.19,36.37,35.59
35.96,36.37,36.73,35.82
36.37,36.70,36.96,36.22
36.96,36.60,36.96,36.24
37.04,35.73,37.19,35.50
35.79,34.90,36.54,34.89
34.85,34.59,35.30,34.46
34.41,33.97,34.61,33.76
34.03,34.74,34.88,33.55
34.61,34.73,35.38,34.31
34.14,33.38,34.16,33.07
33.49,32.86,33.85,32.80
32.96,32.51,33.04,32.03
32.79,32.56,32.82,32.36
33.00,32.90,33.73,32.38
33.13,33.49,33.54,32.71
33.75,33.47,33.76,33.18
33.33,33.74,33.82,32.92
33.66,33.36,34.03,33.06
33.86,34.06,34.25,33.34
33.93,33.89,34.18,33.51
33.93,34.14,34.21,33.28
33.96,33.01,34.27,32.92
33.50,33.54,34.25,33.06
33.21,34.55,34.58,32.94
